Reviewed_by,Title,extent_answer,extent_notes,nested_answer,nested_notes,aquatic?
JL,Towards systematic conservation planning adapted to the local flow of ecosystem services,Macro-scale,,No,"categorized 10 services that they mapped as being local (moose hunting) to global (soil C storage) in their scale, but didnt consider the role of scale in the patterns or ecology of services",wetlands
JL,Meteorological conditions and site characteristics driving edible mushroom production in Pinus pinaster forests of Central Spain,Macro-scale,would have said local except they tried to sample in different stand ages within a site,No,,
JL,Realizing ecosystem services: wetland hydrologic function along a gradient of ecosystem condition,Macro-scale,,No,,wetlands
JL,Ecosystem Properties of Urban Land Covers at the Aboveground-Belowground Interface,Local,,No,,
JL,Late flowering time enhances insect pollination of turnip rape,Macro-scale,,No,only indirectly incorporates a scale metric by assessing affect of two landscape types w/ different mean distances to forest among other things (but these distances are not analyzed directly),
JL,Harvesting invasive plants to reduce nutrient loads and produce bioenergy: an assessment of Great Lakes coastal wetlands,Macro-scale,,No,,wetlands
JL,Reconciling community ecology and ecosystem services: Cultural services and benefits from birds in South African National Parks,Macro-scale,,No,,
JL,"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Macro-scale,,Yes,clearly and consistently compare responses and relationships across 8 watersheds and within individual watersheds,
JL,New Forests from the Twentieth Century are a Relevant Contribution for C Storage in the Iberian Peninsula,Macro-scale,,No,"include 'region' as a fixed effect to account for belonging to one of two regions, but clear, meaningful comparisons of smaller-larger scale inferences not a focus",
JL,Can carbon credits fund riparian forest restoration?,Macro-scale,,No,,
JL,Plant-trait-based modeling assessment of ecosystem-service sensitivity to land-use change,Macro-scale,simulation model based on a heterogeneous subalpine site,No,,
JL,Environmental Conservation and Social Benefits of Charcoal Production in Mozambique,Macro-scale,,No,,
JL,Factors influencing early secondary succession and ecosystem carbon stocks in Brazilian Atlantic Forest,Macro-scale,,No,,
JL,Effects of between-site variation in soil microbial communities and plant-soil feedbacks on the productivity and composition of plant communities,macro-sacle,two remnant and two restored prairie sites,Yes,Asked whether most significant effects for microbes happend at the site-scale or plant-scale,
JL,Using citizen scientists to measure an ecosystem service nationwide,Macro-scale,,No,"BUT spends a great deal of time comparing other studies at smaller scales to their larger scale study; also considers temporal dynamics, and so might be a 'yes' to kremen scale",
JL,"LOCAL AND SCIENTIFIC ECOLOGICAL KNOWLEDGE POTENTIAL AS A SOURCE OF INFORMATION IN A PERIURBAN RIVER, MEXICO CITY, MEXICO",Local,"pull in and present data from two separate rivers in the basin, but the text clearly suggests the authors consider this to be a local-scale analysis, and reason to suspect heterogeneity between the two rivers is never given",No,,riparian basin
JL,Diversity and invasion within a predator community: impacts on herbivore suppression,Local,,No,,
JL,Identifying suitable multifunctional restoration areas for Forest Landscape Restoration in Central Chile,Macro-scale,,No,"they do seem to discuss that they believe the multiple services they study to operate at different scales, but this isn't a clear component of analyses, so I don't think it warrants a yes here; however, they do consider connectivity and should be a 'yes' to kremen scale",
JL,"Influence of Groundcover Vegetation, Soil Physicochemical Properties, and Irrigation Practices on Soil Fungi in Semi-arid Vineyards",Macro-scale,,No,but yes for temporal dynamics and kremen scale,
JL,Social-ecological outcomes in recreational fisheries: the interaction of lakeshore development and stocking,Macro-scale,worked with data from over 100 heterogeneous lakes in a region,No,,lake coastal
JL,The relative importance of pollinator abundance and species richness for the temporal variance of pollination services,Macro-scale,,Yes,"difficult to pick out, but much of their models and results are concerned with between-site differences, yet they do present and compare to trends from across sites as well, and there are at least a few places were they contrast what they see across sites to what they see within and between sites",
JL,Larger Area Facilitates Richness-Function Effects in Experimental Microcosms,Local,"organism-based study (or rather, lacks a traditional 'study site'); this is a microcosm experiment in petri dishes of different sizes where the 'ecosystem' is kept relatively the same except for the size of the petri dish, so if the microcosm can be considred an ecosystem, it is definitely local",Yes,they directly look at how the size or area available to flourish (i.e. petri dish size) affects outcomes,
JL,Incorporating landscape heterogeneity into multi-objective spatial planning improves biodiversity conservation of semi-natural grasslands,Macro-scale,,No,but considers connectivity and should be 'yes' for kremen,
JL,Balancing water supply and old-growth forest conservation in the lowlands of south-central Chile through adaptive co-management,Macro-scale,,No,,
JL,Avian functional responses to landscape recovery,Macro-scale,,Yes,"yes in the conceptual sense- they look at two possible drivers of bird ES, one they consider to be a landscape-scale driver (tree cover) and one which they consider to be a patch-scale driver (local management) and conclude that smaller-scale and larger-scale drivers differ in magnitude and character... so I gave it a yes. ""When compared with landscape-scale effects, we found that the effects of recovery at the patch scale (i.e. secondary regrowth and restoration plantings) on the bird assemblage were greater in magnitude but influenced fewer aspects of functional change.""",
JL,Living shorelines enhance nitrogen removal capacity over time,Macro-scale,,No,"include site as a fixed effect, but each site stood for a different amount of time since coastal retoration had occured, so between vs across site comparisons were not about scale, but about coastal restoration differences.",marine coastal
JL,Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,Macro-scale,,Yes,estimates how ES supply and demand change with distance from Barcelona's city center (criteria 4),
JL,Adapting the adaptive cycle: Hypotheses on the development of ecosystem properties and services,NA,,No,,
JL,Local and broadscale landscape structure differentially impact predation of two potato pests,Macro-scale,,Yes,,
JL,Tropical deforestation alters hummingbird movement patterns,Macro-scale,,Yes,compare inferences regarding hummingbird movement choices based on surrounding forest in a 30m buffer as well as a 100m buffer,
JL,Global patterns in lake ecosystem responses to warming based on the temperature dependence of metabolism,Global,,No,,lake
JL,The ecological adaptability of Phragmites australis to interactive effects of water level and salt stress in the Yellow River Delta,Local,"Organism -based study, pot experiment. Plants were collected from the field at a local, uniform site, and grow-outs were done in a single location",No,,
JL,Low tolerance of New Caledonian secondary forest species to savanna fires,Macro-scale,"Simulation-based estimates of species' fire reslience, but models were run based on a range of possible conditions occuring across the modeled landscape (e.g., slopes 0-30%, empirically-based fuel loads from across 29 different savannas in 29 differeent models)",No,,
JL,"Five Decades of Wetland Soil Development of a Constructed Tidal Salt Marsh, North Carolina, USA",Local,,No,but should be a yes on temporal dynamics and kremen scale,marsh
JL,Positive effects of wheat variety mixtures on aboveground arthropods are weak and variable,Local,,No,"mention in discussion that 'distance to field edge' like drove some patterns in their findings, but they never formally analysed or considered this (not a focus of the experiment; unintended effect)",
JL,Experimental rewilding enhances grassland functional composition and pollinator habitat use,Local,"technically there is heterogeneity, in that their plots go from forest into grassland; however, the variation they measure across this transition occurs right on the grassland-forest edge across plots that are only 40m long each, all at a single research station, so I would argue in this case we are really within one homogenous 'forest edge' ecosystem type at a single site",No,,
JL,Evaluating changes in marine communities that provide ecosystem services through comparative assessments of community indicators,Global,,No,,marine
JL,Farm and landscape factors interact to affect the supply of pollination services,Macro-scale,,Yes,compared effects of landscape cover on pollinators within both a 1000m zone and 2000m zone,
JL,Transient Social-Ecological Stability: the Effects of Invasive Species and Ecosystem Restoration on Nutrient Management Compromise in Lake Erie,Local,"tricky, but I chose local because they explicitly said they did not work at a larger scale covering more of lake erie because it was too heterogeneous, and because the model appears to operate on a single, bay-wide estimates over time (treats the bay as one homogenous system)",No,,lake
JL,Soil microbial restoration strategies for promoting climate-ready prairie ecosystems,Local,"Organism - based, or in this case lacking a traditional 'study site'; pot experiment, with field soils collected from one site brought to a greenhouse and exposed to different treatments",No,,
JL,From the stand scale to the landscape scale: predicting the spatial patterns of forest regeneration after disturbance,Macro-scale,,Yes,,
JL,Machine learning for ecosystem services,Global,Two sites in South Africa and Italy,No,"nothing obvious but come back to if time, paper wasn't that straightforward and Table 3 was a hang up",
JL,Predation-mediated ecosystem services and disservices in agricultural landscapes,Macro-scale,,Yes,They had one analysis looking at whether a proximate natural area (local) or the amount of natural area within the larger landscape (1km buffer) impacted pest/prey in agriculture. But they used two separate analytical approaches at either scale.,
JL,Site-specific factors in the production of local urban ecosystem services: A case study of community-managed green space,Macro-scale,,Yes,criteria 4 - increasing size of the green site affected several ecosystem services in urban settings,
JL,"Perennial, species-rich wildflower strips enhance pest control and crop yield",Macro-scale,20 sites were chosen to maximize homogeneity except for that some fields had wildflower buffer strips and others did not... is that enough heterogenetiy to be considered macro-scale?,Yes,they considered whether results changed as you moved futher into the crop field (i.e. results at 5m vs 10m),
JL,"Ecosystem engineering by mussels supports biodiversity and water clarity in a heavily polluted lake in Dhaka, Bangladesh",Macro-scale,"50 sampling sites at a single lake, but enough variation across sites (heterogeneous enough) to capture and explaing meaningful site to site-level variation in biodiversity within the lake",No,,lake
JL,Performance of salmon fishery portfolios across western North America,Macro-scale,all within the northern Pacific Ocean,Yes,evaluated portfolios at a fine and coarse scale of aggregation,marine
JL,Land-use trade-offs between tree biodiversity and crop production in the Atlantic Forest,Macro-scale,,Yes,considered how key responses changed as a function of forest area,
JL,Ecosystem services are lost when facilitation between two ecosystem engineers is compromised by oil,Macro-scale,,No,,coastal/marsh
JL,Mapping ecosystem services in New York City: Applying a social-ecological approach in urban vacant land,Macro-scale,,Yes,discuss patterns at the city-level and neighborhood-level,
JL,Seascape architecture - incorporating ecological considerations in design of coastal and marine infrastructure,Local,,No,,coastal/marina
JL,Seed-dispersal distributions by trumpeter hornbills in fragmented landscapes,Macro-scale,,No,"amount of distance covered by birds for dispersal was an analytical response, not explanatory factor",
JL,Green roof plant species diversity improves ecosystem multifunctionality,Local,Organism- based (lacks traditiotnal 'study site'); common garden plant experiment in a single outdoor setting,No,,
JL,"Habitat conversion, extinction thresholds, and pollination services in agroecosystems",Macro-scale,"Simulation / model with spatially-explicit grid , referre to as landscape, made up of heterogeneous grid cells",No,"technically, it doesn't meet the criteria for absolute scale, but they do find that when the scale of pollinator dispersal abilities matches the scale of distances between patches, that services are highest; still a Yes to kremen_scale?",
JL,Belowground response of prairie restoration and resiliency to drought,Macro-scale,,No,,
JL,Fruit Supplementation Affects Birds but not Arthropod Predation by Birds in Costa Rican Agroforestry Systems,Local,"six agro-forests within 1 km2 area, chosen to minimize homogeneity so experimental treatments could be imposed",No,,
JL,Non-linear effects of pesticide application on biodiversity-driven ecosystem services and disservices in a cacao agroecosystem: A modeling study,NA,"simulation of dynamics within a cacao plantation, but not spatially explicit",No,,
JL,Divergent flows of avian-mediated ecosystem services across forest-matrix interfaces in human-modified landscapes,Macro-scale,,Yes,"Analyses looked at the importance of different 'local' predictors and 'landscape' predictors with the explicit goal to compare smaller and larger scale predictors of ES (predictors are different, but both are informative of habitat type)",
JL,Landscape-level crop diversity benefits biological pest control,Macro-scale,,Yes,,
JL,Pollination benefits are maximized at intermediate nutrient levels,Local,,No,,
JL,Production of moss-dominated biocrusts to enhance the stability and function of the margins of artificial water bodies,Local,"Organism - based (i.e. lacking traditional 'study site'): growth chamber experiment, where biocrust samples and soils were collected from a single site, then exposed to different conditions in a growth chamber",No,,
JL,Structural features of fragmented woodland communities affect leaf litter decomposition rates,Macro-scale,"system is explicitly stated as being heterogeneous on smaller scales within remnants, with ground cover being a primary source of variation accounted for in the study",Yes,criteria 4: imporatance of distance to nearest tree,
JL,Understanding the nursery habitat and provision service of a NTFP in a Colombian oak forest: A case of a nomadic vine,Local,,No,,
JL,Soil and vegetation recovery following alien tree clearing in the Eastern Cape Province of South Africa,Macro-scale,,No,,
JL,Grape moth density in Bordeaux vineyards depends on local habitat management despite effects of landscape heterogeneity on their biological control,Macro-scale,,Yes,"In analyses looked at the importance of different 'local' predictors and 'landscape' predictors with the explicit goal to compare smaller and larger scale predictors of ES (predictors are different, but both are informative of habitat type)",
JL,Evaluating management strategies to optimise coral reef ecosystem services,NA,"Simulation / model that has a particular geographic location as a basis, but has not explicit spatial parameters",No,,coral reef
JL,Decoupled effects (positive to negative) of nutrient enrichment on ecosystem services,Local,,No,,bay
JL,Quantification of the potential impact of nature conservation on ecosystem services supply in the Flemish Region: A cascade modelling approach,Macro-scale,,No,,
JL,Effects of habitat loss on the plant-flower visitor network structure of a dune community,Local,,No,,
JL,Lessons from visualising the landscape and habitat implications of tree decline-and its remediation through tree planting-in Australia's grazing landscapes,Macro-scale,,No,,
JL,Riparian buffer growth and soil nitrate supply are affected by tree species selection and black plastic mulching,Local,,No,,
JL,From intrinsic to service potential: An approach to assess tourism landscape potential,Macro-scale,,No,"there are some distance variables that come into play somewhere in terms of how ES's are valued across the landscape, but they are not a focus, not tied to any findings/results, hardly mentioned in the paper and no clear findings for the role of scale in understanding ES ecology",
JL,From Field Data to Ecosystem Services Maps: Using Regressions for the Case of Deforested Areas Within the Amazon,Macro-scale,,Yes,distance to water and distance to forest use as variables in regression tree analyses of ES's,
GV,Improving the application of vertebrate trait-based frameworks to the study of ecosystem services,Local,*unclear,No,"mostly a framework paper, but they identify home range size as a relevant trait for vertebrate ecosystem services...unclear if this counts",
GV,Urban warming reduces aboveground carbon storage,Macro-scale,"all in Raleigh, NC but hot and cold sites within - macroclimate or microclimate?",No,,
JL,Anolis lizards as biocontrol agents in mainland and island agroecosystems,Macro-scale,study in Mexico and Puerto Rico; counted both count as central/north america (i.e. not global),Yes,"they explicitly look at relationships WITHIN mexico and puerto rico sites, as well as across... is that enough to be considered comparing results at multiple scales?",
JL,"Seeds in farmland food-webs: Resource importance, distribution and the impacts of farm management",Macro-scale,,No,"Focuses on differences between habitats at a single farm, but also summarizes some results at the whole-farm scale.. however comparative inferences at these smaller scales vs the single large scale are not super clear in terms of drawing conclusions about multiple scales",
JL,"Fire, leaf harvest, and abiotic factors drive demography of an ecologically and culturally important understory plant",Macro-scale,"individuals within different fire severity patches within 3 sites on mt. hood, OR",No,"for some analyses, individual plants were the unit of replication, and they considered scale in the sense that the size of the plant was a predictor that influence responses to fire (is this akin to lake size being a predictor of cross-lake patterns? or different because we're talking about organismal traits)",
JL,Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management,Local,"or local? Technically, the study uses built-in heterogeneity (observational, not experimental) within a site: green roofs vs conventional roofs vs green ground found existing within a college campus. But the sites are within a 500m area, which seems to more like a single, local urban ecosystem",No,,
JL,Functional group diversity of bee pollinators increases crop yield,Macro-scale,,No,"Flower study: I'm inclined to say no, but that that conflicts with 'Diverse pollinator communities enhance plant reproductive success' where we agreed that spatial partitioning of flowers could fit for multi-scale",
JL,Diverse pollinator communities enhance plant reproductive success,Local,,No,Flower study - (This is the first one we said yes to) - does the spatial location of flowers on a plant count for criteria #4?,
