"Title","clean_answer_binned","clean_group"
"Seasonal complementary in pollinators of soft-fruit crops","Climate","Environmental"
"Seasonal complementary in pollinators of soft-fruit crops","Land cover","LU_LC"
"Seasonal complementary in pollinators of soft-fruit crops","Proximity to development","Human"
"Seasonal complementary in pollinators of soft-fruit crops","Pollination","Biotic"
"Seasonal complementary in pollinators of soft-fruit crops","Biotic characteristics of the plot","Biotic"
"Local and broadscale landscape structure differentially impact predation of two potato pests","Management/restoration","Human"
"Ecosystem multifunctionality is highly related to the shelterbelt structure and plant species diversity in mixed shelterbelts of eastern China","Service provider identity","Biotic"
"Tropical deforestation alters hummingbird movement patterns","Management/restoration","Human"
"Integrating spatially explicit molecular and ecological methods to explore the significance of non-crop vegetation to predators of brassica pests","Management/restoration","Human"
"Integrating spatially explicit molecular and ecological methods to explore the significance of non-crop vegetation to predators of brassica pests","Service provider identity","Biotic"
"Decline in medicinal and forage species with warming is mediated by plant traits on the Tibetan Plateau","Climate","Environmental"
"Decline in medicinal and forage species with warming is mediated by plant traits on the Tibetan Plateau","Management/restoration","Human"
"Global patterns in lake ecosystem responses to warming based on the temperature dependence of metabolism","Climate","Environmental"
"Forest fragments modulate the provision of multiple ecosystem services","Land cover","LU_LC"
"The ecological adaptability of Phragmites australis to interactive effects of water level and salt stress in the Yellow River Delta","Land use and land cover change","LU_LC"
"The ecological adaptability of Phragmites australis to interactive effects of water level and salt stress in the Yellow River Delta","Management/restoration","Human"
"Functional diversity increases ecological stability in a grazed grassland","Service provider identity","Biotic"
"Functional diversity increases ecological stability in a grazed grassland","Climate","Environmental"
"Functional diversity increases ecological stability in a grazed grassland","Management/restoration","Human"
"Demographic drivers of biomass carbon recovery in degraded perennial tussock grassland, with and without domestic grazing","Land use and land cover change","LU_LC"
"Demographic drivers of biomass carbon recovery in degraded perennial tussock grassland, with and without domestic grazing","Management/restoration","Human"
"Low tolerance of New Caledonian secondary forest species to savanna fires","Extreme events","Environmental"
"Low tolerance of New Caledonian secondary forest species to savanna fires","Biotic characteristics of the plot","Biotic"
"Spatially explicit quantification of the interactions among ecosystem services","Climate","Environmental"
"Spatially explicit quantification of the interactions among ecosystem services","Land use and land cover change","LU_LC"
"Spatially explicit quantification of the interactions among ecosystem services","Topography and position","Environmental"
"Spatially explicit quantification of the interactions among ecosystem services","Productivity","LU_LC"
"Spatially explicit quantification of the interactions among ecosystem services","Soil physiochemical characteristics","Environmental"
"Emergy-based evaluation of pen-urban ecosystem services","Land use and land cover change","LU_LC"
"Emergy-based evaluation of pen-urban ecosystem services","Population growth and density","Human"
"Five Decades of Wetland Soil Development of a Constructed Tidal Salt Marsh, North Carolina, USA","Management/restoration","Human"
"Seed dispersal effectiveness by a large-bodied invasive species in defaunated landscapes","Service provider identity","Biotic"
"Relationship between paired ecosystem services in the grassland and agro-pastoral transitional zone of China using the constraint line method","Climate","Environmental"
"Relationship between paired ecosystem services in the grassland and agro-pastoral transitional zone of China using the constraint line method","Land use and land cover change","LU_LC"
"Positive effects of wheat variety mixtures on aboveground arthropods are weak and variable","Management/restoration","Human"
"Both rare and common species support ecosystem services in scavenger communities","Service provider identity","Biotic"
"Evidence of sustainable intensification among British farms","Management/restoration","Human"
"Butterfly-plant network in urban landscape: Implication for conservation and urban greening","Service provider identity","Biotic"
"Experimental rewilding enhances grassland functional composition and pollinator habitat use","Management/restoration","Human"
"Experimental rewilding enhances grassland functional composition and pollinator habitat use","Service provider diversity/richness","Biotic"
"Growing the urban forest: tree performance in response to biotic and abiotic land management","Management/restoration","Human"
"Growing the urban forest: tree performance in response to biotic and abiotic land management","Service provider identity","Biotic"
"Mapping spatial non-stationarity of human-natural factors associated with agricultural landscape multifunctionality in Beijing-Tianjin-Hebei region, China","Climate","Environmental"
"Mapping spatial non-stationarity of human-natural factors associated with agricultural landscape multifunctionality in Beijing-Tianjin-Hebei region, China","Population growth and density","Human"
"Mapping spatial non-stationarity of human-natural factors associated with agricultural landscape multifunctionality in Beijing-Tianjin-Hebei region, China","Topography and position","Environmental"
"Organic farming and host density affect parasitism rates of tortricid moths in vineyards","Land use and land cover change","LU_LC"
"Organic farming and host density affect parasitism rates of tortricid moths in vineyards","Management/restoration","Human"
"Evaluating changes in marine communities that provide ecosystem services through comparative assessments of community indicators","Abiotic characteristics of the landscape: aquatic","Environmental"
"Evaluating changes in marine communities that provide ecosystem services through comparative assessments of community indicators","Pathogens/natural enemies","Biotic"
"Evaluating changes in marine communities that provide ecosystem services through comparative assessments of community indicators","Service provider identity","Biotic"
"Evaluating changes in marine communities that provide ecosystem services through comparative assessments of community indicators","Service provider reproduction, growth, and population maintenance","Biotic"
"Ecosystem services assessment of the urban forests of Addis Ababa, Ethiopia","Service provider identity","Biotic"
"Ecosystem services assessment of the urban forests of Addis Ababa, Ethiopia","Topography and position","Environmental"
"Ecological interactions shape the distribution of a cultural ecosystem service: Argali sheep (Ovis ammon) in the Gobi-Steppe of Mongolia","Hydrology","Environmental"
"Ecological interactions shape the distribution of a cultural ecosystem service: Argali sheep (Ovis ammon) in the Gobi-Steppe of Mongolia","Land cover","LU_LC"
"Ecological interactions shape the distribution of a cultural ecosystem service: Argali sheep (Ovis ammon) in the Gobi-Steppe of Mongolia","Proximity to development","Human"
"Farm and landscape factors interact to affect the supply of pollination services","Management/restoration","Human"
"Farm and landscape factors interact to affect the supply of pollination services","Service provider identity","Biotic"
"More is more? Forest management allocation at different spatial scales to mitigate conflicts between ecosystem services","Management/restoration","Human"
"Ecological erosion of an Afrotropical forest and potential consequences for tree recruitment and forest biomass","Exploitation/harvest","Human"
"Defining functional groups using dietary data: Quantitative comparison suggests functional classification for seed-dispersing waterfowl","Management/restoration","Human"
"Defining functional groups using dietary data: Quantitative comparison suggests functional classification for seed-dispersing waterfowl","Service provider identity","Biotic"
"Transient Social-Ecological Stability: the Effects of Invasive Species and Ecosystem Restoration on Nutrient Management Compromise in Lake Erie","Management/restoration","Human"
"Evaluating the eco-environment benefit of land reclamation in the dump of an opencast coal mine","Land use and land cover change","LU_LC"
"Stream corridors as indicators of watershed land use: A case study in Istanbul","Land use and land cover change","LU_LC"
"Stream corridors as indicators of watershed land use: A case study in Istanbul","Population growth and density","Human"
"Stream corridors as indicators of watershed land use: A case study in Istanbul","Service provider identity","Biotic"
"Stream corridors as indicators of watershed land use: A case study in Istanbul","Abiotic characteristics of the landscape: terrestrial","Environmental"
"Stream corridors as indicators of watershed land use: A case study in Istanbul","Management/restoration","Human"
"Stream corridors as indicators of watershed land use: A case study in Istanbul","Human disturbance","Human"
"Stream corridors as indicators of watershed land use: A case study in Istanbul","Proximity to development","Human"
"Stream corridors as indicators of watershed land use: A case study in Istanbul","Service provider diversity/richness","Biotic"
"Stream corridors as indicators of watershed land use: A case study in Istanbul","Service provider abundance","Biotic"
"From the stand scale to the landscape scale: predicting the spatial patterns of forest regeneration after disturbance","Climate","Environmental"
"From the stand scale to the landscape scale: predicting the spatial patterns of forest regeneration after disturbance","Extreme events","Environmental"
"From the stand scale to the landscape scale: predicting the spatial patterns of forest regeneration after disturbance","Hydrology","Environmental"
"From the stand scale to the landscape scale: predicting the spatial patterns of forest regeneration after disturbance","Topography and position","Environmental"
"From the stand scale to the landscape scale: predicting the spatial patterns of forest regeneration after disturbance","Timing/seasonality","Environmental"
"Linking environmental variables with regional-scale variability in ecological structure and standing stock of carbon within UK kelp forests","Climate","Environmental"
"Linking environmental variables with regional-scale variability in ecological structure and standing stock of carbon within UK kelp forests","Abiotic characteristics of the landscape: aquatic","Environmental"
"Context-dependent effects of freshwater mussels on stream benthic communities","Climate","Environmental"
"Context-dependent effects of freshwater mussels on stream benthic communities","Service provider identity","Biotic"
"Context-dependent effects of freshwater mussels on stream benthic communities","Service provider abundance","Biotic"
"Global warming affects the occurrence of stem borers in ecological engineering-based diversified farming ecosystems","Climate","Environmental"
"Machine learning for ecosystem services","Land use and land cover change","LU_LC"
"Machine learning for ecosystem services","Population growth and density","Human"
"Machine learning for ecosystem services","Management/restoration","Human"
"Machine learning for ecosystem services","Land cover","LU_LC"
"Machine learning for ecosystem services","Topography and position","Environmental"
"Machine learning for ecosystem services","Soil physiochemical characteristics","Environmental"
"Machine learning for ecosystem services","Abiotic characteristics of the landscape: aquatic","Environmental"
"Machine learning for ecosystem services","Climate","Environmental"
"Organic farming at local and landscape scales fosters biological pest control in vineyards","Management/restoration","Human"
"Organic farming at local and landscape scales fosters biological pest control in vineyards","Timing/seasonality","Environmental"
"Organic farming at local and landscape scales fosters biological pest control in vineyards","Abiotic characteristics of the landscape: terrestrial","Environmental"
"Organic farming at local and landscape scales fosters biological pest control in vineyards","Service provider density","Biotic"
"Predation-mediated ecosystem services and disservices in agricultural landscapes","Service provider identity","Biotic"
"Intra- and interspecific differences in nutrient recycling by European freshwater fish","Service provider identity","Biotic"
"Site-specific factors in the production of local urban ecosystem services: A case study of community-managed green space","Management/restoration","Human"
"Restoration of ecosystem carbon and nitrogen storage and microbial biomass after grazing exclusion in semi-arid grasslands of Inner Mongolia","Exploitation/harvest","Human"
"Biophysical and anthropogenous determinants of landscape patterns and degradation of plant communities in Mo hilly basin (Togo)","Land use and land cover change","LU_LC"
"Biophysical and anthropogenous determinants of landscape patterns and degradation of plant communities in Mo hilly basin (Togo)","Management/restoration","Human"
"Biophysical and anthropogenous determinants of landscape patterns and degradation of plant communities in Mo hilly basin (Togo)","Topography and position","Environmental"
"Biophysical and anthropogenous determinants of landscape patterns and degradation of plant communities in Mo hilly basin (Togo)","Extreme events","Environmental"
"Biophysical and anthropogenous determinants of landscape patterns and degradation of plant communities in Mo hilly basin (Togo)","Soil physiochemical characteristics","Environmental"
"Biophysical and anthropogenous determinants of landscape patterns and degradation of plant communities in Mo hilly basin (Togo)","Biotic characteristics of the plot","Biotic"
"Biodiversity and ecological long-term plots in Southern Patagonia to support sustainable land management: The case of PEBANPA network","Management/restoration","Human"
"Biodiversity and ecological long-term plots in Southern Patagonia to support sustainable land management: The case of PEBANPA network","Exploitation/harvest","Human"
"Perennial, species-rich wildflower strips enhance pest control and crop yield","Management/restoration","Human"
"Perennial, species-rich wildflower strips enhance pest control and crop yield","Service provider density","Biotic"
"Perennial, species-rich wildflower strips enhance pest control and crop yield","Biotic characteristics of the plot","Biotic"
"Perennial, species-rich wildflower strips enhance pest control and crop yield","Service provider diversity/richness","Biotic"
"Landscape structure influences bee community and coffee pollination at different spatial scales","Service provider identity","Biotic"
"Landscape structure influences bee community and coffee pollination at different spatial scales","Land use and land cover change","LU_LC"
"Landscape structure influences bee community and coffee pollination at different spatial scales","Service provider abundance","Biotic"
"Landscape structure influences bee community and coffee pollination at different spatial scales","Service provider diversity/richness","Biotic"
"Predicting coral community recovery using multi-species population dynamics models","Service provider identity","Biotic"
"Ecosystem engineering by mussels supports biodiversity and water clarity in a heavily polluted lake in Dhaka, Bangladesh","Service provider identity","Biotic"
"Do riparian reserves support dung beetle biodiversity and ecosystem services in oil palm- dominated tropical landscapes?","Management/restoration","Human"
"Functional group diversity of bee pollinators increases crop yield","Service provider identity","Biotic"
"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya","Management/restoration","Human"
"A modeling approach to evaluate the impact of conservation practices on water and sediment yield in Sasumua Watershed, Kenya","Topography and position","Environmental"
"Land-use trade-offs between tree biodiversity and crop production in the Atlantic Forest","Land use and land cover change","LU_LC"
"Land-use trade-offs between tree biodiversity and crop production in the Atlantic Forest","Biotic characteristics of the plot","LU_LC"
"Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?","Land use and land cover change","LU_LC"
"Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?","Population growth and density","Human"
"Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?","Management/restoration","Human"
"Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?","Topography and position","Environmental"
"Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?","Characteristics of human population","Human"
"Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?","Land cover","LU_LC"
"Ecosystem services are lost when facilitation between two ecosystem engineers is compromised by oil","Exploitation/harvest","Human"
"Ecosystem services are lost when facilitation between two ecosystem engineers is compromised by oil","Topography and position","Environmental"
"Ecosystem services are lost when facilitation between two ecosystem engineers is compromised by oil","Land cover","LU_LC"
"Land use affects dung beetle communities and their ecosystem service in forests and grasslands","Land use and land cover change","LU_LC"
"Land use affects dung beetle communities and their ecosystem service in forests and grasslands","Service provider identity","Biotic"
"China's progress towards sustainable land degradation control: Insights from the northwest arid regions","Climate","Environmental"
"Mapping ecosystem services in New York City: Applying a social-ecological approach in urban vacant land","Land use and land cover change","LU_LC"
"How Do Biota Respond to Additional Physical Restoration of Restored Streams?","Management/restoration","Human"
"A trait-based ecology of the Los Angeles urban forest","Management/restoration","Human"
"Seascape architecture - incorporating ecological considerations in design of coastal and marine infrastructure","Management/restoration","Human"
"Modelling the potential impacts of urban ecosystem changes on carbon storage under different scenarios by linking the CLUE-S and the InVEST models","Land use and land cover change","LU_LC"
"Modelling the potential impacts of urban ecosystem changes on carbon storage under different scenarios by linking the CLUE-S and the InVEST models","Population growth and density","Human"
"Invasive Species Impacts on Human Well-being Using the Life Satisfaction Index","Service provider identity","Biotic"
"Seed-dispersal distributions by trumpeter hornbills in fragmented landscapes","Service provider identity","Biotic"
"Trait-based approaches for guiding the restoration of degraded agricultural landscapes in East Africa","Management/restoration","Human"
"Green roof plant species diversity improves ecosystem multifunctionality","Management/restoration","Human"
"Green roof plant species diversity improves ecosystem multifunctionality","Service provider identity","Biotic"
"Bat diversity in Carajas National Forest (Eastern Amazon) and potential impacts on ecosystem services under climate change","Climate","Environmental"
"Regional-scale scenario modeling for coral reefs: a decision support tool to inform management of a complex system","Extreme events","Environmental"
"Regional-scale scenario modeling for coral reefs: a decision support tool to inform management of a complex system","Management/restoration","Human"
"Biodiversity-multifunctionality relationships depend on identity and number of measured functions","Service provider diversity/richness","Biotic"
"Habitat conversion, extinction thresholds, and pollination services in agroecosystems","Land use and land cover change","LU_LC"
"Effects of habitat composition and landscape structure on worker foraging distances of five bumble bee species","Land use and land cover change","LU_LC"
"Belowground response of prairie restoration and resiliency to drought","Management/restoration","Human"
"Linking wind erosion to ecosystem services in drylands: a landscape ecological approach","Climate","Environmental"
"Linking wind erosion to ecosystem services in drylands: a landscape ecological approach","Management/restoration","Human"
"Fruit Supplementation Affects Birds but not Arthropod Predation by Birds in Costa Rican Agroforestry Systems","Management/restoration","Human"
"Diatoms to human uses: linking nitrogen deposition, aquatic eutrophication, and ecosystem services","Soil characteristics","Environmental"
"Non-linear effects of pesticide application on biodiversity-driven ecosystem services and disservices in a cacao agroecosystem: A modeling study","Management/restoration","Human"
"Non-linear effects of pesticide application on biodiversity-driven ecosystem services and disservices in a cacao agroecosystem: A modeling study","Service provider abundance","Biotic"
"Non-linear effects of pesticide application on biodiversity-driven ecosystem services and disservices in a cacao agroecosystem: A modeling study","Pathogens/natural enemies","Biotic"
"Flood Water Hydrochemistry Patterns Suggest Floodplain Sink Function for Dissolved Solids from the Songkhram Monsoon River (Thailand)","Land cover","LU_LC"
"Flood Water Hydrochemistry Patterns Suggest Floodplain Sink Function for Dissolved Solids from the Songkhram Monsoon River (Thailand)","Topography and position","Environmental"
"Divergent flows of avian-mediated ecosystem services across forest-matrix interfaces in human-modified landscapes","Land use and land cover change","LU_LC"
"Restoration potential of threatened ecosystem engineers increases with aridity: broad scale effects on soil nutrients and function","Climate","Environmental"
"Restoration potential of threatened ecosystem engineers increases with aridity: broad scale effects on soil nutrients and function","Service provider identity","Biotic"
"Landscape-level crop diversity benefits biological pest control","Management/restoration","Human"
"Stable nitrogen and carbon isotope ratios in wild native honeybees: the influence of land use and climate","Land use and land cover change","LU_LC"
"Community structure dynamics and carbon stock change of rehabilitated mangrove forests in Sulawesi, Indonesia","Climate","Environmental"
"Community structure dynamics and carbon stock change of rehabilitated mangrove forests in Sulawesi, Indonesia","Land use and land cover change","LU_LC"
"Community structure dynamics and carbon stock change of rehabilitated mangrove forests in Sulawesi, Indonesia","Management/restoration","Human"
"The benefits of hedgerows for pollinators and natural enemies depends on hedge quality and landscape context","Management/restoration","Human"
"The benefits of hedgerows for pollinators and natural enemies depends on hedge quality and landscape context","Topography and position","Environmental"
"The benefits of hedgerows for pollinators and natural enemies depends on hedge quality and landscape context","Biotic characteristics of the plot","Biotic"
"Structural features of fragmented woodland communities affect leaf litter decomposition rates","Service provider identity","Biotic"
"Structural features of fragmented woodland communities affect leaf litter decomposition rates","Biotic characteristics of the plot","Biotic"
"Non-native fruit trees facilitate colonization of native forest on abandoned farmland","Land use and land cover change","LU_LC"
"Understanding the nursery habitat and provision service of a NTFP in a Colombian oak forest: A case of a nomadic vine","Service provider identity","Biotic"
"Evaluation of salt marsh restoration by means of self-regulating tidal gate - Avon estuary, South Devon, UK","Land use and land cover change","LU_LC"
"Evaluation of salt marsh restoration by means of self-regulating tidal gate - Avon estuary, South Devon, UK","Management/restoration","Human"
"Soil and vegetation recovery following alien tree clearing in the Eastern Cape Province of South Africa","Land use and land cover change","LU_LC"
"A welcome can of worms? Hypoxia mitigation by an invasive species","Service provider identity","Biotic"
"Grape moth density in Bordeaux vineyards depends on local habitat management despite effects of landscape heterogeneity on their biological control","Service provider identity","Biotic"
"Balancing yield with resilience and conservation objectives in harvested predator-prey communities","Population growth and density","Human"
"Balancing yield with resilience and conservation objectives in harvested predator-prey communities","Management/restoration","Human"
"Balancing yield with resilience and conservation objectives in harvested predator-prey communities","Exploitation/harvest","Human"
"Balancing yield with resilience and conservation objectives in harvested predator-prey communities","Service provider identity","Biotic"
"Balancing yield with resilience and conservation objectives in harvested predator-prey communities","Pathogens/natural enemies","Biotic"
"Evaluating management strategies to optimise coral reef ecosystem services","Management/restoration","Human"
"Evaluating management strategies to optimise coral reef ecosystem services","Exploitation/harvest","Human"
"Carbon stocks and dynamics at different successional stages in an Afromontane tropical forest","Climate","Environmental"
"Carbon stocks and dynamics at different successional stages in an Afromontane tropical forest","Land use and land cover change","LU_LC"
"Invasive grasses, climate change, and exposure to storm-wave overtopping in coastal dune ecosystems","Service provider identity","Biotic"
"Decoupled effects (positive to negative) of nutrient enrichment on ecosystem services","Fertilization","Human"
"Landscape structure influences urban vegetation vertical structure","Management/restoration","Human"
"Landscape structure influences urban vegetation vertical structure","Topography and position","Environmental"
"Landscape structure influences urban vegetation vertical structure","Soil physiochemical characteristics","Environmental"
"Landscape structure influences urban vegetation vertical structure","Hydrology","Environmental"
"Landscape structure influences urban vegetation vertical structure","Soil characteristics","Environmental"
"Landscape structure influences urban vegetation vertical structure","Characteristics of human population","Human"
"Landscape structure influences urban vegetation vertical structure","Population growth and density","Human"
"Landscape structure influences urban vegetation vertical structure","Characteristics of locality","Human"
"Landscape structure influences urban vegetation vertical structure","Land use and land cover change","LU_LC"
"Anolis lizards as biocontrol agents in mainland and island agroecosystems","Management/restoration","Human"
"Anolis lizards as biocontrol agents in mainland and island agroecosystems","Abiotic characteristics of the landscape: terrestrial","Environmental"
"Anolis lizards as biocontrol agents in mainland and island agroecosystems","Insecticides/fungicides/pesticides/herbicides","Human"
"Anolis lizards as biocontrol agents in mainland and island agroecosystems","Biotic characteristics of the plot","Biotic"
"Anolis lizards as biocontrol agents in mainland and island agroecosystems","Proximity to development","Human"
"Evaluation of a new method for assessing resilience in urban aquatic social-ecological systems","Land use and land cover change","LU_LC"
"Evaluation of a new method for assessing resilience in urban aquatic social-ecological systems","Management/restoration","Human"
"Homogenization of plant diversity, composition, and structure in North American urban yards","Climate","Environmental"
"Homogenization of plant diversity, composition, and structure in North American urban yards","Management/restoration","Human"
"Does rotational heather burning increase red grouse abundance and breeding success on moors in northern England?","Management/restoration","Human"
"Terrestrial isopods as bioindicators for environmental monitoring in olive groves and natural ecosystems","Land use and land cover change","LU_LC"
"Terrestrial isopods as bioindicators for environmental monitoring in olive groves and natural ecosystems","Management/restoration","Human"
"Quantification of the potential impact of nature conservation on ecosystem services supply in the Flemish Region: A cascade modelling approach","Management/restoration","Human"
"Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities","Management/restoration","Human"
"Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities","Service provider identity","Biotic"
"Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities","Soil physiochemical characteristics","Environmental"
"Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities","Aquatic biogeochemistry","Environmental"
"Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities","Soil characteristics","Environmental"
"Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities","Fertilization","Human"
"Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities","Exploitation/harvest","Human"
"Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities","Characteristics of human population","Human"
"Weed species structural and functional composition of okra fields and field periphery under different management intensities along the rural-urban gradient of two West African cities","Land use and land cover change","LU_LC"
"Effects of habitat loss on the plant-flower visitor network structure of a dune community","Human disturbance","Human"
"Routes to achieving sustainable intensification in simulated dairy farms: The importance of production efficiency and complimentary land uses","Land use and land cover change","LU_LC"
"Lessons from visualising the landscape and habitat implications of tree decline-and its remediation through tree planting-in Australia's grazing landscapes","Management/restoration","Human"
"The spatial organization of ecosystem services in river-floodplains","Land use and land cover change","LU_LC"
"The spatial organization of ecosystem services in river-floodplains","Topography and position","Environmental"
"Riparian buffer growth and soil nitrate supply are affected by tree species selection and black plastic mulching","Management/restoration","Human"
"Assessment of the erosion control function of forest ecosystems based on GIS: a case study in Zhangjiajie National Forest Park, China","Service provider identity","LU_LC"
"From intrinsic to service potential: An approach to assess tourism landscape potential","Exploitation/harvest","Human"
"From intrinsic to service potential: An approach to assess tourism landscape potential","Topography and position","Environmental"
"From intrinsic to service potential: An approach to assess tourism landscape potential","Abiotic characteristics of the landscape: aquatic","Environmental"
"From intrinsic to service potential: An approach to assess tourism landscape potential","Soil physiochemical characteristics","Environmental"
"From intrinsic to service potential: An approach to assess tourism landscape potential","Land cover","LU_LC"
"From intrinsic to service potential: An approach to assess tourism landscape potential","Pathogens/natural enemies","Biotic"
"Quantifying changes in multiple ecosystem services during 2000-2012 on the Loess Plateau, China, as a result of climate variability and ecological restoration","Climate","Environmental"
"Quantifying changes in multiple ecosystem services during 2000-2012 on the Loess Plateau, China, as a result of climate variability and ecological restoration","Extreme events","Environmental"
"Quantifying changes in multiple ecosystem services during 2000-2012 on the Loess Plateau, China, as a result of climate variability and ecological restoration","Land use and land cover change","LU_LC"
"Quantifying changes in multiple ecosystem services during 2000-2012 on the Loess Plateau, China, as a result of climate variability and ecological restoration","Topography and position","Environmental"
"Quantifying changes in multiple ecosystem services during 2000-2012 on the Loess Plateau, China, as a result of climate variability and ecological restoration","Characteristics of human population","Human"
"Quantifying changes in multiple ecosystem services during 2000-2012 on the Loess Plateau, China, as a result of climate variability and ecological restoration","Biotic characteristics of the plot","LU_LC"
"From Field Data to Ecosystem Services Maps: Using Regressions for the Case of Deforested Areas Within the Amazon","Land use and land cover change","LU_LC"
"From Field Data to Ecosystem Services Maps: Using Regressions for the Case of Deforested Areas Within the Amazon","Topography and position","Environmental"
"From Field Data to Ecosystem Services Maps: Using Regressions for the Case of Deforested Areas Within the Amazon","Productivity","Biotic"
"From Field Data to Ecosystem Services Maps: Using Regressions for the Case of Deforested Areas Within the Amazon","Service provider diversity/richness","Biotic"
"Abundance of urban male mosquitoes by green infrastructure types: implications for landscape design and vector management","Management/restoration","Human"
"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia","Land use and land cover change","LU_LC"
"An analysis of trade-offs between multiple ecosystem services and stakeholders linked to land use and water quality management in the Great Barrier Reef, Australia","Management/restoration","Human"
"An ecophysiologically informed model of seed dispersal by orangutans: linking animal movement with gut passage across time and space","Service provider identity","Biotic"
"An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna","Service provider identity","Biotic"
"An invasive ant reduces diversity but does not disrupt a key ecosystem function in an African savanna","Invasive species","Biotic"
"Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona","Abiotic characteristics of the landscape: terrestrial","Environmental"
"Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona","Topography and position","Environmental"
"Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona","Soil characteristics","Environmental"
"Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona","Biotic characteristics of the plot","Biotic"
"Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change","Climate","Environmental"
"Applying network theory to prioritize multispecies habitat networks that are robust to climate and land-use change","Land use and land cover change","LU_LC"
"Assessing and mapping of multiple ecosystem services in Guizhou Province, China","Climate","Environmental"
"Assessing and mapping of multiple ecosystem services in Guizhou Province, China","Land use and land cover change","LU_LC"
"Assessing and mapping of multiple ecosystem services in Guizhou Province, China","Population growth and density","Human"
"Assessing and mapping of multiple ecosystem services in Guizhou Province, China","Soil physiochemical characteristics","Environmental"
"Assessing and mapping of multiple ecosystem services in Guizhou Province, China","Topography and position","Environmental"
"Assessing and mapping of multiple ecosystem services in Guizhou Province, China","Biotic characteristics of the plot","Biotic"
"Biofuels on the landscape: Is ""land sharing"" preferable to ""land sparing""?","Land use and land cover change","LU_LC"
"Biofuels on the landscape: Is ""land sharing"" preferable to ""land sparing""?","Management/restoration","Human"
"Biofuels on the landscape: Is ""land sharing"" preferable to ""land sparing""?","Service provider identity","Biotic"
"Climate and plant controls on soil organic matter in coastal wetlands","Climate","Environmental"
"Climate and plant controls on soil organic matter in coastal wetlands","Productivity","Biotic"
"Detecting pest control services across spatial and temporal scales","Timing/seasonality","Environmental"
"Detecting pest control services across spatial and temporal scales","Biotic characteristics of the plot","Biotic"
"Detecting pest control services across spatial and temporal scales","Service provider diversity/richness","Biotic"
"Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat","Climate","Environmental"
"Early eclosion of overwintering cotton bollworm moths from warming temperatures accentuates yield loss in wheat","Pathogens/natural enemies","Biotic"
"Ecosystem Properties of Urban Land Covers at the Aboveground-Belowground Interface","Land use and land cover change","LU_LC"
"Effects of coastal development on nearshore estuarine nekton communities","Land use and land cover change","LU_LC"
"Effects of coastal development on nearshore estuarine nekton communities","Management/restoration","Human"
"Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow","Climate","Environmental"
"Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile)","Land use and land cover change","LU_LC"
"Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile)","Management/restoration","Human"
"Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile)","Exploitation/harvest","Human"
"Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile)","Service provider identity","Biotic"
"Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile)","Index","Environmental"
"Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile)","Index","Human"
"Fishing impacts on the marine inorganic carbon cycle","Exploitation/harvest","Human"
"Fishing impacts on the marine inorganic carbon cycle","Service provider identity","Biotic"
"Global evidence of positive impacts of freshwater biodiversity on fishery yields","Climate","Environmental"
"Global evidence of positive impacts of freshwater biodiversity on fishery yields","Population growth and density","Human"
"Global evidence of positive impacts of freshwater biodiversity on fishery yields","Land cover","LU_LC"
