"title","authors","pubyear","sourcepub","review_round","reviewer","doublerev","reviewer_notes","outsidereviewer","outsidereviewer_notes","exclusion_id","exclusion_reason","fullquestion"
"Bat boxes in urban non-native forests: a popular practice that should be reconsidered","Lopez-Baucells, Adria; Puig-Montserrat, Xavier; Torre, Ignasi; Freixas, Lidia; Mas, Maria; Arrizabalaga, Antoni; Flaquer, Carles",2017,"URBAN ECOSYSTEMS",1,"R10",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Bats as bioindicators - the need of a standardized method for acoustic bat activity surveys","Stahlschmidt, Peter; Bruehl, Carsten A.",2012,"METHODS IN ECOLOGY AND EVOLUTION",1,"R5",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Beef or grasshopper hamburgers: The ecological implications of choosing one over the other","Wegier, A.; Alavez, V.; Perez-Lopez, J.; Calzada, L.; Cerritos, R.",2018,"BASIC AND APPLIED ECOLOGY",1,"R6",FALSE,"R6: Only pointed to insects as a food source and seems to not really directly measure or model insect abundance?",NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Beta diversity of aquatic invertebrates increases along an altitudinal gradient in a Neotropical mountain","Castro, Diego M. P.; Callisto, Marcos; Solar, Ricardo R. C.; Macedo, Diego R.; Fernandes, Geraldo W.",2019,"BIOTROPICA",1,"R3",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Beyond prime areas of nature protection in East Africa: conservation ecology of a narrowly distributed Kenyan endemic bird species","Habel, Jan Christian; Teucher, Mike; Pschonny, Sandra; Rost, Simone; Fischer, Christina",2015,"BIODIVERSITY AND CONSERVATION",1,"R14",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Beyond species loss: the extinction of ecological interactions in a changing world","Valiente-Banuet, Alfonso; Aizen, Marcelo A.; Alcantara, Julio M.; Arroyo, Juan; Cocucci, Andrea; Galetti, Mauro; Garcia, Maria B.; Garcia, Daniel; Gomez, Jose M.; Jordano, Pedro; Medel, Rodrigo; Navarro, Luis; Obeso, Jose R.; Oviedo, Ramona; Ramirez, Nelson; Rey, Pedro J.; Traveset, Anna; Verdu, Miguel; Zamora, Regino",2015,"FUNCTIONAL ECOLOGY",1,"R14",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Biocultural approaches to well-being and sustainability indicators across scales","Sterling, Eleanor J.; Filardi, Christopher; Toomey, Anne; Sigouin, Amanda; Betley, Erin; Gazit, Nadav; Newell, Jennifer; Albert, Simon; Alvira, Diana; Bergamini, Nadia; Blair, Mary; Boseto, David; Burrows, Kate; Bynum, Nora; Caillon, Sophie; Caselle, Jennifer E.; Claudet, Joachim; Cullman, Georgina; Dacks, Rachel; Eyzaguirre, Pablo B.; Gray, Steven; Herrera, James; Kenilorea, Peter; Kinney, Kealohanuiopuna; Kurashima, Natalie; Macey, Suzanne; Malone, Cynthia; Mauli, Senoveva; McCarter, Joe; McMillen, Heather; Pascua, Pua'ala; Pikacha, Patrick; Porzecanski, Ana L.; de Robert, Pascale; Salpeteur, Matthieu; Sirikolo, Myknee; Stege, Mark H.; Stege, Kristina; Ticktin, Tamara; Vave, Ron; Wali, Alaka; West, Paige; Winter, Kawika B.; Jupiter, Stacy D.",2017,"NATURE ECOLOGY & EVOLUTION",1,"R6",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Biodiversity hotspots are not congruent with conservation areas in the Gulf of California","Morzaria-Luna, Hem Nalini; Cruz-Pinon, Gabriela; Brusca, Richard C.; Montserrat Lopez-Ortiz, Ariadna; Moreno-Baez, Marcia; Reyes-Bonilla, Hector; Turk-Boyer, Peggy",2018,"BIODIVERSITY AND CONSERVATION",1,"R2",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Biophysical feedback mediates effects of invasive grasses on coastal dune shape","Zarnetske, Phoebe L.; Hacker, Sally D.; Seabloom, Eric W.; Ruggiero, Peter; Killian, Jason R.; Maddux, Timothy B.; Cox, Daniel",2012,"ECOLOGY",1,"R5",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Blue is the new green - Ecological enhancement of concrete based coastal and marine infrastructure","Ido, Sella; Shimrit, Perkol-Finkel",2015,"ECOLOGICAL ENGINEERING",1,"R14",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Bridging practices, institutions, and landscapes through a scale-based approach for research and practice: A case study of a business association in South India","Asokan, Vivek Anand; Yarime, Masaru; Onuki, Motoharu",2019,"ECOLOGICAL ECONOMICS",1,"R3",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Broadly inflicted stressors can cause ecosystem thinning","Burgess, Matthew G.; Fredston-Hermann, Alexa; Tilman, David; Loreau, Michel; Gaines, Steven D.",2019,"THEORETICAL ECOLOGY",1,"R3",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Building biodiversity: Vegetated facades as habitats for spider and beetle assemblages","Madre, Frederic; Clergeau, Philippe; Machon, Nathalie; Vergnes, Alan",2015,"GLOBAL ECOLOGY AND CONSERVATION",1,"R1",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Can conservation in protected areas and visitor preferences converge? An empirical study in Central Chile","Cerda, Claudia; Pablo Fuentes, Juan; Mancilla, Gabriel",2018,"BIODIVERSITY AND CONSERVATION",1,"R12",FALSE,"R12: visitor willingness to pay - assesses different EF/ES monetarily",NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Can Financial Incentives Change Farmers' Motivations? An Agrarian System Approach to Development Pathways at the Nicaraguan Agricultural Frontier","Van Hecken, Gert; Merlet, Pierre; Lindtner, Mara; Bastiaensen, Johan",2019,"ECOLOGICAL ECONOMICS",1,"R2",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Can income diversification resolve social-ecological traps in small-scale fisheries and aquaculture in the global south? A case study of response diversity in the Tam Giang lagoon, central Vietnam","Tong Thi Hai Hanh; Boonstra, Wiebren J.",2018,"ECOLOGY AND SOCIETY",1,"R6",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Can long-term floodplain meadow recreation replicate species composition and functional characteristics of target grasslands?","Woodcock, Ben A.; McDonald, Alison W.; Pywell, Richard F.",2011,"JOURNAL OF APPLIED ECOLOGY",1,"R13",FALSE,"R13: Measures traits but there is no tie to EF or ES.",NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Can wetlands maintained for human use also help conserve biodiversity? Landscape-scale patterns of bird use of wetlands in an agricultural landscape in north India","Sundar, K. S. Gopi; Kittur, Swati",2013,"BIOLOGICAL CONSERVATION",1,"R9",FALSE,"R9: beta-div",NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Canadian Prairie Rangeland and Seeded Forage Classification Using Multiseason Landsat 8 and Summer RADARSAT-2","Lindsay, Emily J.; King, Douglas J.; Davidson, Andrew M.; Daneshfar, Bahram",2019,"RANGELAND ECOLOGY & MANAGEMENT",1,"R2",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Capacity, pressure, demand, and flow: A conceptual framework for analyzing ecosystem service provision and delivery","Villamagna, Amy M.; Angermeier, Paul L.; Bennett, Elena M.",2013,"ECOLOGICAL COMPLEXITY",1,"R9",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Capturing emergent phenomena in social-ecological systems: an analytical framework","Schluter, Maja; Haider, L. Jamila; Lade, Steven J.; Lindkvist, Emilie; Martin, Romina; Orach, Kirill; Wijermans, Nanda; Folke, Carl",2019,"ECOLOGY AND SOCIETY",1,"R3",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Carrion ecology modelling for vulture conservation: are vulture restaurants needed to sustain the densest breeding population of the African white-backed vulture?","Kane, A.; Jackson, A. L.; Monadjem, A.; Colomer, M. A.; Margalida, A.",2015,"ANIMAL CONSERVATION",1,"R14",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Causes and consequences of crayfish extinction: Stream connectivity, habitat changes, alien species and ecosystem services","Manenti, Raoul; Ghia, Daniela; Fea, Gianluca; Ficetola, Gentile Francesco; Padoa-Schioppa, Emilio; Canedoli, Claudia",2019,"FRESHWATER BIOLOGY",1,"R2",FALSE,"R2: extinction risk of native crayfish just sprinkle in ES term.",NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Challenges of achieving Good Environmental Status in the Northeast Atlantic","Alexander, Karen A.; Kershaw, Peter; Cooper, Philip; Gilbert, Alison J.; Hall-Spencer, Jason M.; Heymans, Johanna J.; Kannen, Andreas; Los, Hans J.; O'Higgins, Tim; O'Mahony, Cathal; Tett, Paul; Troost, Tineke A.; van Beusekom, Justus",2015,"ECOLOGY AND SOCIETY",1,"R1",FALSE,"R1: (Ref ID 1190) This is a conceptual model linking political, social, economic, and ecological drivers of the NE Atlantic. Superficially uses an ES as a case study, but no empirical work nor quantification of ES/EF",NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Challenges of ecological restoration: Lessons from forests in northern Europe","Halme, Panu; Allen, Katherine A.; Aunins, Ainars; Bradshaw, Richard H. W.; Brumelis, Guntis; Cada, Vojtech; Clear, Jennifer L.; Eriksson, Anna-Maria; Hannon, Gina; Hyvarinen, Esko; Ikauniece, Sandra; Irsenaite, Reda; Jonsson, Bengt Gunnar; Junninen, Kaisa; Kareksela, Santtu; Komonen, Atte; Kotiaho, Janne S.; Kouki, Jari; Kuuluvainen, Timo; Mazziotta, Adriano; Monkkonen, Mikko; Nyholm, Kristiina; Olden, Anna; Shorohova, Ekaterina; Strange, Niels; Toivanen, Tero; Vanha-Majamaa, Ilkka; Wallenius, Tuomo; Ylisirnio, Anna-Liisa; Zin, Ewa",2013,"BIOLOGICAL CONSERVATION",1,"R9",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Changes in constructed Brassica communities treated with glyphosate drift","Watrud, Lidia S.; King, George; Londo, Jason P.; Colasanti, Ricardo; Smith, Bonnie M.; Waschmann, Ronald S.; Lee, E. Henry",2011,"ECOLOGICAL APPLICATIONS",1,"R13",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Changes in land uses and management in two Nature Reserves in Spain: Evaluating the social-ecological resilience of cultural landscapes","Rescia, Alejandro J.; Willaarts, Barbara A.; Schmitz, Maria F.; Aguilera, Pedro A.",2010,"LANDSCAPE AND URBAN PLANNING",1,"R13",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Changing conservation strategies in Europe: a framework integrating ecosystem services and dynamics","Haslett, John R.; Berry, Pam M.; Bela, Gyoergyi; Jongman, Rob H. G.; Pataki, Gyoergy; Samways, Michael J.; Zobel, Martin",2010,"BIODIVERSITY AND CONSERVATION",1,"R13",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Characterizing the post-recolonization of Antechinus flavipes and its genetic implications in a production forest landscape","Mijangos, Jose L.; Pacioni, Carlo; Spencer, Peter B. S.; Hillyer, Mia; Craig, Michael D.",2017,"RESTORATION ECOLOGY",1,"R6",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Cities as Novel Biomes: Recognizing Urban Ecosystem Services as Anthropogenic","Pincetl, Stephanie",2015,"FRONTIERS IN ECOLOGY AND EVOLUTION",1,"R1",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Civic ecology practices: insights from practice theory","Krasny, Marianne E.; Silva, Philip; Barr, Cornelia; Golshani, Zahra; Lee, Eunju; Ligas, Robert; Mosher, Eve; Reynosa, Andrea",2015,"ECOLOGY AND SOCIETY",1,"R1",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"CLASSIFICATION OF THE NON-FOREST WOODY VEGETATION AND ITS RELATION TO HABITAT CONDITIONS: CASE STUDY FROM WHITE CARPATHIANS (WESTERN SLOVAKIA)","Demkova, Katarina; Mida, Peter",2014,"POLISH JOURNAL OF ECOLOGY",1,"R9",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Climate change and species interactions: ways forward","Angert, Amy L.; LaDeau, Shannon L.; Ostfeld, Richard S.",2013,"CLIMATE CHANGE AND SPECIES INTERACTIONS: WAYS FORWARD",1,"R5",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Climate Change Impacts on Western Pacific Northwest Prairies and Savannas","Bachelet, Dominique; Johnson, Bart R.; Bridgham, Scott D.; Dunn, Pat V.; Anderson, Hannah E.; Rogers, Brendan M.",2011,"NORTHWEST SCIENCE",1,"R13",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Climate-change impacts on sandy-beach biota: crossing a line in the sand","Schoeman, David S.; Schlacher, Thomas A.; Defeo, Omar",2014,"GLOBAL CHANGE BIOLOGY",1,"R1",FALSE,"R1: opinion piece",NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Coal mining activities change plant community structure due to air pollution and soil degradation","Pandey, Bhanu; Agrawal, Madhoolika; Singh, Siddharth",2014,"ECOTOXICOLOGY",1,"R1",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Collaborative Adaptive Rangeland Management Fosters Management-Science Partnerships","Wilmer, Hailey; Derner, Justin D.; Fernandez-Gimenez, Maria E.; Briske, David D.; Augustine, David J.; Porensky, Lauren M.",2018,"RANGELAND ECOLOGY & MANAGEMENT",1,"R12",FALSE,"R12: paper has implications for human drivers (participatory multi-stakeholder approach to managing conflicting services) section but does not address EF/ES directly. Though the group itself prioritized services, made management decisions, and scheduled monitoring",NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Collaborative decision-analytic framework to maximize resilience of tidal marshes to climate change","Thorne, Karen M.; Mattsson, Brady J.; Takekawa, John; Cummings, Jonathan; Crouse, Debby; Block, Giselle; Bloom, Valary; Gerhart, Matt; Goldbeck, Steve; Huning, Beth; Sloop, Christina; Stewart, Mendel; Taylor, Karen; Valoppi, Laura",2015,"ECOLOGY AND SOCIETY",1,"R1",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Collaborative learning to unlock investments for functional ecological infrastructure: Bridging barriers in social-ecological systems in South Africa","Angelstam, Per; Barnes, Garth; Elbakidze, Marine; Marais, Christo; Marsh, Alex; Polonsky, Sarah; Richardson, David M.; Rivers, Nina; Shackleton, Ross T.; Stafford, William",2017,"ECOSYSTEM SERVICES",1,"R6",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Collective action and the risk of ecosystem regime shifts: insights from a laboratory experiment","Schill, Caroline; Lindahl, Therese; Crepin, Anne-Sophie",2015,"ECOLOGY AND SOCIETY",1,"R1",FALSE,"R1: lab-based social survey",NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Combining ecological aspects and local knowledge for the conservation of two native mammals in the Gran Chaco","Periago, Maria E.; Tamburini, Daniela M.; Ojeda, Ricardo A.; Caceres, Daniel M.; Diaz, Sandra",2017,"JOURNAL OF ARID ENVIRONMENTS",1,"R6",FALSE,"R6: moreso modeled habitat affinities of two taxa that are used for provisioning ES but didn’t really tie together/explicitly model ES",NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Common European birds are declining rapidly while less abundant species' numbers are rising","Inger, Richard; Gregory, Richard; Duffy, James P.; Stott, Iain; Vorisek, Petr; Gaston, Kevin J.",2015,"ECOLOGY LETTERS",1,"R1",FALSE,"R1: In the discussion, they mention that ecosystem service provision is indirectly a function of avian body mass, however, this comment seemed accessory and not central to their methods in analyzing body mass.",NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Community based aquaculture in the western Indian Ocean: challenges and opportunities for developing sustainable coastal livelihoods","Ateweberhan, Mebrahtu; Hudson, Joanna; Rougier, Antoine; Jiddawi, Narriman S.; Msuya, Flower E.; Stead, Selina M.; Harris, Alasdair",2018,"ECOLOGY AND SOCIETY",1,"R6",FALSE,"R6: Surveyed about issues around community based aquaculture (ES)",NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Community ecology theory predicts the effects of agrochemical mixtures on aquatic biodiversity and ecosystem properties","Halstead, Neal T.; McMahon, Taegan A.; Johnson, Steve A.; Raffel, Thomas R.; Romansic, John M.; Crumrine, Patrick W.; Rohr, Jason R.",2014,"ECOLOGY LETTERS",1,"R1",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Community owned solutions: identifying local best practices for social-ecological sustainability","Mistry, Jayalaxshmi; Berardi, Andrea; Tschirhart, Celine; Bignante, Elisa; Haynes, Lakeram; Benjamin, Ryan; Albert, Grace; Xavier, Rebecca; Robertson, Bernie; Davis, Odacy; Jafferally, Deirdre; de Ville, Geraud",2016,"ECOLOGY AND SOCIETY",1,"R8",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Comparing community garden typologies of Baltimore, Chicago, and New York City (USA) to understand potential implications for socio-ecological services","Anderson, Elsa C.; Egerer, Monika H.; Fouch, Nakisha; Clarke, Mysha; Davidson, Melissa J.",2019,"URBAN ECOSYSTEMS",1,"R3",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Comparing rates of springtail predation by web-building spiders using Bayesian inference","Welch, Kelton D.; Schofield, Matthew R.; Chapman, Eric G.; Harwood, James D.",2014,"MOLECULAR ECOLOGY",1,"R1",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Comparison of environmental DNA and bulk-sample metabarcoding using highly degenerate cytochrome c oxidase I primers","Macher, Jan-Niklas; Vivancos, Aurelien; Piggott, Jeremy J.; Centeno, Fernanda C.; Matthaei, Christoph D.; Leese, Florian",2018,"MOLECULAR ECOLOGY RESOURCES",1,"R2",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Competition and facilitation in synthetic communities of arbuscular mycorrhizal fungi","Thonar, Cecile; Frossard, Emmanuel; Smilauer, Petr; Jansa, Jan",2014,"MOLECULAR ECOLOGY",1,"R9",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Complex effects of natural disasters on protected areas through altering telecouplings","Zhang, Jindong; Connor, Thomas; Yang, Hongbo; Ouyang, Zhiyun; Li, Shuxin; Liu, Jianguo",2018,"ECOLOGY AND SOCIETY",1,"R6",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Composition, distribution and habitat effects of vascular plants on the vertical surfaces of an ancient city wall","Qiu, Yanning; Chen, Bin J. W.; Song, Yanjuan; Huang, Zheng Y. X.; Wan, Li; Huang, Cheng; Liu, Maosong; Xu, Chi",2016,"URBAN ECOSYSTEMS",1,"R8",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Conceptions and Perceptions of Primary School Teachers on Wetlands","Garcia Fernandez, Beatriz; Sanchez Emeterio, Gema",2017,"WETLANDS",1,"R6",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Conceptualizing 'sense of place' in cultural ecosystem services: A framework for interdisciplinary research","Ryfield, Frances; Cabana, David; Brannigan, John; Crowe, Tasman",2019,"ECOSYSTEM SERVICES",1,"R2",FALSE,"R2: cultural ES framework",NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Consequences of spatial heterogeneity for ecosystem services in changing forest landscapes: priorities for future research","Turner, Monica G.; Donato, Daniel C.; Romme, William H.",2013,"LANDSCAPE ECOLOGY",1,"R9",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Conservation of Pattern and Process: Developing an Alternative Paradigm of Rangeland Management","Fuhlendorf, Samuel D.; Engle, David M.; Elmore, R. Dwayne; Limb, Ryan F.; Bidwell, Terrence G.",2012,"RANGELAND ECOLOGY & MANAGEMENT",1,"R5",FALSE,"R5: argumentative essay on rangeland multi-services",NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Conservation Program Participation and Adaptive Rangeland Decision-Making","Lubell, M. N.; Cutts, B. B.; Roche, L. M.; Hamilton, M.; Derner, J. D.; Kachergis, E.; Tate, K. W.",2013,"RANGELAND ECOLOGY & MANAGEMENT",1,"R9",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Conservation vs. livelihoods: spatial management of non-timber forest product harvests in a two-dimensional model","Robinson, Brian E.",2016,"ECOLOGICAL APPLICATIONS",1,"R8",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Conserving the abundance of nonthreatened species","Baker, David J.; Garnett, Stephen T.; O'Connor, James; Ehmke, Glenn; Clarke, Rohan H.; Woinarski, John C. Z.; McGeoch, Melodie A.",2019,"CONSERVATION BIOLOGY",1,"R2",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Consumer demand for urban forest ecosystem services and disservices: Examining trade-offs using choice experiments and best-worst scaling","Soto, Jose R.; Escobedo, Francisco J.; Khachatryan, Hayk; Adams, Damian C.",2018,"ECOSYSTEM SERVICES",1,"R6",FALSE,"R6: Surveyed homeowners rather than modeling/measuring ES themselves",NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Consumers and establishment limitations contribute more than competitive interactions in sustaining dominance of the exotic herb garlic mustard in a Wisconsin, USA forest","Dornbush, Mathew E.; Hahn, Philip G.",2013,"BIOLOGICAL INVASIONS",1,"R9",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Contrasting changes in taxonomic vs. functional diversity of tropical fish communities after habitat degradation","Villeger, Sebastien; Ramos Miranda, Julia; Flores Hernandez, Domingo; Mouillot, David",2010,"ECOLOGICAL APPLICATIONS",1,"R13",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Contrasting Cloud Forest Restoration Potential Between Plantations of Different Exotic Tree Species","Thijs, Koen W.; Aerts, Raf; Van de Moortele, Pieter; Musila, Winfred; Gulinck, Hubert; Muys, Bart",2014,"RESTORATION ECOLOGY",1,"R1",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Contrasting the roles of section length and instream habitat enhancement for river restoration success: a field study of 20 European restoration projects","Hering, Daniel; Aroviita, Jukka; Baattrup-Pedersen, Annette; Brabec, Karel; Buijse, Tom; Ecke, Frauke; Friberg, Nikolai; Gielczewski, Marek; Januschke, Kathrin; Koehler, Jan; Kupilas, Benjamin; Lorenz, Armin W.; Muhar, Susanne; Paillex, Amael; Poppe, Michaela; Schmidt, Torsten; Schmutz, Stefan; Vermaat, Jan; Verdonschot, Piet F. M.; Verdonschot, Ralf C. M.; Wolter, Christian; Kail, Jochem",2015,"JOURNAL OF APPLIED ECOLOGY",1,"R14",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Contributions of climatic and non-climatic drivers to grassland variations on the Tibetan Plateau","Pan, Tao; Zou, Xintong; Liu, Yujie; Wu, Shaohong; He, Guangming",2017,"ECOLOGICAL ENGINEERING",1,"R6",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Correlative and dynamic species distribution modelling for ecological predictions in the Antarctic: a cross-disciplinary concept","Gutt, Julian; Zurell, Damaris; Bracegridle, Thomas J.; Cheung, William; Clark, Melody S.; Convey, Peter; Danis, Bruno; David, Bruno; De Broyer, Claude; di Prisco, Guido; Griffiths, Huw; Laffont, Remi; Peck, Lloyd S.; Pierrat, Benjamin; Riddle, Martin J.; Saucede, Thomas; Turner, John; Verde, Cinzia; Wang, Zhaomin; Grimm, Volker",2012,"POLAR RESEARCH",1,"R13",FALSE,"R13: Modeling species distributions in the future.",NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Countryside biogeography of Neotropical reptiles and amphibians","Mendenhall, Chase D.; Frishkoff, Luke O.; Santos-Barrera, Georgina; Pacheco, Jesus; Mesfun, Eyobed; Mendoza Quijano, Fernando; Ehrlich, Paul R.; Ceballos, Gerardo; Daily, Gretchen C.; Pringle, Robert M.",2014,"ECOLOGY",1,"R1",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Cover crop effect on corn growth and yield as influenced by topography","Munoz, Juan D.; Steibel, Juan P.; Snapp, Sieglinde; Kravchenko, Alexandra N.",2014,"AGRICULTURE ECOSYSTEMS & ENVIRONMENT",1,"R1",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Creating local institutional arrangements for sustainable wetland socio-ecological systems: lessons from the 'Striking a Balance' project in Malawi","Dixon, Alan; Carrie, Rachael",2016,"INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY",1,"R8",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Creating sustainable future landscapes: a role for landscape ecology in the rangelands of Northern Australia","Pearson, Diane; Nawaz, Muhammad; Wasson, Robert",2019,"RANGELAND JOURNAL",1,"R2",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Creating woodland islets to reconcile ecological restoration, conservation, and agricultural land use","Benayas, Jose M. Rey; Bullock, James M.; Newton, Adrian C.",2008,"FRONTIERS IN ECOLOGY AND THE ENVIRONMENT",1,"R11",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Cultivating deep care: integrating landscape ecological research into the cultural dimension of ecosystem services","Musacchio, Laura R.",2013,"LANDSCAPE ECOLOGY",1,"R9",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
"Deconstructing the surrogate species concept: a life history approach to the protection of ecosystem services","Banks, John E.; Stark, John D.; Vargas, Roger I.; Ackleh, Azmy S.",2014,"ECOLOGICAL APPLICATIONS",1,"R1",FALSE,NA,NA,NA,3,"No EF/ES directly measured","This paper does NOT directly measure/model an EF and/or ES"
