Title,FirstAuthor,SourcePublication,PublicationYear,Init,doublerev,version,Q14_ESP_type,ESPcount,Q14_KremenNotes,biotic_driver_present,biotic_drivers,Q18_SurveyNotes,Round1_Comments,Q14_qa_note
The impact of projected increases in urbanization on ecosystem services,Eigenbrod,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2011,LB,FALSE,final,Only land cover or habitat type as proxy,1,,TRUE,Service Provider (Q17),,"Urbanization impacts on flood mitigation, stored carbon, etc.",
Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018,JL/TK,TRUE,final,"Across species  [e.g. community structure, diversity]",1,JL: Linked aggregate index of cultural services to biodiversity loss (note biodiversity loss was explored as both a response AND a driver; i.e. mediator of effects),TRUE,Service Provider (Q17),"JL: Note that for the ES/Drivers table - they did compile all of the variables listed, however, relationships with drivers were NOT done on independent variables. Rather, they were lumped into single indices for regulating services, provisioning services, cultural services and biodiversity loss, which is why many of the rows share the same noted responses to drivers.","Paper qualifies for now, but may need to be excluded later if it is determined that they didn't actually model an EF/ES","CTW reviewed and corrected based on corrected Q12 answers, keep JL answer"
Seasonal complementary in pollinators of soft-fruit crops,Ellis,BASIC AND APPLIED ECOLOGY,2017,AIS,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,TRUE,Service Provider (Q17); honeybees near farm; number of bumblebee colonies used per year; wild flower strips planted,,,
"Seeds in farmland food-webs: Resource importance, distribution and the impacts of farm management",Evans,BIOLOGICAL CONSERVATION,2011,NBD,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,TRUE,Service Provider (Q17),,Can't quite tell from the abstract if EFs or ESs are directly measured.,
Functional diversity in cover crop polycultures increases multifunctionality of an agricultural system,Finney,JOURNAL OF APPLIED ECOLOGY,2017,SDJ,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",2,They assigned the polycultures based on specific functional traits of the cover crops which means this paper is addressing Multiple ESP species. It quantified multifunctionality based on diversity/richness so that makes it also Across Species,FALSE,,,,
Evidence of sustainable intensification among British farms,Firbank,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013,CK,FALSE,final,,0,,FALSE,,,,
Impacts of grazing abandonment on ecosystem service provision: Coastal grassland as a model system,Ford,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2012,CW,FALSE,final,"Across species  [e.g. community structure, diversity]",1,Not sure whether to consider grazing animals as ESPs? Checked across species because measured inverts and pollinators. Fig. 6 shows directional effects of different services and EFs on one another when grazers are removed.,FALSE,,"Follow Millennium Ecosystem Assessment and UK National Ecosystem Assessment frameworks for defining their ES's and proxies for ES's. More response variables than Q12 has space for. Authors considered plant biodiversity, vegetation structure, grass:forb ratio, and flowering as proxies for cultural services (aesthetic appreciation). Also measured Root turnover rate as supporting ES (nutrient turnover -- put in formation/protection of soils in Q12)",,
Land use affects dung beetle communities and their ecosystem service in forests and grasslands,Frank,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,IS,FALSE,final,"Across species  [e.g. community structure, diversity]",1,33 total dung beetle species across all sites in both surveys,TRUE,Service Provider (Q17),,,
Combined effects of agrochemicals and ecosystem services on crop yield across Europe,Gagic,ECOLOGY LETTERS,2017,JL,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,TRUE,Service Provider (Q17); Other= biocontrol index,"Although I declared no measured feedbacks, this is a complicated structured analysis, and there are certainly relationships between multiple services (or disservices), like pest control (aphids) and crop yield; aphids could thus be considered an ESP and an ES (or disservice); Comment on Human driver: Management practice=fertilizer, Management practice=insecticide (indirectly via effects on aphids), Land use change=landscape simplification; Comment on Biotic driver: Service provider(yield)=aphid growth, Service provider(aphid)=rove beetles;wolf spiders;vegetation-dwelling predators",,
Additive and interactive effects of pollination and biological pest control on crop yield,Gagic,JOURNAL OF APPLIED ECOLOGY,2019,LD,FALSE,final,"Among species [e.g., species interactions]",1,A biological pest control index was calculated as 1  [number of aphids per tiller in open control at the end of the experiment/(aphid growth rate in cage 9 number of aphids per tiller in open control at beginning of the experiment)] (Rusch et al. 2013).,TRUE,aphid abundance,"Looking at agricultural intensification (social organic carbon as proxy, insecticide use, fertilizer) (1) agricultural intensification at different scales will have direct effect on abundances of pests at colonisation time and abundances of their natural enemies with non-additive effect across spatial scales, (2) abundances of natural enemies will positively relate to the BCI, (3) BCI will reduce aphid growth, (4) yield will be reduced by aphid abundances expressed as an interaction between aphid colonisation (count 1) and growth (between counts 2 and 3).",,
When things don't add up: quantifying impacts of multiple stressors from individual metabolism to ecosystem processing,Galic,ECOLOGY LETTERS,2018,AK/GV,TRUE,final,"Single species  [e.g. ESPs, single species]",1,,TRUE,Feeding; Reproduction; Growth; Maintenance,,,"CTW reviewed, corrected based on GV and AK responses to review; keep AK answer--paper is simulation study using single population model and population effects on ecosystem function"
Microhabitat heterogeneity promotes soil fertility and ground-dwelling arthropod diversity in Mediterranean wood-pastures,Garcia-Tejero,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2016,SDJ,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",2,,FALSE,,"the management strategy was not varied. There was just one management type and microhabitats resulted, which were then observed","Effect of abiotic driver (microhabitat type, likely driven by human use) on soil function (likely mediated by soil biota)",
The benefits of hedgerows for pollinators and natural enemies depends on hedge quality and landscape context,Garratt,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,KCG,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,TRUE,"Hedge quality (""good"" or ""poor""); availability of semi-natural habitat (% area within 500m radius)",,,
Enhancing Soil Organic Matter as a Route to the Ecological Intensification of European Arable Systems,Garratt,ECOSYSTEMS,2018,SDJ,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,"I include ESPs for the aphid portion of this study. They measured 3 different aphids as wheat pests in each plot. So the aphids were not service providers, but a ESP that influenced service provision (food)",FALSE,,"soil organic carbon was stated to be a proxy for SOM. They did not alter SOC, they found fields that had high or low SOC due to management history and then they altered fertilizers (experimentally)",,
Experimental rewilding enhances grassland functional composition and pollinator habitat use,Garrido,JOURNAL OF APPLIED ECOLOGY,2019,CK,FALSE,final,,0,,TRUE,Plant species richness,,impacts of large herbivore grazing on plant community and functional traits,
The relative importance of pollinator abundance and species richness for the temporal variance of pollination services,Genung,ECOLOGY,2017,SDJ,FALSE,final,"Single species  [e.g. ESPs, single species]",1,The biggest driver of temporal variance in pollination service was due to fluctuation in a common wild bee species (and not due to variance in species richness),TRUE,Service Provider (Q17),"they frame this paper as can you scale up findings about increased richness leading to increased stability of EFs to landscape scale? They use the Price equation to separate abundance, richness, and composition over time",,
Harvested perennial grasslands provide ecological benchmarks for agricultural sustainability,Glover,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2010,TM,FALSE,final,Only land cover or habitat type as proxy,1,,TRUE,Service Provider (Q17); Perennial vegetation,,,
Evaluating the effectiveness of urban trees to mitigate storm water runoff via transpiration and stemflow,Gotsch,URBAN ECOSYSTEMS,2018,AK/AIS,TRUE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,AK: Interested in which species are best at providing services in urban area; AIS: they measure a few tree species,FALSE,,,,
Assessing mismatches in ecosystem services proficiency across the urban fabric of Porto (Portugal): The influence of structural and socioeconomic variables,Graca,ECOSYSTEM SERVICES,2017,AK,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,Looked at any tree species in the plots with DBH greater than or equal to 2.54cm,FALSE,,,,
Do riparian reserves support dung beetle biodiversity and ecosystem services in oil palm- dominated tropical landscapes?,Gray,ECOLOGY AND EVOLUTION,2014,CK,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,FALSE,,,,
Performance of salmon fishery portfolios across western North America,Griffiths,JOURNAL OF APPLIED ECOLOGY,2014,JL/TK,TRUE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,FALSE,,,,"CTW reviewed paper, keep TK answer because multiple salmon fisheries studied (as response variable); salmon = ESP (provide food--actual ES, e.g. lbs salmon for sustenance, not studied), albeit paper looked at effects of anthro and env on the ESP"
The ecological adaptability of Phragmites australis to interactive effects of water level and salt stress in the Yellow River Delta,Guan,AQUATIC ECOLOGY,2017,AIS,FALSE,final,,0,,FALSE,,,measuring functions not services,
Mapping Soil Erosion Prevention Using an Ecosystem Service Modeling Framework for Integrated Land Management and Policy,Guerra,ECOSYSTEMS,2014,SDJ,FALSE,final,,0,,FALSE,,,they actually measure ES!,
Tropical deforestation alters hummingbird movement patterns,Hadley,BIOLOGY LETTERS,2009,GV,FALSE,final,"Single species  [e.g. ESPs, single species]",1,"They are looking at the movement of a single species of hummingbird, but not how we have been typically thinking about ESPs.",FALSE,,Movements were less direct in agriculturally fragmented landscapes compared to forested landscapes.,How agriculture influences pollinator success (disruption of pollination),
Functional diversity increases ecological stability in a grazed grassland,Hallett,OECOLOGIA,2017,AIS,FALSE,final,"Single species  [e.g. ESPs, single species]",1,livestock as the inferred ESP for grazing to facilitate functional diversity,TRUE,Service Provider (Q17),,Grazing/environmental effects on functional diversity and stability of cover/production (EF),
"Assessing and mapping of multiple ecosystem services in Guizhou Province, China",Han,TROPICAL ECOLOGY,2017,TK/JL,TRUE,final,,0,"JL: I did not record land cover as an ESP, but rather as a human driver (land use change), because in most cases the contrasts were made between forestland and farmland or built-up land (signaling a major human role in the shift)",TRUE,Other(water)=estimated root depth of vegetation type,"JL: I did not note direction of driver effects if there were multiple different drivers considered (e.g., precip and evaporation as different environmental drivers) or if the driver was categorical (and consequently, lacked directionality)",,
Potential tree and soil carbon storage in a major historical floodplain forest with disrupted ecological function,Hanberry,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,2015,LD,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,A bit unclear - I think they did a per tree biomass estimate and summed then converted to C,FALSE,,,"Measures soil carbon, and weakly links to ES",
Relationship between paired ecosystem services in the grassland and agro-pastoral transitional zone of China using the constraint line method,Hao,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,JL,FALSE,final,,0,,FALSE,,"Although I note that the paper looks at how land use affects services, the MAIN focus is on characterizing the relationships BETWEEN SERVICES and understanding how they change at different scales and land types, and constrain eachother.",,
Delivery of floral resources and pollination services on farmland under three different wildlife-friendly schemes,Hardman,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2016,LB,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,TRUE,Service Provider (Q17),,,
Incorporating landscape heterogeneity into multi-objective spatial planning improves biodiversity conservation of semi-natural grasslands,Harlio,JOURNAL FOR NATURE CONSERVATION,2019,SDJ,FALSE,final,,0,,FALSE,,tradeoffs discussed,,
"Fire, leaf harvest, and abiotic factors drive demography of an ecologically and culturally important understory plant",Hart-Fredeluces,ECOSPHERE,2019,LB,FALSE,final,"Single species  [e.g. ESPs, single species]",1,,TRUE,Service Provider (Q17),,,
Structural features of fragmented woodland communities affect leaf litter decomposition rates,Hastwell,BASIC AND APPLIED ECOLOGY,2013,KCG,FALSE,final,"Single species  [e.g. ESPs, single species]",1,,TRUE,Service Provider (Q17); Tree cover; tree size,,,
Local loss and spatial homogenization of plant diversity reduce ecosystem multifunctionality,Hautier,NATURE ECOLOGY & EVOLUTION,2018,LB,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,TRUE,Service Provider (Q17),,,
Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Hefting,ECOLOGICAL ENGINEERING,2013,LD/TK,TRUE,final,Only land cover or habitat type as proxy,1,LD: Wetland habitat and different locations sampled that differed in their pH.,FALSE,,"LD: Some key things to pull out: Denitrification(graybars)andnitrousoxideemission(blackbars)in6streamsidelocationsintheupper,middleandlowerpartsofthecatchmentsstudied. Of the environmen- tal factors measured, pH is definitely the one which gives the best explanation of these differences (Fig. 2). At all sites where nitrous oxide emissions occurred, pH values were low, whereas emissions were negligible or even negative where pH was around 7.; TK: Barely a data paper but did include one really small study that has barely any connection to ES. Not sure it should have made it through, but it is tough. Weird paper.",,"CTW reviewed, corrected based paper and on corrected Q12 answers, keep LD answer"
Integrating spatially explicit molecular and ecological methods to explore the significance of non-crop vegetation to predators of brassica pests,Heimoana,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,GV,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,TRUE,Service Provider (Q17),,Counts of insect predators as proxy for biological control on crop herbivore pests (ES),
Application of a rangeland soil erosion model using National Resources Inventory data in southeastern Arizona,Hernandez,JOURNAL OF SOIL AND WATER CONSERVATION,2013,JL/TK,TRUE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,"JL: I decided not to include foliar, litter, and ground cover as an 'ESP', although these variables are biotic in nature.. they reflect bulk plant cover, but not community structure or diversity, or particular species, so I was reluctant.",TRUE,total vegetation ground cover; foliar cover; vegetation basal gap; vegetation canopy gap; litter cover,,,"CTW looked at paper, keeping TK answer because analyses looked at effects of different plant functional groups (multiple ESPs) on different ecosystem health and function indicators"
Anthropogenic remediation of heavy metals selects against natural microbial remediation,Hesse,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2019,LB,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,TRUE,Service Provider (Q17),,ES is microbial community - directly connected to soil remediation,
Assessing and predicting the relative ecological impacts of disturbance on habitats with different sensitivities,Hiddink,JOURNAL OF APPLIED ECOLOGY,2007,CW,FALSE,final,Only land cover or habitat type as proxy,1,Habitat type assigned to each pixel is on a gradient of most to least sensitive,TRUE,Service Provider (Q17),"This is largely a data simulation paper.. model validated with observed data, but overall authors model production (C per area per time) and biomass (C stock) for all pixels in study area, varying trawling frequencies.",,
Functional group diversity of bee pollinators increases crop yield,Hoehn,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2008,CK,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,TRUE,Service Provider (Q17),,,
Diversity and invasion within a predator community: impacts on herbivore suppression,Hogg,JOURNAL OF APPLIED ECOLOGY,2011,TM,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,Looked at 3 spider species that predate on an orthoptera pest,TRUE,Service Provider (Q17),,,
"Demographic drivers of biomass carbon recovery in degraded perennial tussock grassland, with and without domestic grazing",Holdaway,NEW ZEALAND JOURNAL OF ECOLOGY,2014,AIS,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,Tussock species,FALSE,,"main focus of paper is on demographic processes, so considered excluding at first",,
Temporal variation and spatial scale dependency of ecosystem service interactions: a case study on the central Loess Plateau of China,Hou,LANDSCAPE ECOLOGY,2017,NBD,FALSE,final,Only land cover or habitat type as proxy,1,,FALSE,,,,
"Community size, activity and C:N stoichiometry of soil microorganisms following reforestation in a Karst region",Hu,EUROPEAN JOURNAL OF SOIL BIOLOGY,2016,CW,FALSE,final,"Single species  [e.g. ESPs, single species]",1,"Not sure if should count soil microbes as ESP? Authors did not describe microbes as ESPs.. but did intend microbial activity as an indicator of ecosystem restoration. They do not discern different microbe taxa or assess community composition, just lump all microbes together so chose ""single species"" ESP in Q14 because they're treating microbes as a single group (in the study text as well).",FALSE,,"They measured 14 different soil physio-chemical and 6 soil microbe metabolic-chemical response variables. Only space in Q12 for two. Full list of y variables is: soil porosity, soil moisture, soil total carbon, soil total organic carbon (TOC), soil total inorganic carbon (TIC), soil total nitrogen (TN), soil TOC:TN, soil pH; microbial biomass (MBC), microbial biomass nitrogen (MBN), microbial basal respiration (BR), microbial metabolic quotient, microbial C:N, MBC:TOC",,
Emergy-based evaluation of pen-urban ecosystem services,Huang,ECOLOGICAL COMPLEXITY,2011,SDJ,FALSE,final,Only land cover or habitat type as proxy,1,They used land cover but then used Emergy calculations with that. So it's not quite a direct proxy,FALSE,,"All of the ES's had units of Solar Emergy (sej/yr) and were not discussed as proxies. They were listed as ES's in all tables. All were calculations based on land cover. No directionality to the driver because they were assessed as a system, not individually",,
Low tolerance of New Caledonian secondary forest species to savanna fires,Ibanez,JOURNAL OF VEGETATION SCIENCE,2013,AIS,FALSE,final,,0,,TRUE,bark thickness; tree height,,UPDATED,
Large herbivores affect forest ecosystem functions by altering the structure of dung beetle communities,Iida,ACTA OECOLOGICA-INTERNATIONAL JOURNAL OF ECOLOGY,2018,TM,FALSE,final,"Single species  [e.g. ESPs, single species]",1,,TRUE,Canopy openness; Understory cover; Deer density,,,
Avian functional responses to landscape recovery,Ikin,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2019,NBD,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,FALSE,,,developed conceptual model and applied to bird study in agro-ecosystem,
"Terrestrial acidification and ecosystem services: effects of acid rain on bunnies, baseball, and Christmas trees",Irvine,ECOSPHERE,2017,NBD,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,TRUE,Service Provider (Q17),,,
Non-native fruit trees facilitate colonization of native forest on abandoned farmland,Jacob,RESTORATION ECOLOGY,2017,KCG,FALSE,final,,0,,FALSE,,,CTW re-evaluated article for Q8; LD: measures biomass as a function but links to services are less clear.,
Fishing impacts on the marine inorganic carbon cycle,Jennings,JOURNAL OF APPLIED ECOLOGY,2009,JL/TK,TRUE,final,"Single species  [e.g. ESPs, single species],Across species  [e.g. community structure, diversity]",2,"JL: while data from one site focused on herrings, data from another site used fish 'community biomass', which I designated as 'across species'",TRUE,Service Provider (Q17),,,JL reviewed
"Ecosystem change assessment in the Three-river Headwater Region, China: Patterns, causes, and implications",Jiang,ECOLOGICAL ENGINEERING,2016,LD,FALSE,final,Only land cover or habitat type as proxy,1,"These ecosystem types Forest 1187.0 Shrub 17882.3 Grassland 264859.2 Wetland/water-body 35589.7 Farmland 2113.0 Urban 442.0 Desert 62519.2 Glacier and snow. These indicators: Area of each ecosystem type, transfer area between different ecosystem types Fractional Vegetation Cover (FVC) Flow in spring flood, summer flood and dry seasons, runoff coefficient, surface water and groundwater resources, the ratio of flow in dry season to annual flow Soil retention amount and sand fixation amount Net primary productivity (NPP) -- also species habitat area but that is for conservation not ES",FALSE,,"Positive relationship between streamwater flow and rainfall. The runoff coefficient, an indicator of water yield, so maybe not in the right place.",,
"Quantifying changes in multiple ecosystem services during 2000-2012 on the Loess Plateau, China, as a result of climate variability and ecological restoration",Jiang,ECOLOGICAL ENGINEERING,2016,LD,FALSE,final,Only land cover or habitat type as proxy,1,does LULC change and vegetation cover,TRUE,vegetation cover,"DYNAMICS OVER TIME AND TRADEOFFS AND SYNERGIES BETWEEN MULTIPLE ES : ""The spatial correlation coefficients between soil retention, car- bon sequestration, and hydrological regulation amounts in 2000, 2005, and 2012; and changes during 2000–2012, suggest that synergies exist between three regulating ecosystem services on the LP""",Links abiotic drivers to ES's over time,
Modelling the potential impacts of urban ecosystem changes on carbon storage under different scenarios by linking the CLUE-S and the InVEST models,Jiang,ECOLOGICAL MODELLING,2017,SDJ,FALSE,final,,0,,FALSE,,,,
"Challenging the land degradation in China's Loess Plateau: Benefits, limitations, sustainability, and adaptive strategies of soil and water conservation",Jiang,ECOLOGICAL ENGINEERING,2019,CW,FALSE,final,,0,"no focus on ESPs -- more about human (land restoration/management practices, and policies)and environmental drivers (climate trends)",FALSE,,"Talk about threshold in how they treated erosion model -- daily rainfall of at least 12mm required to trigger erosion in this area. Only kept values 12 or large in the precipitation dataset for that reason. Lots of variables in this paper.. show soil retention and erosion through time and space, climate trends (wind speed, temp anomaly, precipitation anomaly, PET) in same time period, NDVI over time and space, changes in percent area covered by soil and water conservation measures. All of these metrics are related to prevention of soil erosion ecosystem service as well as soil erosion runoff to Yellow River (measured as sediment export by watershed sub-basin, with time on x-axis and broken down by location). Idea is to interpret results together. They also discuss policy changes from 1970-2010s that affected soil and water conservation practices in this area that likely contribute to results observed.",,
China's progress towards sustainable land degradation control: Insights from the northwest arid regions,Jiang,ECOLOGICAL ENGINEERING,2019,IS,FALSE,final,,0,,FALSE,,this paper didn't explicitly talk about ecosystem functions or ecosystem services in general nor in terms of their measured variables so that is why I left the q12 'paper reported response variables as...' blank; it did stay in since it didn't quite fall into the initial exclusion questions in this qualtrics survey,,
Re-orienting ecological restoration in degraded drylands for a more sustainable soil-water relationship: Non-linear boundary of limited water resources in combating soil loss,Jiang,JOURNAL OF ARID ENVIRONMENTS,2019,TM,FALSE,final,Only land cover or habitat type as proxy,1,,TRUE,Vegetation cover,,,
Invasive Species Impacts on Human Well-being Using the Life Satisfaction Index,Jones,ECOLOGICAL ECONOMICS,2017,SDJ,FALSE,final,"Single species  [e.g. ESPs, single species]",1,"Emerald Ash Borer was the species but not sure we call it a ""service provider""",TRUE,Service Provider (Q17),Difficult to fill in the table because the Emerald Ash Borer is not an ESP (it is an invasive species). the relationship was negative though and strongest after a 5 year lag,,
Organic farming promotes biotic resistance to foodborne human pathogens,Jones,JOURNAL OF APPLIED ECOLOGY,2019,CW,FALSE,final,"Across species  [e.g. community structure, diversity]",1,,TRUE,Service Provider (Q17),"Everything measured in this study, even soil community biodiversity, is in relation to potential to mitigate pathogen spread to food through feces in crop fields (i.e. it's all about food safety risk). So only counting y-vars towards soil protection ES (e.g. not counting diversity response towards maintenance of options ES). The general result is organic farming improves below ground beetle diversity, greater beetle diversity associated with more feces removal, reduced E. coli levels. Farm management levels are conventional, organic, and integrated. They have an SEM for above and below ground farm mgmt-beetle-soil content-feces relationships.",,
"Pronounced species turnover, but no functional equivalence in leaf consumption of invasive amphipods in the river Rhine",Jourdan,BIOLOGICAL INVASIONS,2016,TK/JL,TRUE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,TRUE,Service Provider (Q17),"JL: The paper specifically lists energy and nutrient cycling (via plant breakdown) in aquatic systems as the function of amphipods, which I filed under water quality, but this was my interpretation of the appropriate ES (soil formation includes 'decomposition', but interpreted this as terrestrial)",,
Using citizen scientists to measure an ecosystem service nationwide,Kaartinen,ECOLOGY,2013,LD/TK,TRUE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,"LD: decomposers and different treatments of them. xperimental treatments were implemented: (1) cow pats exposed to all local decomposers, (2) pats from which the burying activity of dor beetles (genus Geotropes) was blocked, (3) pats from which dor beetles were completely excluded, (4) pats from which both dor beetles and earthworms were excluded, and5) pats from which all local decomposers were excluded.",TRUE,Service Provider (Q17); Aphodius beetles; earthworms,"LD: For the time question, they sampled multiple points (days) over the course of the experiment - 6 sample points in 60 days. They were trying to tease apart taxon-specific effects. Interesting: The current observations of the impact of dor beetles offer large-scale proof for previous findings obtained at smaller spatial scales: that dung beetle species of high body mass may be disproportionately important for sustaining an overall ecosystem service in both temper- ate (Rosenlew and Roslin 2008) and tropical regions (Larsen et al. 2005, Slade et al. 2007, 2011). The fate of a major ecosystem service may then hinge disproportion- ately on the fate of individual, large-sized species—a finding with profound consequences for conservation priorities. Overall, we note that our general approach of estimating functional contributions of decomposer taxa as differences in mass among dung pats to which they had vs. lacked access relies on the explicit assumption that relevant taxa were present across sites. For pat- dwelling dung beetles in the genus Aphodius, this assumption was verified through direct sampling of five bait pats (see above and Appendix B). For earthworms and dor beetles, the sampling techniques employed will suffice to establish neither their presence nor their abundance. ****FLAG AS AN INNOVATIVE APPROACH TO SCALE UP ES RESEARCH - citizen science experiments *****",,LD reviewed inconsistent answers
Seasonal nitrous oxide emissions from different land uses and their controlling factors in a tropical riparian ecosystem,Kachenchart,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2012,LB,FALSE,final,Only land cover or habitat type as proxy,1,,TRUE,Service Provider (Q17),,,
Agricultural practices for food safety threaten pest control services for fresh produce,Karp,JOURNAL OF APPLIED ECOLOGY,2016,TM,FALSE,final,,0,,TRUE,Amount of 'semi natural vegetation'; Natural enemy presences,,"Human driver (land management & ag practices) effects on ES (food production, soil function)",
Predicting coral community recovery using multi-species population dynamics models,Kayal,ECOLOGY LETTERS,2019,TK,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",2,,TRUE,Service Provider (Q17),,,
"Habitat conversion, extinction thresholds, and pollination services in agroecosystems",Keitt,ECOLOGICAL APPLICATIONS,2009,TK,FALSE,final,,0,,FALSE,,,,
Decline in medicinal and forage species with warming is mediated by plant traits on the Tibetan Plateau,Klein,ECOSYSTEMS,2008,GV,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,FALSE,,,,
Evaluating changes in marine communities that provide ecosystem services through comparative assessments of community indicators,Kleisner,ECOSYSTEM SERVICES,2015,CK,FALSE,final,,0,,TRUE,3 community indicators: proportion of predatory fish (PPF indicator); average trophic level of the surveyed community (TLsc indicator); mean lifespan (mLS indicator),,,
"Evaluating carbon storage, timber harvest, and habitat possibilities for a Western Cascades (USA) forest landscape",Kline,ECOLOGICAL APPLICATIONS,2016,CW,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",2,"Looked at forest structure and age effects on habitat capability indices for multiple bird, and also trade-offs between increasing habitat for one ESP and effects on habitat availability for other ESPs",TRUE,Service Provider (Q17),"Carbon response variables (Mg C per ha) modeled for ecosystem level and forest sector, with timber harvest interval as the predictor (the longer the interval time, the more carbon stored so checked positive direction); found evidence of compound effects of forest structure on different ESPs so checked feedbacks detected; there's lots in this paper",,
Global patterns in lake ecosystem responses to warming based on the temperature dependence of metabolism,Kraemer,GLOBAL CHANGE BIOLOGY,2017,GV,FALSE,final,,0,,FALSE,,,"measures metabolic processes as a function  (no clear measure of services), does it across many lakes",
Do landscape patterns reflect ecosystem service provision? - A comparison between protected and unprotected areas throughout the Lake Neusiedl region,Kuttner,ECO MONT-JOURNAL ON PROTECTED MOUNTAIN AREAS RESEARCH,2014,NBD,FALSE,final,,0,,FALSE,,,,
From Field Data to Ecosystem Services Maps: Using Regressions for the Case of Deforested Areas Within the Amazon,Le Clec'h,ECOSYSTEMS,2018,LD,FALSE,final,Only land cover or habitat type as proxy,1,DOES ENVIRONMENT INCLUDE LANDSCAPE CONTEXT? THIS JUST HAS FORESTED OR BARE SOIL and other land use types not totally kremen..,TRUE,NDVI; pollinator richness,,,
Hydrological controls of fisheries production in a major Amazonian tributary,Leite Lima,ECOHYDROLOGY,2017,AK,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,looked at the 10 most fished species out of 40 (but made up 80% total catch),FALSE,,,,
Seed-dispersal distributions by trumpeter hornbills in fragmented landscapes,Lenz,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2011,SDJ,FALSE,final,"Single species  [e.g. ESPs, single species]",1,also only males of this species,TRUE,Service Provider (Q17),I chose yes for connectivity because the paper is about seed dispersal (via birds) across fragmented landscapes.,,
Spatially explicit quantification of the interactions among ecosystem services,Li,LANDSCAPE ECOLOGY,2017,AIS,FALSE,final,Only land cover or habitat type as proxy,1,,TRUE,NDVI,,,
An integrated ecosystem service assessment in an artificial desert oasis of northwestern China,Liang,JOURNAL OF LAND USE SCIENCE,2017,LB,FALSE,final,,0,,FALSE,,,,
Trait-based approaches for guiding the restoration of degraded agricultural landscapes in East Africa,Lohbeck,JOURNAL OF APPLIED ECOLOGY,2018,SDJ,FALSE,final,,0,,FALSE,,"in this paper ""ecosystem services"" only mentioned in the abstract and references. The paper is about ecosystem function as far as I can tell. Lots of measurements and modeling to assess causes of erosion and soil organic carbon. invasive species, vegetation cover, soil health",,
Improving the application of vertebrate trait-based frameworks to the study of ecosystem services,Luck,JOURNAL OF ANIMAL ECOLOGY,2012,NBD,FALSE,final,"Multiple ESP species [e.g., multiple focal ESP species]",1,,FALSE,,,bird traits as proxy for pest management,
