Title,FirstAuthor,SourcePublication,PublicationYear,Init,doublerev,version,qnum,id,clean_answer,varnum,clean_answer_binned,abbr,Group,clean_group,ES,fullES,Q18_SurveyNotes,Round1_Comments,Q12drivers_qa_note
Relationships between renewable emergy storage or flow and biodiversity: A modeling investigation,Campbell,ECOLOGICAL MODELLING,2016,NBD,FALSE,final,Q12,Q25.3_1,Management Practices,3,Management/restoration,Driver,Human,Human,HabCreate,Habitat creation and maintenance,,"Questionable - focuses on biodiversity and energy production with minimal linkages in text to resilience as an ES, but does appear to also look at NPP/GPP, so likely a stretch of a connection to EF/ES to be found.",
Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017,AK/AIS,TRUE,final,Q12,Q25.2_4,Extreme Events,1,Extreme events,Driver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,,"AIS wrote ""Other"" and windthrow event.. the way we've created ""Extreme events"" (really just natural disturbances, e.g. all fires are lumped in this category), windthrow event should fall under Extreme events"
Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017,AK/AIS,TRUE,final,Q12,Q26,pathogen attack,2,Pathogens/natural enemies,OtherDriver,Biotic,Biotic,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,,For AIS review only: Infilled ES from Driver where 'Other' specified; AK reviewed inconsistent answers
Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017,AK/AIS,TRUE,final,Q12,Q26,browsing of trees by livestock and deer,3,Pathogens/natural enemies,OtherDriver,Biotic,Biotic,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,,For AIS review only: Infilled ES from Driver where 'Other' specified; AK reviewed inconsistent answers
Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017,AK/AIS,TRUE,final,Q12,Q25.2_16,Extreme Events,1,Extreme events,Driver,Environmental,Environmental,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",,,"windthrow event = ""Extreme event"" by our categorization"
Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017,AK/AIS,TRUE,final,Q12,Q26,pathogen attack,2,Pathogens/natural enemies,OtherDriver,Biotic,Biotic,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",,,For AIS review only: Infilled ES from Driver where 'Other' specified; AK reviewed inconsistent answers
Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017,AK/AIS,TRUE,final,Q12,Q26,browsing of trees by livestock and deer,3,Pathogens/natural enemies,OtherDriver,Biotic,Biotic,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",,,For AIS review only: Infilled ES from Driver where 'Other' specified; AK reviewed inconsistent answers
Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017,AK/AIS,TRUE,final,Q12,Q25.2_12,Extreme Events,1,Extreme events,Driver,Environmental,Environmental,Food,Food and feed,,,AK reviewed inconsistent answers
Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017,AK/AIS,TRUE,final,Q12,Q26,pathogen attack,2,Pathogens/natural enemies,OtherDriver,Biotic,Biotic,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",,,"CTW reviewed paper, move AIS answers from Medicinal/Genetic ES to Maintenance of Options based on study intent in paper"
Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017,AK/AIS,TRUE,final,Q12,Q26,browsing of trees by livestock and deer,3,Pathogens/natural enemies,OtherDriver,Biotic,Biotic,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",,,"CTW reviewed paper, move AIS answers from Medicinal/Genetic ES to Maintenance of Options based on study intent in paper"
Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017,AK/AIS,TRUE,final,Q12,Q25.2_13,Extreme Events,1,Extreme events,Driver,Environmental,Environmental,Materials,"Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",,,"CTW looked at paper, materials (provision of timber) an intended ES"
Quantifying resilience of multiple ecosystem services and biodiversity in a temperate forest landscape,Cantarello,ECOLOGY AND EVOLUTION,2017,AK/AIS,TRUE,final,Q12,Q17,windthrow event,1,Extreme events,OtherDriver,Environmental,Environmental,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",,,For AIS review only: Infilled ES from Driver where 'Other' specified; AK reviewed inconsistent answers
Shadow conservation and the persistence of sacred church forests in northern Ethiopia,Cardelus,BIOTROPICA,2017,IS,FALSE,final,Q12,Q25.3_15,Management Practices,1,Management/restoration,Driver,Human,Human,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]","This paper doesn't directly scale EF to ES; however they do evaluate the states of sacred forests (in terms of change in forest area, abundance of native and non-native taxa, amount of disturbance) but I put these under 'maintenance of options' though these would better go under a cultural category, as the paper states that these sacred forests ""These forests provide varied ecosystem services including material provisions (timber and non-timber forest products), non-material services (spiritual and cultural value), and support services (pollination, erosion control) (Assessment 2005, Bhagwat 2009)."" We may want to re-assess this paper to see if we want to keep it","CTW re-evaluated for Q8 -- LD marked as does NOT measure EF or ES directly, but I think it does because it's looking at forest degradation(by size and % disturbance) based on distance to human activity and also looks at abundance of native taxa... here sacred forests are used for cultural/spritual ES's.. but there is no direct linkage from forest EF to ES, so I think this will definitely get dropped in round 2 of review, but passing on to third reviewer to let them be the tie-breaker",
"LOCAL AND SCIENTIFIC ECOLOGICAL KNOWLEDGE POTENTIAL AS A SOURCE OF INFORMATION IN A PERIURBAN RIVER, MEXICO CITY, MEXICO",Caro-Borrero,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,2017,TM,FALSE,final,Q12,Q25.3_6,Land use change,1,Land use and land cover change,Driver,Human,Human,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",,Will probably exclude.. not sure it rigorously links drivers to changes in water quality (focal ES/EF),
"LOCAL AND SCIENTIFIC ECOLOGICAL KNOWLEDGE POTENTIAL AS A SOURCE OF INFORMATION IN A PERIURBAN RIVER, MEXICO CITY, MEXICO",Caro-Borrero,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,2017,TM,FALSE,final,Q12,Q25.3_6,Management Practices,2,Management/restoration,Driver,Human,Human,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",,Will probably exclude.. not sure it rigorously links drivers to changes in water quality (focal ES/EF),
Harvesting invasive plants to reduce nutrient loads and produce bioenergy: an assessment of Great Lakes coastal wetlands,Carson,ECOSPHERE,2018,JL,FALSE,final,Q12,Q25.4_7,Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Comment on Biotic driver: Biotic driver= ESP identity (which of three invasive species provided greatest ES potential),they only measure invasive plant abundance (Q8) but then they discuss how that material could be used to provide services,
Harvesting invasive plants to reduce nutrient loads and produce bioenergy: an assessment of Great Lakes coastal wetlands,Carson,ECOSPHERE,2018,JL,FALSE,final,Q12,Q25.4_11,Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,Energy,"Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fuelwood]",Comment on Biotic driver: Biotic driver= ESP identity (which of three invasive species provided greatest ES potential),they only measure invasive plant abundance (Q8) but then they discuss how that material could be used to provide services,
Restricting new forests to conservation lands severely constrains carbon and biodiversity gains in New Zealand,Carswell,BIOLOGICAL CONSERVATION,2015,LB,FALSE,final,Q12,Q25.2_4,Climate,1,Climate,Driver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,,
Restricting new forests to conservation lands severely constrains carbon and biodiversity gains in New Zealand,Carswell,BIOLOGICAL CONSERVATION,2015,LB,FALSE,final,Q12,Q25.3_4,Land use change,2,Land use and land cover change,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,,
Restricting new forests to conservation lands severely constrains carbon and biodiversity gains in New Zealand,Carswell,BIOLOGICAL CONSERVATION,2015,LB,FALSE,final,Q12,Q25.2_1,Climate,1,Climate,Driver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,,,
Restricting new forests to conservation lands severely constrains carbon and biodiversity gains in New Zealand,Carswell,BIOLOGICAL CONSERVATION,2015,LB,FALSE,final,Q12,Q25.3_1,Land use change,2,Land use and land cover change,Driver,Human,Human,HabCreate,Habitat creation and maintenance,,,
A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,Carturan,ECOSPHERE,2018,NBD,FALSE,final,Q12,Q25.2_16,Climate,1,Climate,Driver,Environmental,Environmental,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",,applied a framework to a virtual scenario (simulation),
A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,Carturan,ECOSPHERE,2018,NBD,FALSE,final,Q12,Q25.2_1,Climate,1,Climate,Driver,Environmental,Environmental,HabCreate,Habitat creation and maintenance,,applied a framework to a virtual scenario (simulation),
A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,Carturan,ECOSPHERE,2018,NBD,FALSE,final,Q12,Q25.4_1,Service Provider (Q17),2,Service provider identity,Driver,Biotic,Biotic,HabCreate,Habitat creation and maintenance,,applied a framework to a virtual scenario (simulation),
A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,Carturan,ECOSPHERE,2018,NBD,FALSE,final,Q12,Q25.2_9,Climate,1,Climate,Driver,Environmental,Environmental,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",,applied a framework to a virtual scenario (simulation),
A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,Carturan,ECOSPHERE,2018,NBD,FALSE,final,Q12,Q25.2_9,Extreme Events,2,Extreme events,Driver,Environmental,Environmental,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",,applied a framework to a virtual scenario (simulation),
A modified trait-based framework for assessing the resilience of ecosystem services provided by coral reef communities,Carturan,ECOSPHERE,2018,NBD,FALSE,final,Q12,Q25.4_9,Service Provider (Q17),3,Service provider identity,Driver,Biotic,Biotic,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",,applied a framework to a virtual scenario (simulation),
Practices of conservation agriculture prevail over cropping systems and landscape heterogeneity in understanding the ecosystem service of aphid biocontrol,Chabert,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,TM,FALSE,final,Q12,Q25.3_10,Management Practices,1,Management/restoration,Driver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,
Practices of conservation agriculture prevail over cropping systems and landscape heterogeneity in understanding the ecosystem service of aphid biocontrol,Chabert,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,TM,FALSE,final,Q12,Q25,Tillage and plow practices,2,Management/restoration,OtherDriver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,Infilled ES from Driver where 'Other' specified
Practices of conservation agriculture prevail over cropping systems and landscape heterogeneity in understanding the ecosystem service of aphid biocontrol,Chabert,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,TM,FALSE,final,Q12,Q25,Fertilizer strategy,3,Fertilization,OtherDriver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,Infilled ES from Driver where 'Other' specified
Practices of conservation agriculture prevail over cropping systems and landscape heterogeneity in understanding the ecosystem service of aphid biocontrol,Chabert,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,TM,FALSE,final,Q12,Q25,intercrop characteristics,4,Exploitation/harvest,OtherDriver,Human,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,Infilled ES from Driver where 'Other' specified
Practices of conservation agriculture prevail over cropping systems and landscape heterogeneity in understanding the ecosystem service of aphid biocontrol,Chabert,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,TM,FALSE,final,Q12,Q26,Crop diversity,5,Service provider diversity/richness,OtherDriver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,Infilled ES from Driver where 'Other' specified
Practices of conservation agriculture prevail over cropping systems and landscape heterogeneity in understanding the ecosystem service of aphid biocontrol,Chabert,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,TM,FALSE,final,Q12,Q26,Genetic diversity,6,Service provider diversity/richness,OtherDriver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,Infilled ES from Driver where 'Other' specified
Practices of conservation agriculture prevail over cropping systems and landscape heterogeneity in understanding the ecosystem service of aphid biocontrol,Chabert,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,TM,FALSE,final,Q12,Q26,Rotation,7,Management,OtherDriver,Biotic,Human,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,Infilled ES from Driver where 'Other' specified
Changes in ecological stability across realistic biodiversity gradients depend on spatial scale,Chalcraft,GLOBAL ECOLOGY AND BIOGEOGRAPHY,2013,CW,FALSE,final,Q12,Q26,Mean species richness (by plot and by site),1,Service provider diversity/richness,OtherDriver,Biotic,Biotic,HabCreate,Habitat creation and maintenance,"Other habitat creation/maintenance y-vars include: ecosystem productivity and population productivity (considered as EF, not proxy or direct ES). Related mean plot/regional species richness to those metrics. ES focus here seems to be on continued provisioning of Chihuahan grassland (habitat) and the stability of that system. 12 years of data were used but temporal trends not the focus (all x and y vars were averaged vals)-- author explicitly states focus is on variation by scale not time (and did not find evidence of temporal trend difference by region in pre-analysis check). ALSO, relationships shown include nonlinear (saturating response). Finds positive linear trends at plot scale, and hump-shape curves or asymptotes at region. There's no option in Q12 for nonlinear response.",Biodiversity's effect on ecosystem stability.,Reviewer correction; Infilled ES from Driver where 'Other' specified
Woody shrubs increase soil microbial functions and multifunctionality in a tropical semi-arid grazing ecosystem,Chandregowda,JOURNAL OF ARID ENVIRONMENTS,2018,JL/TK,TRUE,final,Q12,Q25.4_8,Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",JL: Comment on Biotic driver: Service provider=Shrub (as compared to grass),,CTW reviewed inconsistent answers
Detecting pest control services across spatial and temporal scales,Chaplin-Kramer,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013,LD/TK,TRUE,final,Q12,Q17,growing season week,1,Timing/seasonality,OtherDriver,Environmental,Environmental,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]","LD: Scale dependent relationships with drivers (habitat surrounding farms) - interesting example. Relationship between landscape complexity at different scales and (a) different indices of syrphid diversity or relative abundances of the most common syrphids (A. obliqua, S. sulphuripes, and E. fummipennis), and (b) annual average densities of syrphids and aphids over the whole growing season (individuals per plant, Ay and Sy ). RE thresholds they note something interesting ""Of course, natural enemy suppression of pest populations does not necessarily imply adequate pest control, which is determined by economic thresholds rather than ecological criteria.""",,For LD review only: Infilled ES from Driver where 'Other' specified; CTW reviewed inconsistent answers
Detecting pest control services across spatial and temporal scales,Chaplin-Kramer,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013,LD/TK,TRUE,final,Q12,Q26,proportion of natural habitat surrounding farms,2,Biotic characteristics of the plot,OtherDriver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]","LD: Scale dependent relationships with drivers (habitat surrounding farms) - interesting example. Relationship between landscape complexity at different scales and (a) different indices of syrphid diversity or relative abundances of the most common syrphids (A. obliqua, S. sulphuripes, and E. fummipennis), and (b) annual average densities of syrphids and aphids over the whole growing season (individuals per plant, Ay and Sy ). RE thresholds they note something interesting ""Of course, natural enemy suppression of pest populations does not necessarily imply adequate pest control, which is determined by economic thresholds rather than ecological criteria.""",,For LD review only: Infilled ES from Driver where 'Other' specified; CTW reviewed inconsistent answers
Detecting pest control services across spatial and temporal scales,Chaplin-Kramer,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2013,LD/TK,TRUE,final,Q12,Q26,Syrphid diversity,3,Service provider diversity/richness,OtherDriver,Biotic,Biotic,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]","LD: Scale dependent relationships with drivers (habitat surrounding farms) - interesting example. Relationship between landscape complexity at different scales and (a) different indices of syrphid diversity or relative abundances of the most common syrphids (A. obliqua, S. sulphuripes, and E. fummipennis), and (b) annual average densities of syrphids and aphids over the whole growing season (individuals per plant, Ay and Sy ). RE thresholds they note something interesting ""Of course, natural enemy suppression of pest populations does not necessarily imply adequate pest control, which is determined by economic thresholds rather than ecological criteria.""",,For LD review only: Infilled ES from Driver where 'Other' specified; CTW reviewed inconsistent answers
Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons,Chiang,LANDSCAPE AND URBAN PLANNING,2014,AK/GV,TRUE,final,Q12,Q25.2_4,Climate,1,Climate,Driver,Environmental,Environmental,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],AK: Also looked at soil conservation but wasn't sure which row that belongs in for Q12; GV: Examined effects of climate (in the form of precipitation from 'normal' events and typhoons) and extreme events (typhoons and earthquake) on ES provisioning through land use change.,,GV reviewed inconsistent answers
Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons,Chiang,LANDSCAPE AND URBAN PLANNING,2014,AK/GV,TRUE,final,Q12,Q25.2_7,Climate,1,Climate,Driver,Environmental,Environmental,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",AK: Also looked at soil conservation but wasn't sure which row that belongs in for Q12; GV: Examined effects of climate (in the form of precipitation from 'normal' events and typhoons) and extreme events (typhoons and earthquake) on ES provisioning through land use change.,,GV reviewed inconsistent answers
Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons,Chiang,LANDSCAPE AND URBAN PLANNING,2014,AK/GV,TRUE,final,Q12,Q25.3_7,Land use change,2,Land use and land cover change,Driver,Human,Human,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",AK: Also looked at soil conservation but wasn't sure which row that belongs in for Q12; GV: Examined effects of climate (in the form of precipitation from 'normal' events and typhoons) and extreme events (typhoons and earthquake) on ES provisioning through land use change.,,GV reviewed inconsistent answers
Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons,Chiang,LANDSCAPE AND URBAN PLANNING,2014,AK/GV,TRUE,final,Q12,Q25.2_6,Climate,1,Climate,Driver,Environmental,Environmental,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",AK: Also looked at soil conservation but wasn't sure which row that belongs in for Q12; GV: Examined effects of climate (in the form of precipitation from 'normal' events and typhoons) and extreme events (typhoons and earthquake) on ES provisioning through land use change.,,"For AK review only: Reviewer correction, remove 'Other' driver; GV reviewed inconsistent answers"
Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons,Chiang,LANDSCAPE AND URBAN PLANNING,2014,AK/GV,TRUE,final,Q12,Q25.2_6,Extreme Events,2,Extreme events,Driver,Environmental,Environmental,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",AK: Also looked at soil conservation but wasn't sure which row that belongs in for Q12; GV: Examined effects of climate (in the form of precipitation from 'normal' events and typhoons) and extreme events (typhoons and earthquake) on ES provisioning through land use change.,,"For AK review only: Reviewer correction, remove 'Other' driver; GV reviewed inconsistent answers"
Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons,Chiang,LANDSCAPE AND URBAN PLANNING,2014,AK/GV,TRUE,final,Q12,Q25.3_6,Land use change,3,Land use and land cover change,Driver,Human,Human,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",AK: Also looked at soil conservation but wasn't sure which row that belongs in for Q12; GV: Examined effects of climate (in the form of precipitation from 'normal' events and typhoons) and extreme events (typhoons and earthquake) on ES provisioning through land use change.,,GV reviewed inconsistent answers
"Ecosystem engineering by mussels supports biodiversity and water clarity in a heavily polluted lake in Dhaka, Bangladesh",Chowdhury,FRESHWATER SCIENCE,2016,CK,FALSE,final,Q12,Q25.4_7,Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",,,
"Ecosystem engineering by mussels supports biodiversity and water clarity in a heavily polluted lake in Dhaka, Bangladesh",Chowdhury,FRESHWATER SCIENCE,2016,CK,FALSE,final,Q12,Q25.4_1,Service Provider (Q17),1,Service provider identity,Driver,Biotic,Biotic,HabCreate,Habitat creation and maintenance,,,
Towards systematic conservation planning adapted to the local flow of ecosystem services,Cimon-Morin,GLOBAL ECOLOGY AND CONSERVATION,2014,GV,FALSE,final,Q12,Q25.3_4,Management Practices,1,Management/restoration,Driver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],Cool that they looked at flows of services at different scales of demand (local/global).,,
Towards systematic conservation planning adapted to the local flow of ecosystem services,Cimon-Morin,GLOBAL ECOLOGY AND CONSERVATION,2014,GV,FALSE,final,Q12,Q25.3_16,Management Practices,1,Management/restoration,Driver,Human,Human,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",Cool that they looked at flows of services at different scales of demand (local/global).,,
Towards systematic conservation planning adapted to the local flow of ecosystem services,Cimon-Morin,GLOBAL ECOLOGY AND CONSERVATION,2014,GV,FALSE,final,Q12,Q25.3_12,Management Practices,1,Management/restoration,Driver,Human,Human,Food,Food and feed,Cool that they looked at flows of services at different scales of demand (local/global).,,
Towards systematic conservation planning adapted to the local flow of ecosystem services,Cimon-Morin,GLOBAL ECOLOGY AND CONSERVATION,2014,GV,FALSE,final,Q12,Q25.3_6,Management Practices,1,Management/restoration,Driver,Human,Human,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",Cool that they looked at flows of services at different scales of demand (local/global).,,
Towards systematic conservation planning adapted to the local flow of ecosystem services,Cimon-Morin,GLOBAL ECOLOGY AND CONSERVATION,2014,GV,FALSE,final,Q12,Q25.3_15,Management Practices,1,Management/restoration,Driver,Human,Human,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",Cool that they looked at flows of services at different scales of demand (local/global).,,
"Urban biodiversity and social inequalities in built-up cities: New evidences, next questions. The example of Paris, France",Cohen,LANDSCAPE AND URBAN PLANNING,2012,CW,FALSE,final,Q12,Q25,Household income,1,Characteristics of human population,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"Study is on the spatial pattern and clustering of socioeconomic factors and semi-natural spaces. Paper mentions three types of ecosystem functions measured as proxies for ESs (biological traits for ecosystem maintenance -- ""traits"" ends up being richness and diversity; presence of ecosystem engineers and sealing soil for hydro-climate regulation; and use and perception of seminary's-natural public spaces by city dwellers for cultural function). Makes composite ES index ordinal gradient of low to excellent from these three and maps that onto CBG units across Paris. Little numeric quantification of anything, other that vegetation type richness and diversity relationship to household income, which is nonlinear.","service provision by urban greenspace, distribution and variation in space",Infilled ES from Driver where 'Other' specified
"Urban biodiversity and social inequalities in built-up cities: New evidences, next questions. The example of Paris, France",Cohen,LANDSCAPE AND URBAN PLANNING,2012,CW,FALSE,final,Q12,Q25,building density,2,Population growth and density,OtherDriver,Human,Human,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"Study is on the spatial pattern and clustering of socioeconomic factors and semi-natural spaces. Paper mentions three types of ecosystem functions measured as proxies for ESs (biological traits for ecosystem maintenance -- ""traits"" ends up being richness and diversity; presence of ecosystem engineers and sealing soil for hydro-climate regulation; and use and perception of seminary's-natural public spaces by city dwellers for cultural function). Makes composite ES index ordinal gradient of low to excellent from these three and maps that onto CBG units across Paris. Little numeric quantification of anything, other that vegetation type richness and diversity relationship to household income, which is nonlinear.","service provision by urban greenspace, distribution and variation in space",Infilled ES from Driver where 'Other' specified
"Urban biodiversity and social inequalities in built-up cities: New evidences, next questions. The example of Paris, France",Cohen,LANDSCAPE AND URBAN PLANNING,2012,CW,FALSE,final,Q12,Q25,Household income,1,Characteristics of human population,OtherDriver,Human,Human,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]","Study is on the spatial pattern and clustering of socioeconomic factors and semi-natural spaces. Paper mentions three types of ecosystem functions measured as proxies for ESs (biological traits for ecosystem maintenance -- ""traits"" ends up being richness and diversity; presence of ecosystem engineers and sealing soil for hydro-climate regulation; and use and perception of seminary's-natural public spaces by city dwellers for cultural function). Makes composite ES index ordinal gradient of low to excellent from these three and maps that onto CBG units across Paris. Little numeric quantification of anything, other that vegetation type richness and diversity relationship to household income, which is nonlinear.","service provision by urban greenspace, distribution and variation in space",Infilled ES from Driver where 'Other' specified
"Urban biodiversity and social inequalities in built-up cities: New evidences, next questions. The example of Paris, France",Cohen,LANDSCAPE AND URBAN PLANNING,2012,CW,FALSE,final,Q12,Q25,building density,2,Population growth and density,OtherDriver,Human,Human,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]","Study is on the spatial pattern and clustering of socioeconomic factors and semi-natural spaces. Paper mentions three types of ecosystem functions measured as proxies for ESs (biological traits for ecosystem maintenance -- ""traits"" ends up being richness and diversity; presence of ecosystem engineers and sealing soil for hydro-climate regulation; and use and perception of seminary's-natural public spaces by city dwellers for cultural function). Makes composite ES index ordinal gradient of low to excellent from these three and maps that onto CBG units across Paris. Little numeric quantification of anything, other that vegetation type richness and diversity relationship to household income, which is nonlinear.","service provision by urban greenspace, distribution and variation in space",Infilled ES from Driver where 'Other' specified
