Title,FirstAuthor,SourcePublication,PublicationYear,Init,doublerev,version,Q12_Response,varnum,Q12_Yclass,ES,fullES,Q18_SurveyNotes,Round1_Comments,Q12responses_qa_note
Riparian buffer strips: Their role in the conservation of insect pollinators in intensive grassland systems,Cole,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2015,CK/JL,TRUE,final,pollinator richness,2,Proxy for ES,Pollination,Pollination and dispersal of seeds or other propagules,"There were positive effects of management (fenced vs non-fenced riparian zones, wide vs narrow buffer riparian zones) on butterfly and bee ESPs; this could not be captured in the ES table because the direction of effect (+ or -) is not clear with categorical explanatory variables.; Comment on Human driver: Management Practices=near or away from non-fenced/narrow-fenced/wide-fenced riparian buffer strips",,
Riparian buffer strips: Their role in the conservation of insect pollinators in intensive grassland systems,Cole,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2015,CK/JL,TRUE,final,pollinator diversity,3,Proxy for ES,Pollination,Pollination and dispersal of seeds or other propagules,"There were positive effects of management (fenced vs non-fenced riparian zones, wide vs narrow buffer riparian zones) on butterfly and bee ESPs; this could not be captured in the ES table because the direction of effect (+ or -) is not clear with categorical explanatory variables.; Comment on Human driver: Management Practices=near or away from non-fenced/narrow-fenced/wide-fenced riparian buffer strips",,
Riparian buffer strips: Their role in the conservation of insect pollinators in intensive grassland systems,Cole,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2015,CK/JL,TRUE,final,pollinator evenness,4,Proxy for ES,Pollination,Pollination and dispersal of seeds or other propagules,"There were positive effects of management (fenced vs non-fenced riparian zones, wide vs narrow buffer riparian zones) on butterfly and bee ESPs; this could not be captured in the ES table because the direction of effect (+ or -) is not clear with categorical explanatory variables.; Comment on Human driver: Management Practices=near or away from non-fenced/narrow-fenced/wide-fenced riparian buffer strips",,
Can landscape-scale approaches to conservation management resolve biodiversity-ecosystem service trade-offs?,Cordingley,JOURNAL OF APPLIED ECOLOGY,2016,LB,FALSE,final,Carbon storage,1,ES,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,,
Can landscape-scale approaches to conservation management resolve biodiversity-ecosystem service trade-offs?,Cordingley,JOURNAL OF APPLIED ECOLOGY,2016,LB,FALSE,final,aesthetic value,1,ES,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",,,
Can landscape-scale approaches to conservation management resolve biodiversity-ecosystem service trade-offs?,Cordingley,JOURNAL OF APPLIED ECOLOGY,2016,LB,FALSE,final,recreational value,2,ES,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",,,
Can landscape-scale approaches to conservation management resolve biodiversity-ecosystem service trade-offs?,Cordingley,JOURNAL OF APPLIED ECOLOGY,2016,LB,FALSE,final,Timber value,1,ES,Materials,"Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",,,
Bat diversity in Carajas National Forest (Eastern Amazon) and potential impacts on ecosystem services under climate change,Costa,BIOLOGICAL CONSERVATION,2018,TK,FALSE,final,persistence of insectivore bat species,1,Proxy for ES,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,
Bat diversity in Carajas National Forest (Eastern Amazon) and potential impacts on ecosystem services under climate change,Costa,BIOLOGICAL CONSERVATION,2018,TK,FALSE,final,persistence of nectar of frugivorous bat species,1,Proxy for ES,Pollination,Pollination and dispersal of seeds or other propagules,,,
Bat diversity in Carajas National Forest (Eastern Amazon) and potential impacts on ecosystem services under climate change,Costa,BIOLOGICAL CONSERVATION,2018,TK,FALSE,final,persistence of nectarivorous bat species,2,Proxy for ES,Pollination,Pollination and dispersal of seeds or other propagules,,,
Rewiring of experimentally disturbed seed dispersal networks might lead to unexpected network configurations,Costa,BASIC AND APPLIED ECOLOGY,2018,IS,FALSE,final,seed dispersal,1,ES,Pollination,Pollination and dispersal of seeds or other propagules,,,
Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Crouzat,JOURNAL OF APPLIED ECOLOGY,2015,AIS,FALSE,final,carbon storage,1,ES,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,,
Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Crouzat,JOURNAL OF APPLIED ECOLOGY,2015,AIS,FALSE,final,chemical water quality regulation,1,ES,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",,,
Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Crouzat,JOURNAL OF APPLIED ECOLOGY,2015,AIS,FALSE,final,recreation potential,1,ES,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",,,
Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Crouzat,JOURNAL OF APPLIED ECOLOGY,2015,AIS,FALSE,final,tourism,2,ES,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",,,
Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Crouzat,JOURNAL OF APPLIED ECOLOGY,2015,AIS,FALSE,final,leisure hunting,3,ES,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",,,
Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Crouzat,JOURNAL OF APPLIED ECOLOGY,2015,AIS,FALSE,final,hydro-energy potential,1,ES,Energy,"Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fuelwood]",,,
Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Crouzat,JOURNAL OF APPLIED ECOLOGY,2015,AIS,FALSE,final,agricultural production,1,ES,Food,Food and feed,,,
Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Crouzat,JOURNAL OF APPLIED ECOLOGY,2015,AIS,FALSE,final,forage production,2,ES,Food,Food and feed,,,
Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Crouzat,JOURNAL OF APPLIED ECOLOGY,2015,AIS,FALSE,final,physical water quantity regulation,1,ES,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",,,
Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Crouzat,JOURNAL OF APPLIED ECOLOGY,2015,AIS,FALSE,final,protected plant species,1,ES,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",,,
Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Crouzat,JOURNAL OF APPLIED ECOLOGY,2015,AIS,FALSE,final,protected vertebrate species,2,ES,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",,,
Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Crouzat,JOURNAL OF APPLIED ECOLOGY,2015,AIS,FALSE,final,plant diversity,3,ES,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",,,
Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Crouzat,JOURNAL OF APPLIED ECOLOGY,2015,AIS,FALSE,final,vertebrate diversity,4,ES,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",,,
Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Crouzat,JOURNAL OF APPLIED ECOLOGY,2015,AIS,FALSE,final,wood production,1,ES,Materials,"Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]",,,
Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Crouzat,JOURNAL OF APPLIED ECOLOGY,2015,AIS,FALSE,final,biological control of pests,1,ES,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,
Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Crouzat,JOURNAL OF APPLIED ECOLOGY,2015,AIS,FALSE,final,pollination,1,ES,Pollination,Pollination and dispersal of seeds or other propagules,,,
Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Crouzat,JOURNAL OF APPLIED ECOLOGY,2015,AIS,FALSE,final,erosion mitigation,1,ES,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",,,
Assessing bundles of ecosystem services from regional to landscape scale: insights from the French Alps,Crouzat,JOURNAL OF APPLIED ECOLOGY,2015,AIS,FALSE,final,protection against rockfalls,2,ES,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",,,
Reconciling community ecology and ecosystem services: Cultural services and benefits from birds in South African National Parks,Cumming,ECOSYSTEM SERVICES,2017,JL/TK,TRUE,final,birding experience (satisfaction),1,,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",,,
Floral abundance and richness drive beneficial arthropod conservation and biological control on golf courses,Dale,URBAN ECOSYSTEMS,,NBD,FALSE,final,larval dissappearance rates of pests,1,Proxy for ES,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,measures biological control,
Floral abundance and richness drive beneficial arthropod conservation and biological control on golf courses,Dale,URBAN ECOSYSTEMS,,NBD,FALSE,final,biodiversity,2,Proxy for ES,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,measures biological control,
Restoration potential of threatened ecosystem engineers increases with aridity: broad scale effects on soil nutrients and function,Decker,ECOGRAPHY,2019,TM,FALSE,final,Carbon cycling,1,ES,SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",,,
Large- scale trade- off between agricultural intensification and crop pollination services,Deguines,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,2014,TM,FALSE,final,Crop yield,1,,Food,Food and feed,,,
Large- scale trade- off between agricultural intensification and crop pollination services,Deguines,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,2014,TM,FALSE,final,crop variation,2,,Food,Food and feed,,,
Converting Lawn to Restored Forest on a Midwest College Campus: A Seven Year Assessment of Herbaceous Plant Establishment,DeJong,ECOLOGICAL RESTORATION,2017,JL,FALSE,final,forest understory plant survivorship,1,EF,HabCreate,Habitat creation and maintenance,"Both drivers were categorical, so the direction of effect could not be determined (no clear direction); Comment on Human driver: Management practice=Soil surface treatment; Comment on Biotic driver: Biotic driver=different nurse tree ESPs","CTW re-evaluated article for Q8; LD: no service but survivorship, weed resistance as a functions",
Converting Lawn to Restored Forest on a Midwest College Campus: A Seven Year Assessment of Herbaceous Plant Establishment,DeJong,ECOLOGICAL RESTORATION,2017,JL,FALSE,final,biomass of weeds,1,EF,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]","Both drivers were categorical, so the direction of effect could not be determined (no clear direction); Comment on Human driver: Management practice=Soil surface treatment; Comment on Biotic driver: Biotic driver=different nurse tree ESPs","CTW re-evaluated article for Q8; LD: no service but survivorship, weed resistance as a functions",
Larger Area Facilitates Richness-Function Effects in Experimental Microcosms,DeLong,AMERICAN NATURALIST,2019,IS,FALSE,final,community respiration,1,EF,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",,Model species-area relationship and BEF in model communities,
Larger Area Facilitates Richness-Function Effects in Experimental Microcosms,DeLong,AMERICAN NATURALIST,2019,IS,FALSE,final,total carbon content,2,EF,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",,Model species-area relationship and BEF in model communities,
Larger Area Facilitates Richness-Function Effects in Experimental Microcosms,DeLong,AMERICAN NATURALIST,2019,IS,FALSE,final,total nitrogen content,3,EF,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",,Model species-area relationship and BEF in model communities,
Site-specific factors in the production of local urban ecosystem services: A case study of community-managed green space,Dennis,ECOSYSTEM SERVICES,2016,IS,FALSE,final,vegetation cover,1,Proxy for ES,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],listed ecosystem service drivers under management practices but no specific management treatment besides sheer creation of these green spaces in urban settings,,
Site-specific factors in the production of local urban ecosystem services: A case study of community-managed green space,Dennis,ECOSYSTEM SERVICES,2016,IS,FALSE,final,volunteer input(education),1,,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",listed ecosystem service drivers under management practices but no specific management treatment besides sheer creation of these green spaces in urban settings,,
Site-specific factors in the production of local urban ecosystem services: A case study of community-managed green space,Dennis,ECOSYSTEM SERVICES,2016,IS,FALSE,final,site size(well-being),2,,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",listed ecosystem service drivers under management practices but no specific management treatment besides sheer creation of these green spaces in urban settings,,
Site-specific factors in the production of local urban ecosystem services: A case study of community-managed green space,Dennis,ECOSYSTEM SERVICES,2016,IS,FALSE,final,food cultivation area,1,,Food,Food and feed,listed ecosystem service drivers under management practices but no specific management treatment besides sheer creation of these green spaces in urban settings,,
Site-specific factors in the production of local urban ecosystem services: A case study of community-managed green space,Dennis,ECOSYSTEM SERVICES,2016,IS,FALSE,final,genera richness,2,,Food,Food and feed,listed ecosystem service drivers under management practices but no specific management treatment besides sheer creation of these green spaces in urban settings,,
Ecosystem services of collectively managed urban gardens: Exploring factors affecting synergies and trade-offs at the site level,Dennis,ECOSYSTEM SERVICES,2017,NBD,FALSE,final,ecologically effective area,1,Proxy for ES,AQReg,"Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",,,
Ecosystem services of collectively managed urban gardens: Exploring factors affecting synergies and trade-offs at the site level,Dennis,ECOSYSTEM SERVICES,2017,NBD,FALSE,final,volunteer input and community events,1,Proxy for ES,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",,,
Ecosystem services of collectively managed urban gardens: Exploring factors affecting synergies and trade-offs at the site level,Dennis,ECOSYSTEM SERVICES,2017,NBD,FALSE,final,proportion of site area cultivated for food,1,Proxy for ES,Food,Food and feed,,,
Ecosystem services of collectively managed urban gardens: Exploring factors affecting synergies and trade-offs at the site level,Dennis,ECOSYSTEM SERVICES,2017,NBD,FALSE,final,habitat assessment score,1,Proxy for ES,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]",,,
Evaluating the relative influence on population health of domestic gardens and green space along a rural-urban gradient,Dennis,LANDSCAPE AND URBAN PLANNING,2017,LB,FALSE,final,health deprivation,1,ES,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",,Could be argued that it looks at effect of human driver (types of green space developed in urban environments) on an ES (human 'health deprivation and disability' scores),
Biophysical and anthropogenous determinants of landscape patterns and degradation of plant communities in Mo hilly basin (Togo),Diwediga,ECOLOGICAL ENGINEERING,2015,IS,FALSE,final,total soil nitrogen,1,EF,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],lots of the drivers were only shown in CCA plot so hard to determine driver-service/function directionality,,
Biophysical and anthropogenous determinants of landscape patterns and degradation of plant communities in Mo hilly basin (Togo),Diwediga,ECOLOGICAL ENGINEERING,2015,IS,FALSE,final,soil organic carbon,2,EF,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],lots of the drivers were only shown in CCA plot so hard to determine driver-service/function directionality,,
Soil microbial restoration strategies for promoting climate-ready prairie ecosystems,Docherty,ECOLOGICAL APPLICATIONS,2019,JL/TK,TRUE,final,soil microbial extracellular enzyme activity,1,"ES,Proxy for ES",SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",,"experiment testing effects of plant species richness, soil amendment and elevated temp on soil microbial diversity, growth and function",CTW reviewed inconsistent answers
Soil microbial restoration strategies for promoting climate-ready prairie ecosystems,Docherty,ECOLOGICAL APPLICATIONS,2019,JL/TK,TRUE,final,soil microbial composition,2,"ES,Proxy for ES",SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",,"experiment testing effects of plant species richness, soil amendment and elevated temp on soil microbial diversity, growth and function",CTW reviewed inconsistent answers
Soil microbial restoration strategies for promoting climate-ready prairie ecosystems,Docherty,ECOLOGICAL APPLICATIONS,2019,JL/TK,TRUE,final,soil microbial metabolics,3,"ES,Proxy for ES",SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",,"experiment testing effects of plant species richness, soil amendment and elevated temp on soil microbial diversity, growth and function",CTW reviewed inconsistent answers
Soil microbial restoration strategies for promoting climate-ready prairie ecosystems,Docherty,ECOLOGICAL APPLICATIONS,2019,JL/TK,TRUE,final,soil water content,4,"ES,Proxy for ES",SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",,"experiment testing effects of plant species richness, soil amendment and elevated temp on soil microbial diversity, growth and function",CTW reviewed inconsistent answers
Soil microbial restoration strategies for promoting climate-ready prairie ecosystems,Docherty,ECOLOGICAL APPLICATIONS,2019,JL/TK,TRUE,final,soil pH,5,"ES,Proxy for ES",SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",,"experiment testing effects of plant species richness, soil amendment and elevated temp on soil microbial diversity, growth and function",CTW reviewed inconsistent answers
Soil microbial restoration strategies for promoting climate-ready prairie ecosystems,Docherty,ECOLOGICAL APPLICATIONS,2019,JL/TK,TRUE,final,soil organic matter,6,"ES,Proxy for ES",SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",,"experiment testing effects of plant species richness, soil amendment and elevated temp on soil microbial diversity, growth and function",CTW reviewed inconsistent answers
Soil microbial restoration strategies for promoting climate-ready prairie ecosystems,Docherty,ECOLOGICAL APPLICATIONS,2019,JL/TK,TRUE,final,soil phosphorous,7,"ES,Proxy for ES",SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",,"experiment testing effects of plant species richness, soil amendment and elevated temp on soil microbial diversity, growth and function",CTW reviewed inconsistent answers
Soil microbial restoration strategies for promoting climate-ready prairie ecosystems,Docherty,ECOLOGICAL APPLICATIONS,2019,JL/TK,TRUE,final,soil carbon,8,"ES,Proxy for ES",SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",,"experiment testing effects of plant species richness, soil amendment and elevated temp on soil microbial diversity, growth and function",CTW reviewed inconsistent answers
Soil microbial restoration strategies for promoting climate-ready prairie ecosystems,Docherty,ECOLOGICAL APPLICATIONS,2019,JL/TK,TRUE,final,soil N,9,"ES,Proxy for ES",SoilProtect,"Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",,"experiment testing effects of plant species richness, soil amendment and elevated temp on soil microbial diversity, growth and function",CTW reviewed inconsistent answers
Response of Ants and Their Seed Removal in Rehabilitation Areas and Forests at El Cerrejon Coal Mine in Colombia,Dominguez-Haydar,RESTORATION ECOLOGY,2011,LB,FALSE,final,seed removal,1,EF,Pollination,Pollination and dispersal of seeds or other propagules,,,
Balancing water supply and old-growth forest conservation in the lowlands of south-central Chile through adaptive co-management,Donoso,LANDSCAPE ECOLOGY,2014,NBD,FALSE,final,opnion,1,,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]",,,
Balancing water supply and old-growth forest conservation in the lowlands of south-central Chile through adaptive co-management,Donoso,LANDSCAPE ECOLOGY,2014,NBD,FALSE,final,runoff coefficient (runoff/rainfall),1,Proxy for ES,freshWQReg,"Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]",,,
Balancing water supply and old-growth forest conservation in the lowlands of south-central Chile through adaptive co-management,Donoso,LANDSCAPE ECOLOGY,2014,NBD,FALSE,final,Tree composition,1,Proxy for ES,HabCreate,Habitat creation and maintenance,,,
"Uncovering the spatial dynamics of wild rice lakes, harvesters and management across Great Lakes landscapes for shared regional conservation",Drewes,ECOLOGICAL MODELLING,2012,LD,FALSE,final,wild rice harvest,1,ES,CulturePsych,"Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]","focused on characteristics of wild rice distribution, harvest and management across multiple jurisdictions. wild rice declined through time",wild rice spatial dynamics,
"Uncovering the spatial dynamics of wild rice lakes, harvesters and management across Great Lakes landscapes for shared regional conservation",Drewes,ECOLOGICAL MODELLING,2012,LD,FALSE,final,wild rice,1,ES,Food,Food and feed,"focused on characteristics of wild rice distribution, harvest and management across multiple jurisdictions. wild rice declined through time",wild rice spatial dynamics,
Recovery Debts Can Be Revealed by Ecosystem Network-Based Approaches,Dubois,ECOSYSTEMS,2019,CW,FALSE,final,Indicators (12 different indices),1,"ES,EF",Energy,"Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fuelwood]","This is a cool paper, very relevant to the Kremen framework (and they didn't cite Kremen!). Study revolves around network analysis so don't quantify effect sizes of much (what Q12 gets at)... this may be a limitation of our survey instrument (i.e. this survey form) for scoring papers like these (that do model complexity, whole ecosystem networks). Authors didn't state which ecosystem service they were modeling (as reflected in Q12), but I think this could apply to either energy or maintenance of options. Indicator values and biomass modeled by site (fore reef or lagoon) and by species, functional or trophic group, recovery debt estimated for entire ecosystem based on difference indicator metrics.",uses ecosystem network approach to asses recovery in coral reef ecosystem - includes % loss in cycling efficiency and transfer efficiency,
Recovery Debts Can Be Revealed by Ecosystem Network-Based Approaches,Dubois,ECOSYSTEMS,2019,CW,FALSE,final,biomass,2,"ES,EF",Energy,"Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fuelwood]","This is a cool paper, very relevant to the Kremen framework (and they didn't cite Kremen!). Study revolves around network analysis so don't quantify effect sizes of much (what Q12 gets at)... this may be a limitation of our survey instrument (i.e. this survey form) for scoring papers like these (that do model complexity, whole ecosystem networks). Authors didn't state which ecosystem service they were modeling (as reflected in Q12), but I think this could apply to either energy or maintenance of options. Indicator values and biomass modeled by site (fore reef or lagoon) and by species, functional or trophic group, recovery debt estimated for entire ecosystem based on difference indicator metrics.",uses ecosystem network approach to asses recovery in coral reef ecosystem - includes % loss in cycling efficiency and transfer efficiency,
Recovery Debts Can Be Revealed by Ecosystem Network-Based Approaches,Dubois,ECOSYSTEMS,2019,CW,FALSE,final,Indicators (12 different indices),1,ES,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]","This is a cool paper, very relevant to the Kremen framework (and they didn't cite Kremen!). Study revolves around network analysis so don't quantify effect sizes of much (what Q12 gets at)... this may be a limitation of our survey instrument (i.e. this survey form) for scoring papers like these (that do model complexity, whole ecosystem networks). Authors didn't state which ecosystem service they were modeling (as reflected in Q12), but I think this could apply to either energy or maintenance of options. Indicator values and biomass modeled by site (fore reef or lagoon) and by species, functional or trophic group, recovery debt estimated for entire ecosystem based on difference indicator metrics.",uses ecosystem network approach to asses recovery in coral reef ecosystem - includes % loss in cycling efficiency and transfer efficiency,
Recovery Debts Can Be Revealed by Ecosystem Network-Based Approaches,Dubois,ECOSYSTEMS,2019,CW,FALSE,final,recovery debt,2,ES,MaintainOpts,"Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]","This is a cool paper, very relevant to the Kremen framework (and they didn't cite Kremen!). Study revolves around network analysis so don't quantify effect sizes of much (what Q12 gets at)... this may be a limitation of our survey instrument (i.e. this survey form) for scoring papers like these (that do model complexity, whole ecosystem networks). Authors didn't state which ecosystem service they were modeling (as reflected in Q12), but I think this could apply to either energy or maintenance of options. Indicator values and biomass modeled by site (fore reef or lagoon) and by species, functional or trophic group, recovery debt estimated for entire ecosystem based on difference indicator metrics.",uses ecosystem network approach to asses recovery in coral reef ecosystem - includes % loss in cycling efficiency and transfer efficiency,
Positive effects of wheat variety mixtures on aboveground arthropods are weak and variable,Dubs,BASIC AND APPLIED ECOLOGY,2018,CK,FALSE,final,Biological control by natural predators,1,Proxy for ES,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,
Cityscape quality and resource manipulation affect natural enemy biodiversity in and fidelity to urban agroecosystems,Egerer,LANDSCAPE ECOLOGY,2018,NBD,FALSE,final,parasitoid abundance,1,Proxy for ES,PestPath,"Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]",,,
The impact of projected increases in urbanization on ecosystem services,Eigenbrod,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2011,LB,FALSE,final,carbon storage,1,ES,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],,"Urbanization impacts on flood mitigation, stored carbon, etc.",
The impact of projected increases in urbanization on ecosystem services,Eigenbrod,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2011,LB,FALSE,final,Agricultural production,1,ES,Food,Food and feed,,"Urbanization impacts on flood mitigation, stored carbon, etc.",
The impact of projected increases in urbanization on ecosystem services,Eigenbrod,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2011,LB,FALSE,final,flood mitigation,1,ES,Hazards,"Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]",,"Urbanization impacts on flood mitigation, stored carbon, etc.",
Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018,JL/TK,TRUE,final,Loss of Co2 from forest fires,1,Proxy for ES,ClimReg,Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands],"JL: Note that for the ES/Drivers table - they did compile all of the variables listed, however, relationships with drivers were NOT done on independent variables. Rather, they were lumped into single indices for regulating services, provisioning services, cultural services and biodiversity loss, which is why many of the rows share the same noted responses to drivers.","Paper qualifies for now, but may need to be excluded later if it is determined that they didn't actually model an EF/ES",CTW reviewed inconsistent answers
Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018,JL/TK,TRUE,final,volumes of wastewater generated and treated,1,ES,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]","JL: Note that for the ES/Drivers table - they did compile all of the variables listed, however, relationships with drivers were NOT done on independent variables. Rather, they were lumped into single indices for regulating services, provisioning services, cultural services and biodiversity loss, which is why many of the rows share the same noted responses to drivers.","Paper qualifies for now, but may need to be excluded later if it is determined that they didn't actually model an EF/ES",CTW reviewed inconsistent answers
Exploring the complex relations between water resources and social indicators: The Biobio Basin (Chile),Elisa Diaz,ECOSYSTEM SERVICES,2018,JL/TK,TRUE,final,nitrate/nitrite/phosphorous/BOD5/O2 concentrations in water,2,ES,coastWQReg,"Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]","JL: Note that for the ES/Drivers table - they did compile all of the variables listed, however, relationships with drivers were NOT done on independent variables. Rather, they were lumped into single indices for regulating services, provisioning services, cultural services and biodiversity loss, which is why many of the rows share the same noted responses to drivers.","Paper qualifies for now, but may need to be excluded later if it is determined that they didn't actually model an EF/ES",CTW reviewed inconsistent answers
