Exclude_yes/no_nbd,NBD_Notes,assess_date,exclude_LD,Reason_LD,newcase,doublerev,ResponseId,Init,Title,exclude,exclude_notes,flag_inconsistent,SurveyNotes,FirstAuthor,PublicationYear,SourcePublication,Abstract
,,4/22/20,FALSE,,FALSE,FALSE,R_31WydZ14DUuPl2O,AK,Environmental Conservation and Social Benefits of Charcoal Production in Mozambique,Maybe,uncertainy in survey notes,FALSE,This paper was confusing...The response variables I listed were also drivers of change in well-being,Zorrilla-Miras,2018,ECOLOGICAL ECONOMICS,"Charcoal is an important source of energy and income for millions of people in Africa. Its production often drives forest degradation and deforestation which have impacts on the local people that remain poorly understood. We present a novel methodology for analysing the contribution of woodland ecosystem services (ES) to rural wellbeing and poverty alleviation, which takes into account access mechanisms to ES, trade-offs between ES, and human response options. Using a participatory approach, a set of land use change scenarios were translated into a probabilistic model that integrates biophysical and social data. Our findings suggest that in highly forested areas woodland degradation does not have a critical impact on the local use of the three ES studied: charcoal, firewood and grass. Social factors show the largest impact on the quantity of charcoal produced, e.g. female headed households experience the greatest barriers to access charcoal production. Participating in forest associations and diversifying income activities lead to greater charcoal production. Results show that charcoal production increases some aspects of well-being (e.g. household assets), but does not decrease acute multidimensional poverty. Great efforts are required to reach a charcoal production system that alleviates poverty, improves environmental sustainability, and provides a reliable charcoal supply."
,,4/22/20,TRUE,,FALSE,TRUE,R_AFgyKn3Ie5am7v3,AK,Environmental context and magnitude of disturbance influence trait-mediated community responses to wastewater in streams,Keep,,TRUE,,Burdon,2016,ECOLOGY AND EVOLUTION,"Human land uses and population growth represent major global threats to biodiversity and ecosystem services. Understanding how biological communities respond to multiple drivers of human-induced environmental change is fundamental for conserving ecosystems and remediating degraded habitats. Here, we used a replicated 'real-world experiment' to study the responses of invertebrate communities to wastewater perturbations across a land-use intensity gradient in 12 Swiss streams. We used different taxonomy and trait-based community descriptors to establish the most sensitive indicators detecting impacts and to help elucidate potential causal mechanisms of change. First, we predicted that streams in catchments adversely impacted by human land-uses would be less impaired by wastewater inputs because their invertebrate communities should be dominated by pollution-tolerant taxa ('environmental context'). Second, we predicted that the negative effects of wastewater on stream invertebrate communities should be larger in streams that receive proportionally more wastewater ('magnitude of disturbance'). In support of the 'environmental context' hypothesis, we found that change in the Saprobic Index (a trait-based indicator of tolerance to organic pollution) was associated with upstream community composition; communities in catchments with intensive agricultural land uses (e.g., arable cropping and pasture) were generally more resistant to eutrophication associated with wastewater inputs. We also found support for the 'magnitude of disturbance' hypothesis. The SPEAR Index (a trait-based indicator of sensitivity to pesticides) was more sensitive to the relative input of effluent, suggesting that toxic influences of wastewater scale with dilution. Whilst freshwater pollution continues to be a major environmental problem, our findings highlight that the same anthropogenic pressure (i.e., inputs of wastewater) may induce different ecological responses depending on the environmental context and community metrics used. Thus, remediation strategies aiming to improve stream ecological status (e.g., rehabilitating degraded reaches) need to consider upstream anthropogenic influences and the most appropriate indicators of restoration success."
,,4/22/20,TRUE,,FALSE,TRUE,R_3GqYGrqNpeFHjdK,GV,Environmental context and magnitude of disturbance influence trait-mediated community responses to wastewater in streams,Exclude,by Q3,TRUE,,Burdon,2016,ECOLOGY AND EVOLUTION,"Human land uses and population growth represent major global threats to biodiversity and ecosystem services. Understanding how biological communities respond to multiple drivers of human-induced environmental change is fundamental for conserving ecosystems and remediating degraded habitats. Here, we used a replicated 'real-world experiment' to study the responses of invertebrate communities to wastewater perturbations across a land-use intensity gradient in 12 Swiss streams. We used different taxonomy and trait-based community descriptors to establish the most sensitive indicators detecting impacts and to help elucidate potential causal mechanisms of change. First, we predicted that streams in catchments adversely impacted by human land-uses would be less impaired by wastewater inputs because their invertebrate communities should be dominated by pollution-tolerant taxa ('environmental context'). Second, we predicted that the negative effects of wastewater on stream invertebrate communities should be larger in streams that receive proportionally more wastewater ('magnitude of disturbance'). In support of the 'environmental context' hypothesis, we found that change in the Saprobic Index (a trait-based indicator of tolerance to organic pollution) was associated with upstream community composition; communities in catchments with intensive agricultural land uses (e.g., arable cropping and pasture) were generally more resistant to eutrophication associated with wastewater inputs. We also found support for the 'magnitude of disturbance' hypothesis. The SPEAR Index (a trait-based indicator of sensitivity to pesticides) was more sensitive to the relative input of effluent, suggesting that toxic influences of wastewater scale with dilution. Whilst freshwater pollution continues to be a major environmental problem, our findings highlight that the same anthropogenic pressure (i.e., inputs of wastewater) may induce different ecological responses depending on the environmental context and community metrics used. Thus, remediation strategies aiming to improve stream ecological status (e.g., rehabilitating degraded reaches) need to consider upstream anthropogenic influences and the most appropriate indicators of restoration success."
Keep,"I had a hard time with this one. It kinda seems like it uses spatial, remote sensing data, to track land use change, which they then tied into ecosystem services. To me, this sounds like it should probbaly be kept.",4/22/20,FALSE,,TRUE,FALSE,R_3s1wnnG0s4XeT5H,GV,Evaluating the eco-environment benefit of land reclamation in the dump of an opencast coal mine,Maybe,uncertainy in survey notes,FALSE,"Looked at overall benefit/value ($) over time given land use change, did not look specifically at each service individually.",Wang,2017,CHEMISTRY AND ECOLOGY,"Land reclamation significantly affects the ecological and environmental conditions of mining areas. However, quantifying the exact effects is difficult because of the lack of reliable data. The estimation of eco-environment benefit contributes to clarify the ecological and environmental changes caused by land reclamation and to provide useful information for policy-makers concerned with sustainable development. The aim of this study is to investigate variations in eco-environment benefit in response to land use changes during land reclamation. The West dump, one of the earliest regions to implement ecological restoration in Liaoning Province, is selected as the study area. The widely used methods for eco-environment benefits based on the land use change were proposed and applied to the West dump in 2004, 2009, and 2014. The total eco-environment benefits in study areas were 0.98 million dollars in 2004, 1.39 million dollars in 2009, and 1.43 million dollars in 2014, with an increase of 0.41 million dollars from 2004 to 2009 mainly because of the increasing areas of artificial woodland and reclaimed cropland. The combined eco-environment benefits of artificial woodland, improved grassland, and reclaimed cropland were over 90% of the total benefits. Soil formation and protection, biodiversity protection, and gas regulation were the top three functions with high eco-environment benefits, contributing about half of the total eco-environment benefits. The results suggest that future studies estimating eco-environment benefits should pay more attention to ecosystems in fragile ecological regions where various human interferences happen frequently. All of the abovementioned results made the techniques of estimation of the eco-environment benefit of land reclamation are more meaningful in guiding the future exploitation and reclamation of mining areas."
,,4/22/20,TRUE,Q1,TRUE,FALSE,R_1qV3JvuSWim2iuY,IS,Fine-scale environmental heterogeneities of tidal creeks affect distribution of crab burrows in a Chinese salt marsh,Maybe,uncertainy in survey notes,FALSE,almost included at q3 with the thinking that abundance of crab burrows was not enough but they mentioned in the intro that crabs that burrow are thought to be ecosystem engineers that play a key role in energy and matter transfer,Wang,2009,ECOLOGICAL ENGINEERING,"Tidal creeks are an important structure of salt marshes in estuarine ecosystems, providing valuable ecosystem services to wildlife in the estuary, To determine the effects of environmental heterogeneities within tidal creeks on the features of crab burrows, we divided a typical creek section into four parts (i.e., microhabitats): bottom, slope, edge and flat, investigated the distribution of crab burrows and sediment properties on creek sections in the Yangtze River estuary, and compared the burrow distribution in tidal creeks with that in non-creek areas. Our results showed that from the creek bottom to flat soil water content declined (F-3,F-60 = 93.8, p < 0.001), and the variations of other sediment physical and chemical properties associated with the change of soil water content were significant among the microhabitats on the creek sections (p < 0.001 for pH, conductivity, and grain size). No crab burrows were found at the creek bottom. The burrows on the slope were smaller in size (p < 0 001 for burrow opening diamater) while the density was higher than that at the edge and on the flat (F-2,F-45 = 31.2, p < 0.001). Moreover, although the correlations between burrow distribution and sediment properties varied among the microhabitats on the creek sections, crabs generally selected relatively solid sediments to build their burrows. On the slope, there was a significantly negative relationship between burrow density and soil water content (r(2) = 0.53, p < 0.001). At the edge, the correlation between total burrow opening area and soil water content was significantly negative (r(2) = 0.44. p < 0.002). The density of small crab burrows (<10 mm) was greater, but that of large burrows (>10 mm) was lower in tidal creeks than in non-creek habitats. Therefore, sediment properties showed a gradual transition from hydrophytic to terrestrial environments on the creek section, which caused significant differences of burrow distribution among the microhabitats. The creeks of tidal salt marshes could affect ecological processes and functioning through affecting crab burrows. (C) 2009 Elsevier B.V. All rights reserved."
,,4/22/20,TRUE,Q1,FALSE,TRUE,R_VKm39HpefI4YQNz,JL,How good are tropical forest patches for ecosystem services provisioning?,Exclude,by survey notes,TRUE,"The ES table is not filled out because the paper is only an ecosystem service valuation paper (no drivers). I believe that it thus would have been excluded in round 1, but there were no questions to explicitly exclude it in round 2, so I filled it out (plus it may address some interesting scale questions). Specifically, the paper maps 'forest ecosystem services' by using land cover data to estimate ES provision based on forest age, contiguity, and size, assuming that old, connected and larger forests provide more ES's. It measures no services directly, nor looks at any drivers that are not already implicit in their valuation approach.",Ferraz,2014,LANDSCAPE ECOLOGY,"Native forests play an important role regarding ecosystem services related to biodiversity, water, and nutrient cycling, and the intensity of those services should be related to the amount, configuration and quality of the forest. However, in highly dynamic landscapes, such as some tropical regions, ecosystem services are potentially affected not only by the present landscape structure, but also by the historical land use. Here we propose a simple methodological framework to evaluate the contribution of past landscape dynamics and present landscape structure in the provision of ecosystem services. We applied this framework to a traditional agricultural landscape from the Brazilian Atlantic Forest hotspot, where natural forests cover has increased from 8 to 16 % in the last 60 years (1962-2008), and where old forests are being reduced while young forests are being regenerated. Forests of different ages, in association with current landscape structure, reveal a mosaic of forest patches under different conditions, implying different abilities to deliver ecosystem services. With the replacement of old-growth forests by young-regenerating forests and a high level of forest fragmentation, less than 1/4 of the current forest cover is able to fully satisfy the ecosystem service demands. To avoid such tendency, government policies should not only focus on increasing forest cover, but also in conserving old-growth forest fragments or increasing forest quality. The proposed methodology allows integrating historical land use and current landscape structure to evaluate ecosystem services provision and can be useful to establish programs of payment for ecosystem services."
,,4/22/20,TRUE,Q1,FALSE,TRUE,R_dbeWQX6viySWF69,TK,How good are tropical forest patches for ecosystem services provisioning?,Keep,,TRUE,,Ferraz,2014,LANDSCAPE ECOLOGY,"Native forests play an important role regarding ecosystem services related to biodiversity, water, and nutrient cycling, and the intensity of those services should be related to the amount, configuration and quality of the forest. However, in highly dynamic landscapes, such as some tropical regions, ecosystem services are potentially affected not only by the present landscape structure, but also by the historical land use. Here we propose a simple methodological framework to evaluate the contribution of past landscape dynamics and present landscape structure in the provision of ecosystem services. We applied this framework to a traditional agricultural landscape from the Brazilian Atlantic Forest hotspot, where natural forests cover has increased from 8 to 16 % in the last 60 years (1962-2008), and where old forests are being reduced while young forests are being regenerated. Forests of different ages, in association with current landscape structure, reveal a mosaic of forest patches under different conditions, implying different abilities to deliver ecosystem services. With the replacement of old-growth forests by young-regenerating forests and a high level of forest fragmentation, less than 1/4 of the current forest cover is able to fully satisfy the ecosystem service demands. To avoid such tendency, government policies should not only focus on increasing forest cover, but also in conserving old-growth forest fragments or increasing forest quality. The proposed methodology allows integrating historical land use and current landscape structure to evaluate ecosystem services provision and can be useful to establish programs of payment for ecosystem services."
,,4/22/20,FALSE,,TRUE,TRUE,R_PzFHkZDDDfxQBJD,GV,Managing ecosystems without prior knowledge: pathological outcomes of lake liming,Maybe,uncertainy in survey notes,TRUE,"No measurement of services/function except community structure of certain groups including fish, so fisheries was the closest link that they mentioned.",Angeler,2017,ECOLOGY AND SOCIETY,"Management actions often need to be taken in the absence of ecological information to mitigate the impact of pressing environmental problems. Managers counteracted the detrimental effects of cultural acidification on aquatic ecosystems during the industrial era using liming to salvage biodiversity and ecosystem services. However, historical contingencies, i.e., whether lakes were naturally acidic or degraded because of acidification, were largely unknown and therefore not accounted for in management. It is uncertain whether liming outcomes had a potentially detrimental effect on naturally acidic lakes. Evidence from paleolimnological reconstructions allowed us to analyze community structure in limed acidified and naturally acidic lakes, and acidified and circumneutral references. We analyzed community structure of phytoplankton, zooplankton, macroinvertebrates (littoral, sublittoral, profundal), and fish between 2000 and 2004. Naturally acidic limed lakes formed communities that were not representative of the other lake types. The occurrence of fish species relevant for ecosystem service provisioning (fisheries potential) in naturally acidic limed lakes were confounded by biogeographical factors. In addition, sustained changes in water quality were conducive to harmful algal blooms. This highlights a pathological outcome of liming lakes when their naturally acidic conditions are not accounted for. Because liming is an important social-ecological system, sustained ecological change of lakes might incur undesired costs for societies in the long term."
,,4/22/20,FALSE,,TRUE,TRUE,R_4T17wWafN6Kg0gN,SDJ,Managing ecosystems without prior knowledge: pathological outcomes of lake liming,Keep,,TRUE,"Q12. The study included lakes that were naturally acidified and lakes that were acidified due to human activity. It also included lakes that were limed by humans and ones that were not. So water quality was determined by natural and human causes. They were particularly interested in the human-caused liming. The human driver relationship was mixed because adding lime to lakes that were naturally acidified seemed to cause negative changes in community structure. Adding lime to lakes that were acidified due to human use probably had neutral to beneficial impacts from a management standpoint (water quality). For food and feed, the fisheries potential is responding to the community structure/water quality/human liming. They estimate fisheries potential from occurrence of valuable fish species. Q13  Kremen topic 3 is relevant because the paper does include - how community structure is different in naturally acidified lakes compared to unnaturally acidified lakes, but they do not delve into those details or discuss them at all.",Angeler,2017,ECOLOGY AND SOCIETY,"Management actions often need to be taken in the absence of ecological information to mitigate the impact of pressing environmental problems. Managers counteracted the detrimental effects of cultural acidification on aquatic ecosystems during the industrial era using liming to salvage biodiversity and ecosystem services. However, historical contingencies, i.e., whether lakes were naturally acidic or degraded because of acidification, were largely unknown and therefore not accounted for in management. It is uncertain whether liming outcomes had a potentially detrimental effect on naturally acidic lakes. Evidence from paleolimnological reconstructions allowed us to analyze community structure in limed acidified and naturally acidic lakes, and acidified and circumneutral references. We analyzed community structure of phytoplankton, zooplankton, macroinvertebrates (littoral, sublittoral, profundal), and fish between 2000 and 2004. Naturally acidic limed lakes formed communities that were not representative of the other lake types. The occurrence of fish species relevant for ecosystem service provisioning (fisheries potential) in naturally acidic limed lakes were confounded by biogeographical factors. In addition, sustained changes in water quality were conducive to harmful algal blooms. This highlights a pathological outcome of liming lakes when their naturally acidic conditions are not accounted for. Because liming is an important social-ecological system, sustained ecological change of lakes might incur undesired costs for societies in the long term."
,,4/22/20,TRUE,Q1,FALSE,FALSE,R_C4Fa36rH5EGVZZv,CW,"Modeling and predicting the growth of the mussel, Mytilus edulis: implications for planning of aquaculture and eutrophication mitigation",Maybe,uncertainy in survey notes,FALSE,"This paper was tricky to evaluate. Talks about ES's (nutrient assimilation, production yield for aquaculture) but doesn't quantify anything related to them. Simply states that mussel growth is an EF (reader is to accept that) and that relates to ES's. It also doesn't show how different predictive variables relate to mussel growth rate, figures show overall model performance and AIC values.. I think this paper is more about methods for modeling and how accurate models are than trying to quantify ES provisioning, although map in results does show how mussel relative growth classes are distributed across space.",Bergstrom,2015,ECOLOGY AND EVOLUTION,"The increased pressure on the marine ecosystems highlights the need for policies and integrated approaches for sustainable management of coastal areas. Spatial planning based on geographic information of human activities, ecological structures and functions, and their associated goods and services is a fundamental component in this context. Here, we evaluate the potential of predictive modeling to provide spatial data on one ecosystem function, mussel growth for use in such processes. We developed a methodology based on statistical modeling, spatial prediction, and mapping for the relative growth of the blue mussel, Mytilus edulis. We evaluated the performance of different modeling techniques and classification schemes using empirical measurements of growth from 144 sampling sites and data on biological, chemical, and physical predictors. Following comparisons of the different techniques and schemes, we developed random forest models to predict growth along the Swedish west coast. Implemented into GIS the best model produced in this study predicts that low, intermediate, and high growth rates can be expected in 53%, 32%, and 15% of modeled area, respectively. The results of this study also suggest that the nature and quality of predictor data hold the key to improving the predictive power of models. On a more general note, this study exemplifies a feasible approach based on measuring, modeling, and mapping for obtaining scientifically based spatial information on ecosystem functions and services affected by a complex set of factors. Such information is fundamental for maritime spatial planning and ecosystem-based management and its importance is likely to increase in the future. Because of its close link to nutrient assimilation and production yield, site-specific information of soft tissue growth such as the map of predicted growth rate developed in this study can be used as a tool for optimizing actions aimed at mitigating eutrophication and aquaculture operations and in maritime spatial planning processes of coastal areas."
Exclude,"I would call this a methods development paper. They did use some data in the model, but not to ask a question beyond ""does our model work better than the others""",4/22/20,TRUE,Q3-Methods,FALSE,FALSE,R_12FO5dczVAGa2t4,GV,Multifunctionality of floodplain landscapes: relating management options to ecosystem services,Maybe,uncertainy in survey notes,FALSE,"Had lots of variables, but only experts' assessment of the influence of the driver (intervention/management strategy) on the service. No direct measurement and largely abstract. Examined tradeoffs of different management strategies.",Schindler,2014,LANDSCAPE ECOLOGY,"The concept of green infrastructure has been recently taken up by the European Commission for ensuring the provision of ecosystem services (ESS). It aims at the supply of multiple ESS in a given landscape, however, the effects of a full suite of management options on multiple ESS and landscape multifunctionality have rarely been assessed. In this paper we use European floodplain landscapes as example to develop an expert based qualitative conceptual model for the assessment of impacts of landscape scale interventions on multifunctionality. European floodplain landscapes are particularly useful for such approach as they originally provided a high variety and quantity of ESS that has declined due to the strong human impact these landscapes have experienced. We provide an overview of the effects of floodplain management options on landscape multifunctionality by assessing the effects of 38 floodplain management interventions on 21 relevant ESS, as well as on overall ESS supply. We found that restoration and rehabilitation consistently increased the multifunctionality of the landscape by enhancing supply of provisioning, regulation/maintenance, and cultural services. In contrast, conventional technical regulation measures and interventions related to extraction, infrastructure and intensive land use cause decrease in multifunctionality and negative effects for the supply of all three aspects of ESS. The overview of the effects of interventions shall provide guidance for decision makers at multiple governance levels. The presented conceptual model could be effectively applied for other landscapes that have potential for a supply of a high diversity of ESS."
,,4/22/20,TRUE,Framework,FALSE,TRUE,R_2qrxD2YLG0as2i7,AK,Nitrogen-induced terrestrial eutrophication: cascading effects and impacts on ecosystem services,Exclude,by survey notes,FALSE,Consider excluding? I'm really not sure if this paper fits....I had a really hard time filling out this form since it was more of a synthesis. They also use/mention tons of indicators so I wasn't sure how to fill out the table in Q12,Clark,2017,ECOSPHERE,"Human activity has significantly increased the deposition of nitrogen (N) on terrestrial ecosystems over pre-industrial levels leading to a multitude of effects including losses of biodiversity, changes in ecosystem functioning, and impacts on human well-being. It is challenging to explicitly link the level of deposition on an ecosystem to the cascade of ecological effects triggered and ecosystem services affected, because of the multitude of possible pathways in the N cascade. To address this challenge, we report on the activities of an expert workshop to synthesize information on N-induced terrestrial eutrophication from the published literature and to link critical load exceedances with human beneficiaries by using the STressor- Ecological Production function final ecosystem Services Framework and the Final Ecosystem Goods and Services Classification System (FEGS-CS). We found 21 N critical loads were triggered by N deposition (ranging from 2 to 39 kg N.ha(-1),yr(-1)), which cascaded to distinct beneficiary types through 582 individual pathways in the five ecoregions examined (Eastern Temperate Forests, Marine West Coast Forests, Northwestern Forested Mountains, North American Deserts, Mediterranean California). These exceedances ultimately affected 66 FEGS across a range of final ecosystem service categories (21 categories, e.g., changes in timber production, fire regimes, and native plant and animal communities) and 198 regional human beneficiaries of different types. Several different biological indicators were triggered in different ecosystems, including grasses and/or forbs (33% of all pathways), mycorrhizal communities (22%), tree species (21%), and lichen biodiversity (11%). Ecoregions with higher deposition rates for longer periods tended to have more numerous and varied ecological impacts (e.g., Eastern Temperate Forests, eight biological indicators) as opposed to other ecoregions (e.g., North American Deserts and Marine West Coast Forests each with one biological indicator). Nonetheless, although ecoregions differed by ecological effects from terrestrial eutrophication, the number of FEGS and beneficiaries impacted was similar across ecoregions. We found that terrestrial eutrophication affected all ecosystems examined, demonstrating the widespread nature of terrestrial eutrophication nationally. These results highlight which people and ecosystems are most affected according to present knowledge, and identify key uncertainties and knowledge gaps to be filled by future research."
,,4/22/20,TRUE,Q3- framework,TRUE,TRUE,R_1f6QmyQjuOj8jok,JL,"Optimizing agri-environment schemes for biodiversity, ecosystem services or both?",Exclude,by Q3,TRUE,,Ekroos,2014,BIOLOGICAL CONSERVATION,"Agri-environment schemes (AES) have been introduced to mitigate negative environmental effects caused by increased agricultural intensification in Europe. However, there is still debate on whether currently available incentives are efficiently enhancing farmland biodiversity. Moreover, agri-environment schemes often lead to a yield reduction, which has been argued to potentially increase pressure on non-cropped habitats, with unintended negative environmental consequences. Here, we argue that AES should build on more explicit goals regarding (1) biodiversity protection as such and (2) provisioning of ecosystem services benefiting agricultural production. We discuss how this can be achieved by an efficient spatial allocation of AES measures to the benefit of biodiversity, ecosystem service providers and agricultural production. We differentiate between biodiversity conservation schemes, which target species of conservation concern, and ecosystem service schemes which explicitly target ecosystem service providers important for environmentally sustainable agriculture, most of which are common species. We construct a simplistic, conceptual model, based on well-founded ecological principles, to illustrate how to allocate biodiversity conservation schemes and ecosystem service schemes spatially, depending on where they are needed in order to meet the goals of protecting biodiversity per se and promoting environmentally sustainable agriculture. By understanding the functional importance of different types of AES we can achieve much more effective schemes in the future. (C) 2014 Elsevier Ltd. All rights reserved."
,,4/22/20,TRUE,Q3- framework,TRUE,TRUE,R_pbD8d5yt7CDK0Nj,TK,"Optimizing agri-environment schemes for biodiversity, ecosystem services or both?",Keep,,TRUE,,Ekroos,2014,BIOLOGICAL CONSERVATION,"Agri-environment schemes (AES) have been introduced to mitigate negative environmental effects caused by increased agricultural intensification in Europe. However, there is still debate on whether currently available incentives are efficiently enhancing farmland biodiversity. Moreover, agri-environment schemes often lead to a yield reduction, which has been argued to potentially increase pressure on non-cropped habitats, with unintended negative environmental consequences. Here, we argue that AES should build on more explicit goals regarding (1) biodiversity protection as such and (2) provisioning of ecosystem services benefiting agricultural production. We discuss how this can be achieved by an efficient spatial allocation of AES measures to the benefit of biodiversity, ecosystem service providers and agricultural production. We differentiate between biodiversity conservation schemes, which target species of conservation concern, and ecosystem service schemes which explicitly target ecosystem service providers important for environmentally sustainable agriculture, most of which are common species. We construct a simplistic, conceptual model, based on well-founded ecological principles, to illustrate how to allocate biodiversity conservation schemes and ecosystem service schemes spatially, depending on where they are needed in order to meet the goals of protecting biodiversity per se and promoting environmentally sustainable agriculture. By understanding the functional importance of different types of AES we can achieve much more effective schemes in the future. (C) 2014 Elsevier Ltd. All rights reserved."
Exclude,"I think this should have been excluded in the first round, it does not directly model an EF or ES (though it does talk about how the land management strategies would affect es), but also it really only focuses on valuation",4/22/20,TRUE,Q2 ,TRUE,FALSE,R_1QbdAK3Yg6hMMt8,CW,Optimizing intermediate ecosystem services in agriculture using rules based on landscape composition and configuration indices,Maybe,uncertainy in survey notes,FALSE,"This is a data simulation varying spatial configuration of proportion of field conserved for habitat and where within farm site conserved habitat lies (authors create two different indices to quantify this). What they model is index of ""pollination potential"" (scale is 4-10), which is not in units directly relevant to real world, and quantify this potential when farms make management decision collectively to maximize aggregate pollination potential, vs. when farms make mgmt decisions independently to maximize their own benefit (this study is in an econ journal).",Cong,2016,ECOLOGICAL ECONOMICS,"Important intermediate ecosystem services (ES) such as crop pollination and biological control of pests, which underpin the final ES agricultural yields, are mediated by mobile organisms that depend on availability of habitat and its arrangement in the landscape. It has been suggested that landscape-scale management (LSM) of habitat in a multi-farm setting results in higher provisioning of such ES compared to farm-scale management (FSM). However, to achieve the LSM solution, farmers' land-use decisions need to be coordinated. To this end, we develop rules based on novel landscape composition and configuration indices. We model farmers' interdependencies through ES in an agent-based model (ABM) and optimize land use at both the farm and landscape scales for comparison. Our analysis is based on a simple artificial landscape with homogeneous soil quality and uses crop pollination as an illustrative ecosystem service. We consider habitat configuration at the field scale. Our rules demonstrate that the coordinated solution is characterized by a higher degree of habitat availability and a configuration of habitat that is dispersed rather than agglomerated. We tested these rules over a range of assumptions about ecological parameter values and suggest that such rules could be used to improve governance of ES in agricultural landscapes. (C) 2016 Elsevier B.V. All rights reserved."
Exclude,Has nothing to do with ES/EF. Should have been excluded in the first round from question 5 (this paper does not directly measure/model and Ef and/or ES),4/22/20,TRUE,Q2 ,TRUE,FALSE,R_3dR1lfShRwr5O7L,JL,Preference of an insular flying fox for seed figs enhances seed dispersal of a dioecious species,Maybe,uncertainy in survey notes,FALSE,"Study isn't perfect - there is no sort of control or comparison among ESPs to evaluate how much of a difference the ESP makes for seed dispersal... in this way it reads like a valuation of ES provision rather than a study of the ecology. But they do show an effect of the ESP on germinability of dispersed seed compared to a control, which should support plant regeneration.",Chen,2017,BIOTROPICA,"Interactions among multiple species form complex networks of interdependences and are considered primary factors in the generation and maintenance of biodiversity. Pteropodid bats are keystone species that provide important ecosystem services of pollination and seed dispersal in the tropics and subtropics. In this study, we investigated the utilization and preference of food resources by the insular frugivorous flying fox Pteropus dasymallus. We found that fig species constituted the major portion of the diet of the flying fox (94.6%). When foraging, the flying fox preferred seed figs from female trees over gall figs from male trees in functionally dioecious fig species. Germination experiments showed a significantly higher percentage of germination for fig seeds in feces than those from pellets and ripe figs (feces: 80.2%, pellets: 23.4%, ripe figs: 32.9%). Considering the active selection of seed figs and avoidance of gall figs by foraging flying foxes, we suggest that the abundance of seed figs accurately represents food availability for dioecy. This preference for seed figs or viable seeds can effectively promote the survival of pollinating wasps and might reinforce the evolution of dioecism in figs. In addition, the effects of gut passage on seed germination, in combination with the capacity of flying foxes to travel long distances, may substantially contribute to the efficiency of flying foxes as seed dispersers."
,,4/22/20,FALSE,,TRUE,TRUE,R_2EAiqa9K0npqYVG,JL,Reconciling community ecology and ecosystem services: Cultural services and benefits from birds in South African National Parks,Keep,,TRUE,,Cumming,2017,ECOSYSTEM SERVICES,"The ecosystem services paradigm has been used to bridge disciplinary boundaries and to justify conservation action. Protected areas are now expected to both meet species-level conservation objectives and provide ecosystem services. The relationships between species composition and cultural benefits to people are, however, poorly understood. We quantified benefit-biodiversity relationships between birders and bird communities in South African National Parks to test four hypotheses: 'more is better', the threshold hypothesis, the rarity hypothesis, and the contextual hypothesis. Data were collected along 293 routes in a paired sampling design. Expert birders, collecting classical point count data, followed (24 h later) the GPS-tracked routes of amateur birders. Amateurs completed satisfaction surveys after each route. Bird-related variables, such as diversity and activity, explained c. 27% of variance in birder benefits; other variables, such as the weather and landscape beauty, increased this to 57%. Linear models partially supported 'more is better', but indicated that birders adjust expectations and resulting benefits with location. Cultural benefits are delivered at scales ranging from organisms to landscapes. Conserving cultural ecosystem services is not equivalent to conserving species composition. Rigorous measurement of cultural ecosystem services and benefits demands a multi-scale, multi-level perspective that links people to species, ecological communities, and landscapes. (C) 2017 Elsevier B.V. All rights reserved."
,,4/22/20,FALSE,,TRUE,TRUE,R_3qm5CLq7ScNVKxA,TK,Reconciling community ecology and ecosystem services: Cultural services and benefits from birds in South African National Parks,Exclude,by Q3,TRUE,,Cumming,2017,ECOSYSTEM SERVICES,"The ecosystem services paradigm has been used to bridge disciplinary boundaries and to justify conservation action. Protected areas are now expected to both meet species-level conservation objectives and provide ecosystem services. The relationships between species composition and cultural benefits to people are, however, poorly understood. We quantified benefit-biodiversity relationships between birders and bird communities in South African National Parks to test four hypotheses: 'more is better', the threshold hypothesis, the rarity hypothesis, and the contextual hypothesis. Data were collected along 293 routes in a paired sampling design. Expert birders, collecting classical point count data, followed (24 h later) the GPS-tracked routes of amateur birders. Amateurs completed satisfaction surveys after each route. Bird-related variables, such as diversity and activity, explained c. 27% of variance in birder benefits; other variables, such as the weather and landscape beauty, increased this to 57%. Linear models partially supported 'more is better', but indicated that birders adjust expectations and resulting benefits with location. Cultural benefits are delivered at scales ranging from organisms to landscapes. Conserving cultural ecosystem services is not equivalent to conserving species composition. Rigorous measurement of cultural ecosystem services and benefits demands a multi-scale, multi-level perspective that links people to species, ecological communities, and landscapes. (C) 2017 Elsevier B.V. All rights reserved."
