,assess_date,newcase,doublerev,ResponseId,Init,Title,GenInfo,MethodsNotes,Observational,Experimental,Model_Data_Simulation,Social_survey_Interview,Other,Ecosystem,MultiScale,TimeTrends,FirstAuthor,SourcePublication,PublicationYear,Abstract,,Changed
82,4/22/2020,TRUE,FALSE,R_3qR73xxh6EKABDa,JL,Harvesting invasive plants to reduce nutrient loads and produce bioenergy: an assessment of Great Lakes coastal wetlands,,,NA,NA,1,NA,NA,"Coastal,Freshwater",No,No,Carson,ECOSPHERE,2018,"In Laurentian Great Lakes coastal wetlands (GLCWs), dominant emergent invasive plants are expanding their ranges and compromising the unique habitat and ecosystem service values that these ecosystems provide. Herbiciding and burning to control invasive plants have not been effective in part because neither strategy addresses the most common root cause of invasion, nutrient enrichment. Mechanical harvesting is an alternative approach that removes tissue-bound phosphorus and nitrogen and can increase wetland plant diversity and aquatic connectivity between wetland and lacustrine systems. In this study, we used data from three years of Great Lakes-wide wetland plant surveys, published literature, and bioenergy analyses to quantify the overall areal extent of GLCWs, the extent and biomass of the three most dominant invasive plants, the pools of nitrogen and phosphorus contained within their biomass, and the potential for harvesting this biomass to remediate nutrient runoff and produce renewable energy. Of the approximately 212,000 ha of GLCWs, three invasive plants (invasive cattail, common reed, and reed canary grass) dominated 76,825 ha (36%). The coastal wetlands of Lake Ontario exhibited the highest proportion of invasive dominance (57%) of any of the Great Lakes, primarily from cattail. A single growing season's biomass of these invasive plants across all GLCWs was estimated at 659,545 metric tons: 163,228 metric tons of reed canary grass, 270,474 metric tons of common reed, and 225,843 metric tons of invasive cattail, and estimated to contain 10,805 and 1144 metric tons of nitrogen and phosphorus, respectively. A one-time harvest and utilization for energy of this biomass would provide the gross equivalent of 1.8 million barrels of oil if combusted, or 0.9 million barrels of oil if converted to biogas in an anaerobic digester. We discuss the potential for mitigating non-point source nutrient pollution with invasive wetland plant removal, and other potential uses for the harvested biomass, including compost and direct application to agricultural soils. Finally, we describe the research and adaptive management program we have built around this concept, and point to current limitations to the implementation of large-scale invasive plant harvesting.",,1
85,4/22/2020,FALSE,FALSE,R_1rHxSk1Sq7DqnNI,CW,Identifying suitable multifunctional restoration areas for Forest Landscape Restoration in Central Chile,"Use combo of published landcover maps to delineate binary forest, non-forest in study area; use different remote sensing datasets (30m res, and WorldClim) to extract predictor variables; used INVEST model to project 2 types of ES's (carbon seq, erosion potential) and 3-step combo of models to project habitat suitability. Lots of data processing in this paper (goal is to demo a new approach to ID forest areas for restoration and regeneration).  They do use land cover maps from three different time points, but to project likely forest recovery without intervention. Not assessing temporal trends as part of study questions.",,NA,NA,1,NA,NA,Terrestrial,Yes,No,Schulz,ECOSPHERE,2017,"Large-scale deforestation has led to drastic alterations of landscapes worldwide, with serious declines of biodiversity and ecosystem functions, leading to impacts on humanity ranging from the local to the global scale. However, the provision of crucial ecosystem functions is not only determined by the extent, but also by the spatial configuration of forests within the landscape mosaic. An approach that aims to restore forest functions on a landscape scale is Forest Landscape Restoration, with the purpose to regain ecological integrity and support human well-being. The landscape-scale approach should enhance the contribution of site-based restoration to larger-scale processes and functional synergies. A fundamental challenge for Forest Landscape Restoration is therefore the identification of restoration areas within the landscape where multiple functions operating on different scales can be enhanced. Equally important is the task of identifying areas requiring restoration. Proposed strategies include the assessment of current, past, and reference landscape states. However, integrative planning approaches combining historical and functional perspectives on a landscape scale are little developed. In this paper, we demonstrate how forest restoration areas can be identified that account for historical forest patterns while simultaneously targeting multiple forest functions. We use a method developed for habitat suitability modeling based on recent historical forest occurrence and regeneration patterns from 1985 to 2008 in order to predict areas that are suitable for forest restoration (potential forest growth) as well as areas where forest potentially recovers by natural regeneration. For both, unsuitable areas are excluded by masking restoration constraints. Separately, we map potential forest functions and assess spatial synergies or ""multifunctional hotspots"" using spatial multi-criteria analysis. To derive a scenario of potential restoration areas, predicted maps of restoration suitability and regeneration potential are separately combined with a map depicting the degree of multifunctionality. These maps are finally overlapped to identify multifunctional restoration and regeneration areas. These designated areas are then evaluated regarding their distribution on current land cover and recent historical deforestation areas. We test this approach for the dry forest landscape in Central Chile, an international biodiversity hotspot, which has undergone profound historical transformations and considerable deforestation in recent decades.",,1
91,4/22/2020,FALSE,FALSE,R_O8XF1IOxAwBAaHL,CW,Influence of soil and topography on aboveground biomass accumulation and carbon stocks of afforested pastures in South East Brazil,"Use allometric relationships and biomass models from other studies to estimate aboveground and root biomass for trees; in field measures = tree DBH, site slope and altitude, recorded plant cover, and collected soil samples at three depths",,1,NA,1,NA,NA,Terrestrial,No,No,Sattler,ECOLOGICAL ENGINEERING,2014,"In light of the devastating loss of forest cover, biodiversity, and ecosystem services in the Atlantic Forest of Brazil, people are endeavoring to restore this fragmented forest system. The afforestation of abandoned or degraded land is a practical approach to restore regional ecological functions and to sequester atmospheric carbon to help mitigate the global imbalance of atmospheric carbon associated with climate change. Large gaps, however, remain in understanding the dynamics of afforested tree communities. In this study, the effect of topographical relief and soil properties on growth performance of planted trees has been assessed. Above ground dry biomass (AGB(dry)) accumulation was estimated to evaluate the performance of afforested tree communities on formerly abandoned pastures at the Reserva Ecologica de Guapiacu, Rio de Janeiro, Brazil. The study revealed large discrepancies in AGBdry and respective organic carbon accumulationThe afforested tree community located on the sloped terrain stored only half the carbon (21.70 +/- 7.3 Mgha(-1)) that the planted trees on the flat terrain stored. (46.67 +/- 8.7 Mgha(-1)). Our results suggest that differences in tree growth performance are complex, depending largely on topography and related soil conditions. These circumstances should be considered to prevent misleading carbon sink estimates when developing regional strategies for Reducing Emissions from Deforestation and Degradation (REDD+) that promote afforestation activities. (C) 2014 Elsevier B.V. All rights reserved.",,NA
92,4/22/2020,TRUE,FALSE,R_2aF6YKXPmZ0wmBC,KCG,"Invasive grasses, climate change, and exposure to storm-wave overtopping in coastal dune ecosystems",,,1,NA,1,NA,NA,Coastal,No,Yes,Seabloom,GLOBAL CHANGE BIOLOGY,2013,"The world's coastal habitats are critical to human well-being, but are also highly sensitive to human habitat alterations and climate change. In particular, global climate is increasing sea levels and potentially altering storm intensities, which may result in increased risk of flooding in coastal areas. In the Pacific Northwest (USA), coastal dunes that protect the coast from flooding are largely the product of a grass introduced from Europe over a century ago (Ammophila arenaria). An introduced congener (A. breviligulata) is displacing A. arenaria and reducing dune height. Here we quantify the relative exposure to storm-wave induced dune overtopping posed by the A. breviligulata invasion in the face of projected multi-decadal changes in sea level and storm intensity. In our models, altered storm intensity was the largest driver of overtopping extent, however the invasion by A. breviligulata tripled the number of areas vulnerable to overtopping and posed a fourfold larger exposure than sea-level rise over multi-decadal time scales. Our work demonstrates the importance of a transdisciplinary approach that draws on insights from ecology, geomorphology, and civil engineering to assess the vulnerability of ecosystem services in light of global change.",,NA
99,4/22/2020,TRUE,FALSE,R_116ALiPdfWkZyqZ,CK,Lessons from visualising the landscape and habitat implications of tree decline-and its remediation through tree planting-in Australia's grazing landscapes,,,NA,NA,1,NA,NA,"Terrestrial,Agricultural/Rural",No,Yes,Sherren,LANDSCAPE AND URBAN PLANNING,2011,"Tree decline has been documented in farming and grazing landscapes around the world, with negative consequences for biodiversity and important ecosystem services. We have used solution-oriented transdisciplinary research to understand the possible consequences of scattered tree decline in Australia's temperate grazing landscapes, and explore appropriate management and policy responses. Here, we document the scenario modelling process that culminated our stakeholder engagement. We simulated tree decline and its consequences for landscape aesthetics and biodiversity, using photo-realistic visualisations based on photographs identified as significant by graziers, and empirically derived habitat relationships for a series of birds and bats. The results foreshadow dramatic visual and ecological impacts for the region. We also modelled the aesthetic and habitat impacts of fully costed remediation scenarios, including widespread scattered tree planting and densely seeding poor paddocks under temporary stock exclusion. The visualisations revealed to the research team that: (1) dense seeding has a more lasting impact for scattered trees than scattered planting; (2) the benefits of any kind of planting is short-lived if accompanied by conventional grazing practices; and (3) grazed woodlands are most at risk. The graziers to whom we presented our scenarios in the last of our stakeholder workshops responded well to both kinds of visualisations, but it was clear that the experience also extracted a cost. We reflect here on our methods and outcomes, and draw out lessons from our work for other studies of this kind. (C) 2011 Elsevier B.V. All rights reserved.",,1
100,4/22/2020,TRUE,FALSE,R_3r31WJ3iAdCuzSy,TK,Linking wind erosion to ecosystem services in drylands: a landscape ecological approach,,,NA,NA,1,NA,NA,"Terrestrial,Agricultural/Rural",Yes,Yes,Zhao,LANDSCAPE ECOLOGY,2017,"Wind erosion is a widespread environmental problem in the world's arid landscapes, which threatens the sustainability of ecosystem services in these regions. We investigated how wind erosion and key ecosystem services changed concurrently and what major biophysical and socioeconomic factors were responsible for these changes in a dryland area of China. Based on remote sensing data, field measurements, and modeling, we quantified the spatiotemporal patterns of both wind erosion and four key ecosystem services (soil conservation, crop production, meat production, and carbon storage) in the Mu Us Sandy Land in northern China during 2000-2013. Linear regression was used to explore possible relationships between wind erosion and ecosystem services. From 2000 to 2013, wind erosion decreased by as much as 60% and the four ecosystem services all increased substantially. These trends were attributable to vegetation recovery due mainly to government-aided ecological restoration projects and, to a lesser degree, slightly increasing precipitation and decreasing wind speed during the second half of the study period. The maximum soil loss dropped an order of magnitude when vegetation cover increased from 10% to 30%, halved again when vegetation increased from 30 to 40%, and showed little change when vegetation increased beyond 60%. Our study indicates that vegetation cover has nonlinear and threshold effects on wind erosion through constraining the maximum soil loss, which further affects dryland ecosystem services. These findings have important implications for ecological restoration and ecosystem management in dryland landscapes in China and beyond.",,1
101,4/22/2020,TRUE,FALSE,R_eOKpUdG4poM32WR,AIS,Low tolerance of New Caledonian secondary forest species to savanna fires,,,1,NA,1,NA,NA,Terrestrial,No,No,Ibanez,JOURNAL OF VEGETATION SCIENCE,2013,"Questions How do early secondary successional forest species that grow in savannas differ in their tolerance to surface fires? What are the consequences of these fire tolerances for savannaforest dynamics and landscape management? Location Anthropogenic savannas in the New Caledonian biodiversity hotspot (SW Pacific). Methods We estimated the range of fire intensity in New Caledonian savannas using field survey of fuels and the BehavePlus fire behaviour model. Within the predicted range of fire line intensity, we assessed theoretical fire injury to the cambium and crown for 11 species: the dominant tree of New Caledonian savannas (Melaleuca quinquenervia) and early secondary successional forest species. Using empirical models, for each species we estimated cambium damage from depth of necrosis (as a function of fire line intensity and fire residence time) and bark thickness, and crown damage from scorch height (as a function of fire line intensity) and tree height. We compared bark thickness and tree height increment patterns among species as well as species potential fire tolerance. Results The 11 species had very contrasting capacity to avoid fire injury to the bole cambium due to differences in bark investment patterns, but were all very exposed to scorching and crown injury. Overall, most of sampled individuals are likely top-killed by low intensity fires (<1000 kW.m-1), which are frequent according to our simulations. Conclusions The early secondary successional forest species growing in New Caledonian savannas are poorly adapted to fire, in comparison with literature on worldwide trees in savannas. As a result, their juveniles are unlikely to reach adult size in fire-prone areas. Restoration using the most fire-tolerant species and fire prevention may be complementary strategies to manage such tropical landscapes in order to conserve biodiversity and ecosystem services.",,NA
102,4/22/2020,FALSE,FALSE,R_2dSh4Sqg9aHnvaS,AIS,Machine learning for ecosystem services,machine learning methods with two case studies (Italy and South Africa),,NA,NA,1,NA,NA,Terrestrial,No,No,Willcock,ECOSYSTEM SERVICES,2018,"Recent developments in machine learning have expanded data-driven modelling (DDM) capabilities, allowing artificial intelligence to infer the behaviour of a system by computing and exploiting correlations between observed variables within it. Machine learning algorithms may enable the use of increasingly available 'big data' and assist applying ecosystem service models across scales, analysing and predicting the flows of these services to disaggregated beneficiaries. We use the Weka and ARIES software to produce two examples of DDM: firewood use in South Africa and biodiversity value in Sicily, respectively. Our South African example demonstrates that DDM (64-91% accuracy) can identify the areas where firewood use is within the top quartile with comparable accuracy as conventional modelling techniques (54-77% accuracy). The Sicilian example highlights how DDM can be made more accessible to decision makers, who show both capacity and willingness to engage with uncertainty information. Uncertainty estimates, produced as part of the DDM process, allow decision makers to determine what level of uncertainty is acceptable to them and to use their own expertise for potentially contentious decisions. We conclude that DDM has a clear role to play when modelling ecosystem services, helping produce interdisciplinary models and holistic solutions to complex socio-ecological issues. (C) 2018 The Authors. Published by Elsevier B.V.",,1
104,4/22/2020,TRUE,TRUE,R_1ohcLMajY8ggLT8,TK,Mammal diversity influences the carbon cycle through trophic interactions in the Amazon,,,1,NA,1,NA,NA,Terrestrial,No,No,Sobral,NATURE ECOLOGY & EVOLUTION,2017,"Biodiversity affects many ecosystem functions and services, including carbon cycling and retention. While it is known that the efficiency of carbon capture and biomass production by ecological communities increases with species diversity, the role of vertebrate animals in the carbon cycle remains undocumented. Here, we use an extensive dataset collected in a high-diversity Amazonian system to parse out the relationship between animal and plant species richness, feeding interactions, tree biomass and carbon concentrations in soil. Mammal and tree species richness is positively related to tree biomass and carbon concentration in soil-and the relationship is mediated by organic remains produced by vertebrate feeding events. Our research advances knowledge of the links between biodiversity and carbon cycling and storage, supporting the view that whole community complexity-including vertebrate richness and trophic interactions-drives ecosystem function in tropical systems. Securing animal and plant diversity while protecting landscape integrity will contribute to soil nutrient content and carbon retention in the biosphere.",,NA
105,4/22/2020,FALSE,FALSE,R_T8hA2FtQncJV6kV,CW,Mapping social-ecological vulnerability to inform local decision making,"Used a previously published model from the lead author to model fishing effort and ecological exposure around Moorea, collected data on spatially explicit indicators in a 6-month window, and used census data for social component",,1,NA,1,NA,NA,Coastal,No,No,Thiault,CONSERVATION BIOLOGY,2018,"An overarching challenge of natural resource management and biodiversity conservation is that relationships between people and nature are difficult to integrate into tools that can effectively guide decision making. Social-ecological vulnerability offers a valuable framework for identifying and understanding important social-ecological linkages, and the implications of dependencies and other feedback loops in the system. Unfortunately, its implementation at local scales has hitherto been limited due at least in part to the lack of operational tools for spatial representation of social-ecological vulnerability. We developed a method to map social-ecological vulnerability based on information on human-nature dependencies and ecosystem services at local scales. We applied our method to the small-scale fishery of Moorea, French Polynesia, by combining spatially explicit indicators of exposure, sensitivity, and adaptive capacity of both the resource (i.e., vulnerability of reef fish assemblages to fishing) and resource users (i.e., vulnerability of fishing households to the loss of fishing opportunity). Our results revealed that both social and ecological vulnerabilities varied considerably through space and highlighted areas where sources of vulnerability were high for both social and ecological subsystems (i.e., social-ecological vulnerability hotspots) and thus of high priority for management intervention. Our approach can be used to inform decisions about where biodiversity conservation strategies are likely to be more effective and how social impacts from policy decisions can be minimized. It provides a new perspective on human-nature linkages that can help guide sustainability management at local scales; delivers insights distinct from those provided by emphasis on a single vulnerability component (e.g., exposure); and demonstrates the feasibility and value of operationalizing the social-ecological vulnerability framework for policy, planning, and participatory management decisions.",,NA
107,4/22/2020,TRUE,FALSE,R_2TKO5lns9kThjIM,JL,"Mapping spatial non-stationarity of human-natural factors associated with agricultural landscape multifunctionality in Beijing-Tianjin-Hebei region, China",,,NA,NA,1,NA,NA,Terrestrial,No,Yes,Peng,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,"Landscape services can be understood as the spatial explicit and human action produced ecosystem services at the landscape scale. Mapping multiple landscape services of agricultural land at various spatiotemporal scales can reveal the distribution and evolution of landscape services. However, further investigation into the spatiotemporal evolution and driving force of agricultural landscape multifunctionality is still needed. In this study, six landscape services (food supply, habitat maintenance, habitat connectivity, soil retention, landscape aesthetics, and population carrier) were quantified in the Beijing-Tianjin-Hebei region, China. Then, Spearman's rank correlation, partial correlation, principal component analysis and geographically weighted regression were used to identify the driving forces of agricultural landscape multifunctionality. The results showed that agricultural landscape multifunctionality generally increased during 2000-2010. The vegetation factor of NDVI was the most important natural indicator influencing landscape multifunctionality, while the gross domestic product was the most related social indicator. In a spatial non-stationary background, the vegetation component positively influenced multifunctionality; the impacts of the social component were negative in the center of the study area, but positive in the north and east. Because multifunctional landscapes are regarded as one spatial approach to achieving landscape sustainability, far more attentions should be paid to spatial non-stationarity of driving forces associated with agriculture landscape multifunctionality.",,1
116,4/22/2020,FALSE,FALSE,R_10wqdzUR7cNlcKG,CW,"Partitioning spatial, environmental, and community drivers of ecosystem functioning","Sampled 36 stream sites across 3 regions in Sweden, no manipulations applied to streams, site selected based on location and quality (reference vs. more human influenced), selected for environmental gradients within each of 3 regions, but anthro activity within each region varied; use trait data from online databases or other published studies; used Moran's Eigenvector Maps (MEM) to model spatial structuring of collected EF data, and then applied variance partitioning to assess how much spatial location, environ variables, and spp community explains variability in data, both within and between 3 regions",,1,NA,1,NA,NA,Freshwater,Yes,No,Truchy,LANDSCAPE ECOLOGY,2019,"Context Community composition, environmental variation, and spatial structuring can influence ecosystem functioning, and ecosystem service delivery. While the role of space in regulating ecosystem functioning is well recognised in theory, it is rarely considered explicitly in empirical studies. Objectives We evaluated the role of spatial structuring within and between regions in explaining the functioning of 36 reference and human-impacted streams. Methods We gathered information on regional and local environmental variables, communities (taxonomy and traits), and used variance partitioning analysis to explain seven indicators of ecosystem functioning. Results Variation in functional indicators was explained not only by environmental variables and community composition, but also by geographic position, with sometimes high joint variation among the explanatory factors. This suggests spatial structuring in ecosystem functioning beyond that attributable to species sorting along environmental gradients. Spatial structuring at the within-region scale potentially arose from movements of species and materials among habitat patches. Spatial structuring at the between-region scale was more pervasive, occurring both in analyses of individual ecosystem processes and of the full functional matrix, and is likely to partly reflect phenotypic variation in the traits of functionally important species. Characterising communities by their traits rather than taxonomy did not increase the total variation explained, but did allow for a better discrimination of the role of space. Conclusions These results demonstrate the value of accounting for the role of spatial structuring to increase explanatory power in studies of ecosystem processes, and underpin more robust management of the ecosystem services supported by those processes.",,NA
117,4/22/2020,FALSE,FALSE,R_1OkkByuhMddu0Wk,AK,Pattern and scale in latitude-production relationships for freshwater fishes,mixed effects models using field data on 16 fish species,,NA,NA,1,NA,NA,Freshwater,Yes,No,Rypel,ECOSPHERE,2017,"Empirically understanding spatial variation in secondary production rates is central to ecology. Yet for most taxa, such patterns are rarely examined, especially at different levels of ecological organization (e.g., species-vs. community-level patterns). We compiled data on biomass, production, and P/B rates of freshwater fish communities and species across latitudes and contrast patterns observed at the community level with those observed for species. At the community level, and at two distinct spatial scales (global vs. continental-North American), negative or neutral relationships were apparent between biomass, production, and P/B with latitude; however, there was substantial scatter in these data. Yet at the species level in North America, production was often closely linked to latitude, but in the opposite direction: Many species showed improved production with latitude. Latitudinal increases in species-level production rates were strongest for cool-and cold-water species, and species rarely showed the opposite trend. Species-level increases in production with latitude strengthened when production rates were normalized by the thermal opportunity for production, suggesting potential adaptations of individuals and populations to shorter growing seasons (i.e., ""countergradient"" production) at high latitudes. At the global scale, there were apparent unimodal relationships between community fish production measures and species richness; however, these patterns became linearized or non-significant at the continental scale. Decreased interspecific competition at northern latitudes combined with genetic adaptations (e.g., countergradient growth) could explain a tendency for increased species production in northern populations, while total community production remains reduced. Latitude has contrasting effects on fish production at different spatial scales and levels of biological organization. Thus while freshwater fish communities are somewhat more productive and diverse at lower latitudes, species production in northern populations is often surprisingly high.",,1
119,4/22/2020,TRUE,FALSE,R_cJ9WJttaQxGEnZf,LB,Plant-trait-based modeling assessment of ecosystem-service sensitivity to land-use change,,,NA,NA,1,NA,NA,"Terrestrial,Agricultural/Rural",No,No,Quetier,ECOLOGICAL APPLICATIONS,2007,"Evidence is accumulating that the continued provision of essential ecosystem services is vulnerable to land-use change. Yet, we lack a strong scientific basis for this vulnerability as the processes that drive ecosystem-service delivery often remain unclear. In this paper, we use plant traits to assess ecosystem-service sensitivity to land-use change in subalpine grasslands. We use a trait-based plant classification (plant functional types, PFTs) in a landscape modeling platform to model community dynamics under contrasting but internally consistent land-use change scenarios. We then use predictive models of relevant ecosystem attributes, based on quantitative plant traits, to make projections of ecosystem-service delivery. We show that plant traits and PFTs are effective predictors of relevant ecosystem attributes for a range of ecosystem services including provisioning (fodder), cultural (land stewardship), regulating (landslide and avalanche risk), and supporting services (plant diversity). By analyzing the relative effects of the physical environment and land use on relevant ecosystem attributes, we also show that these ecosystem services are most sensitive to changes in grassland management, supporting current agri-environmental policies aimed at maintaining mowing of subalpine grasslands in Europe.",,1
120,4/22/2020,FALSE,FALSE,R_2Qzl81Ly2xgf1DU,LD,Potential tree and soil carbon storage in a major historical floodplain forest with disrupted ecological function,"uses USDA Forest Inventory and United States General Land Office (GLO) surveys. We used the latest cycles from Arkansas during 2006–2010 (63% of trees), Mis- sissippi during 2009–2011 (20% of trees), and Missouri during 2004–2008 (8% of trees), as well as four other states",,NA,NA,1,NA,NA,Terrestrial,No,No,Hanberry,PERSPECTIVES IN PLANT ECOLOGY EVOLUTION AND SYSTEMATICS,2015,"Floodplain forests are extremely productive for agriculture and historical floodplain forests have been converted to prime agricultural land throughout the world, resulting in disruption of ecosystem functioning. Given that flooding may increase with climate change and reforestation will increase resiliency to climate change, we tested whether reforested floodplains also have great potential to store carbon and the effects of even modest increases in forested acreage on carbon storage. To calculate potential above-ground biomass in the Lower Mississippi River Alluvial Valley (LMAV) of the United States, we determined current and historical tree biomass used density estimates and diameter distributions from tree surveys and relationships between diameter and biomass from current forests. To calculate potential soil organic carbon if the landscape was forested, we used soil organic matter from soil surveys of the agricultural landscape, and multiplied the carbon by a factors of 1.25, 1.5, and 1.75 based on published reports of soil carbon increases due to afforestation. Our results showed that area-weighted mean biomass density (trees >= 12.7 cm in diameter) for historical forests was 300 Mg/ha, ranging from 228 Mg/ha to 332 Mg/ha by ecological subsection, based on the most conservative diameter distribution. Mean biomass density for current forests was 97 Mg/ha, ranging from 92 Mg/ha to 111 Mg/ha. Mean carbon density for agricultural soils was 96 Mg/ha, whereas combined tree and soil carbon densities varied from 169 Mg/ha to 317 Mg/ha; soil carbon accounted for 0.5-0.7 of total carbon density. Historical forested carbon storage in the Missouri LMAV was about 234 TgC, with the most conservative diameter distribution and assuming 80% forest coverage. Current forested carbon storage in the Missouri LMAV is about 2% of historical storage, at 5 TgC in 30,000 ha of forests, but may reach 23 TgC if forested extent almost triples, with the addition of 50,000 ha of marginal agricultural land, and carbon storage increases in trees and soil. The entire LMAV currently stores 97 TgC in forests and reasonable carbon storage for the entire LMAV may be about 335 TgC, based on increased carbon storage and reforestation of 600,000 ha of marginal agricultural land, which would double the current forested extent. Although 335 TgC storage for the LMAV is only about 1.5 times greater than historical carbon storage of the Missouri LMAV, doubling the forested extent will increase other ecosystem functions, including carbon storage, flood abatement, and reduction of fertilizer pollution in the Gulf of Mexico. (C) 2014 Geobotanisches Institut ETH, Stiftung Ruebel. Published by Elsevier GmbH. All rights reserved.",,1
122,4/22/2020,TRUE,FALSE,R_2CCz4DB4u8mY2AR,TK,Predicting coral community recovery using multi-species population dynamics models,,,1,NA,1,NA,NA,Marine/Off-shore,No,Yes,Kayal,ECOLOGY LETTERS,2019,"Predicting whether, how, and to what degree communities recover from disturbance remain major challenges in ecology. To predict recovery of coral communities we applied field survey data of early recovery dynamics to a multi-species integral projection model that captured key demographic processes driving coral population trajectories, notably density-dependent larval recruitment. After testing model predictions against field observations, we updated the model to generate projections of future coral communities. Our results indicated that communities distributed across an island landscape followed different recovery trajectories but would reassemble to pre-disturbed levels of coral abundance, composition, and size, thus demonstrating persistence in the provision of reef habitat and other ecosystem services. Our study indicates that coral community dynamics are predictable when accounting for the interplay between species life-history, environmental conditions, and density-dependence. We provide a quantitative framework for evaluating the ecological processes underlying community trajectory and characteristics important to ecosystem functioning.",,NA
128,4/22/2020,FALSE,FALSE,R_r6E6mB4UetxpnAR,CW,Recovery Debts Can Be Revealed by Ecosystem Network-Based Approaches,"Used abundance and biomass data on different reef and lagoon species before, during, and after a few disturbances to parameterize ecosystem network analysis models",,1,NA,1,NA,NA,Coastal,Yes,Yes,Dubois,ECOSYSTEMS,2019,"Ecosystems are increasingly disturbed by natural disturbances and human stressors. Understanding how a disturbance can propagate through an entire ecosystem and how induced changes can last after apparent recovery is key to guide management and ecosystem restoration strategies. Monitoring programs and impact assessment studies rely mostly on indicators based only on species relative abundance and biomass, potentially misinforming management efforts. Impacts on ecosystem structure and functioning, and subsequent delivery of ecosystem services, are too often overlooked. Here we use an ecosystem network approach to assess the recovery pathway and potential recovery debts of a coral reef ecosystem, following a pulse disturbance. We show that although species abundance and biomass indicators recovered in a decade after the perturbation, the ecosystem as a whole presented a recovery debt. The ecosystem structure lost complexity (became food chain like) and lost about 29% of its overall cycling efficiency and 9% of its transfer efficiency. Although the ecosystem trophic network in the fore reef may have maintained its general functioning, the ecosystem network in the lagoon, not directly exposed to the disturbance, presented a stronger recovery debt. Our results give new insights on how ecosystem network approaches can help identify ecosystem impacts and recovery pathways.",,NA
131,4/22/2020,TRUE,FALSE,R_1flmfQecSGzvj5k,JL,Relationship between paired ecosystem services in the grassland and agro-pastoral transitional zone of China using the constraint line method,,,NA,NA,1,NA,NA,Terrestrial,Yes,No,Hao,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,2017,"Understanding the relationships between ecosystem services is important for promoting ecosystem service management and sustainable development. The relationships between ecosystem services have commonly been characterized as tradeoffs and synergies. Here, we report that a third type of relationship also exists, in which one ecosystem service constrains the other. Selecting the grassland and agropastoral transitional zone of North China (GAPTZ) as the study area, we examined the relationships between paired ecosystem services: net primary productivity (NPP), soil conservation (SC), soil erosion by wind (SL), water yield (WY), and water retention (WR). The constraint effect of one ecosystem service on the other was determined by extracting the upper constraint lines from the scatter plots of the paired ecosystem services with segmented quantile regression on the levels of landscape, class, and ecoregion. Our results revealed eight types of constraint effects between the ten paired ecosystem services: (1) positive linear, (2) negative linear, (3) logarithmic, (4) negative convex, (5) backward S-shaped, (6) hump shaped, (7) convex-waved, and.(8) concave-waved. At the landscape, class, and ecoregion levels, there was a hump-shaped constraint effect between NPP and SC. Precipitation was the main factor shaping the constraint line of the paired NPP-SC. The gradually increasing constraint effect of higher NPP on WY indicated that, in arid and semiarid areas, improving NPP decreases water yield. In farmland areas, the backward S-shaped constraint line of the paired NPP-SL indicates that crops, unlike forests and grasslands, could not protect soil from wind erosion. The constraint effects of SL on WY and WR are negative convex on the landscape level and convex-waved or concave-waved on the class and ecoregion levels. The constraint line approach enriches the understanding of linkages between ecosystem services and the potential drivers. The constraint effects of ecosystem services have important implications for sustainable land use planning to optimize landscapes services. (C) 2017 Elsevier B.V. All rights reserved.",,1
133,4/22/2020,TRUE,FALSE,R_UhyrikAxNKguB7r,NBD,"RESEARCH ON ECOSYSTEM HEALTH ASSESSMENT INDICES AND THRESHOLDS OF A LARGE YANGTZE-CONNECTED LAKE, POYANG LAKE",,,1,NA,1,NA,NA,Terrestrial,No,Yes,Zhang,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,2019,"Assessing the aquatic ecosystem health status of lakes has been the focus of lake studies for domestic and overseas researchers and water resource managers. Poyang Lake, which is one of the only two remaining large Yangtze-connected lakes in the middle reaches of Yangtze River in China, provides considerable ecosystem service functions, such as flood water storage, water supply for industrial and agricultural production, maintenance of the unique and diverse biota of the entire Yangtze floodplain ecosystem, maintenance of regional ecological balance and so on. However, due to the impact of climate change and human activities, Poyang Lake has experienced drastic hydrological changes, water quality decline and aquatic ecological function degradation in recent years. An assessment of the aquatic ecosystem health of Poyang Lake is of great importance. On the basis of the index system construction principles and a meta-analysis of previous research, this paper puts forward the index system for the ecosystem health assessment of Poyang Lake. The indices contains the three element layers of aquatic organisms, hydrologic characteristics and trophic status and the five indicators of ratio of cyanobacteria biomass to diatom biomass (CB/DB), diversity index of macrozoobenthos, lowest water level anomaly during the dry season, mean water level anomaly during rising season and trophic state index (TLI). Then, the thresholds of indicators are determined using empirical study, frequency analysis, standard specification and so on. Aquatic ecosystem health status is categorised into three groups: 'good', `moderate' and 'poor'. The study could provide theoretical basis for identifying the causes of the lake aquatic ecosystem health degeneration and protecting the environment of Poyang Lake. This present study provides an attempt to quantify the aquatic ecosystem health in a large floodplain lake with dramatic hydrological variations and will give some impetus for floodplain ecosystem assessment and management worldwide.",,NA
