EBIOReviewer,Number,AuthorsFull,Title,SourcePublication,Abstract,PublicationDate,PublicationYear,VL,IS,PN,SU,SI,MA,BP,EP,AR,DI,D2,EA,PG,WC,SC,GA,UT,PM,OA,HC,HP,DA
Isabel,595,"Martin, David M.",Ecological restoration should be redefined for the twenty-first century,RESTORATION ECOLOGY,"Forty years ago, ecological restoration was conceptualized through a natural science lens. Today, ecological restoration has evolved into a social and scientific concept. The duality of ecological restoration is acknowledged in guidance documents on the subject but is not apparent in its definition. Current definitions reflect our views about what ecological restoration does but not why we do it. This viewpoint does not give appropriate credit to contributions from social sciences, nor does it provide compelling goals for people with different motivating rationales to engage in or support restoration. In this study, I give a concise history of the conceptualization and definition of ecological restoration, and I propose an alternative definition and corresponding viewpoint on restoration goal-setting to meet twenty-first century scientific and public inquiry.",SEP,2017,,,,,,,,,,,,,,,,,,,,,,
Isabel,596,"Mijangos, Jose L.; Pacioni, Carlo; Spencer, Peter B. S.; Hillyer, Mia; Craig, Michael D.",Characterizing the post-recolonization of Antechinus flavipes and its genetic implications in a production forest landscape,RESTORATION ECOLOGY,"Production landscapes, where activities such as timber harvesting, grazing, and resource extraction take place, have considerably reduced the extent of natural habitats. The ecological restoration of these landscapes is, in many cases, the best remaining option to protect biodiversity. However, it is unclear whether restoration designed to avert biodiversity loss in restored landscapes can also maintain genetic diversity in recolonizing faunal populations. We employed core concepts in the field of population genetics to address questions of genetic diversity and gene flow in recolonizing faunal populations, using a small and vagile marsupial (Antechinus flavipes) inhabiting a mined landscape under restoration. We did not detect a disruption of gene flow that led to genetic substructuring, suggesting adequate levels of gene flow across the landscape. Parameters of neutral genetic diversity were high in groups of individuals sampled in both restored and unmined sites. Our results are encouraging as they indicate that ecological restoration has the potential to not just increase available habitat, but also to maintain genetic diversity. However, there is evidence that past anthropogenic disturbances affected the genetics of the population at the regional level. Although restoration at the local level may seem to be successful, it is necessary to manage populations at larger spatial scales than where restoration is conducted, and over long temporal scales, if genetic diversity is to be maintained in restored landscapes. The field of population genetics is an underused tool in ecological restoration yet can provide important insights into how well restoration achieves its goals.",SEP,2017,,,,,,,,,,,,,,,,,,,,,,
Caitlin,597,"Hagger, Valerie; Dwyer, John; Wilson, Kerrie",What motivates ecological restoration?,RESTORATION ECOLOGY,"Ecological restoration projects are motivated by diverse environmental and social reasons. Motivations likely vary between stakeholders or regions, and influence the approach taken to plan, implement, and monitor restoration projects. We surveyed 307 people involved in the restoration of native vegetation across Australia to identify their underlying motivations. We also elicited information on planning, implementation, and monitoring of restoration projects. We found that biodiversity enhancement is the main motivation for undertaking restoration, with biodiversity offsetting, water quality improvements, and social reasons as important secondary motivations. Motivations varied significantly by stakeholder type and region. Restoration projects primarily motivated by ecosystem service provision (e.g. water quality improvements and social reasons) sought less pristine ecological outcomes than projects motivated by biodiversity enhancement or offsetting. Rigorous monitoring designs (e.g. quantitative, repeatable surveys, and use of performance indicators) were rarely used in restoration projects, except for projects motivated by scientific research. Better alignment of different restoration motivations with the planning and monitoring of restoration projects should deliver greater benefits through setting appropriate objectives and evaluating outcomes against these objectives. These improvements will increase the capacity of the restoration practice to meet international biodiversity commitments and communicate restoration outcomes to stakeholders.",SEP,2017,,,,,,,,,,,,,,,,,,,,,,
Caitlin,598,"Truax, Benoit; Gagnon, Daniel; Lambert, France; Fortier, Julien",Riparian buffer growth and soil nitrate supply are affected by tree species selection and black plastic mulching,ECOLOGICAL ENGINEERING,"Tree species selection in the design of agricultural riparian buffers is important to optimize particular ecosystem services, while vegetation management (weed treatment) is often critical in obtaining first-rate tree growth and survival. This farm-scale study took place along a 1 km section of a headwater stream in southern Quebec (southeastern Canada). Five tree species with contrasted ecological characteristics were planted (Populus x canadensis, Fraxinus pennsylvanica, Quercus macrocarpa, Quercus rubra and Pinus strobus), with black plastic (polyethylene) mulches as the vegetation management method, as well as a control with no vegetation management, all within a fenced herbaceous riparian buffer. Tree growth and survival were measured along with soil nutrient supply. Significant Species x Vegetation treatment interactions where observed for all growth variables (p < 0.001), but also for soil nitrate (NO3) supply (p < 0.01). All species benefited from the plastic mulch treatment, but varied greatly in their responses. After 5 years, mulched hybrid poplar produced 774 times more stem volume than red oak without mulch. Across all species/vegetation treatment combinations, a 13-fold variation in soil NO3 supply rate was observed during the 4th growing season. Compared to the other species, NO3 supply rate in hybrid poplar plots was 3987% lower in the plastic mulch treatment and 4862% lower in the control treatment. Significantly higher soil NO3 supply rates were observed beneath the mulches of non nitrophilous species (white pine and red oak). Red oak growth was negatively correlated with NO3 supply (R-2 = 0.57, p < 0.05) in the mulch treatment. Early-successional nitrophilous species (hybrid poplar and red ash) planted with the plastic mulch led to the lowest increase in soil NO3 and the greatest gains in buffer structural attributes (stem volume, diameter and height). Hybrid poplar growth was positively correlated with soil NO3 supply (R-2 = 0.86, p < 0.001) in the control treatment. Natural abandoned field/grassland invaders (white pine and bur oak) grew well without black plastic mulch, while the growth of non-mulched red oaks was marginal. In the control treatment, stem volume was a strong negative predictor (across all species) of soil NO3 supply (R-2 = 0.91, p < 0.05), indicating that under herbaceous vegetation competition larger trees have a greater ability to reduce soil NO3. This study provides evidence that particular tree species/vegetation management treatment combinations strongly influence early riparian buffer structural development and soil NO3 dynamics in agricultural riparian zones. (C) 2017 The Authors. Published by Elsevier B.V.",SEP,2017,,,,,,,,,,,,,,,,,,,,,,
Caitlin,599,"Masselink, Gerd; Hanley, Mick E.; Halwyn, Anissa C.; Blake, Will; Kingston, Ken; Newton, Thomas; Williams, Mike","Evaluation of salt marsh restoration by means of self-regulating tidal gate - Avon estuary, South Devon, UK",ECOLOGICAL ENGINEERING,"Salt marshes provide important regulating ecosystem services, including natural flood defence and carbon sequestration, which adds value to restoration and biodiversity offsetting schemes. This study evaluates the success of salt marsh restoration using a Regulated Tidal Exchange (RTE) system in SW England, i.e., a self-regulating tidal gate (SRT), in controlling the partial saline inundation of a 14-ha area of former salt marsh reclaimed for agriculture in 1760. A combination of (a) direct hydrodynamic monitoring of water and sediment flux and (b) repeat surveys to evaluate morphological and ecological (plants and foraminifera) changes over a 5-year period, was implemented immediately following SRT commissioning. Morphological changes were limited to the proximity of the SRT system due to limited sediment influx yielding sedimentation rates that were an order of magnitude below a nearby natural marsh. Ecological change to an ephemeral salt marsh community was only detected after 5 years of inundation cycles, with the delayed response attributed to (a) an initial limited tidal inundation due to conservative SRT settings, followed by (b) excessive inundation due to excessive rainfall and recurring SRT failure in an open position, and (c) a lack of sediment and propagule supply caused by (a) & (b) and the relatively narrow inlet pipe used in the SRT system. While the ecological response under optimum SRT settings was encouraging, the lack of perennial plants and limited foraminifera abundance demonstrated that the marsh was far from reaching natural status. We surmise that this is primarily due to inundation being more rapid than drainage leading to excessive submergence during a tidal cycle. Our study shows that the design of tidal inundation schemes requires a synergistic understanding of core ecological and geomorphological approaches to assess viability and success. We conclude that SRT can be a useful technique for intertidal habitat creation where there are significant site constraints (especially flood risk), but we need to be realistic in our expectations of what it can achieve in terms of delivering a perennial salt marsh community. Crown Copyright (C) 2017 Published by Elsevier B.V. All rights reserved.",SEP,2017,,,,,,,,,,,,,,,,,,,,,,
Caitlin,600,"Peters, Vernon S.; Gelderman, Matthew S.; Visscher, Darcy R.",Resiliency in masting systems: Do evolved seed escape strategies benefit an endangered pine?,ECOSPHERE,"Satiation of predispersal seed predators by mast years has been demonstrated in many intact ecosystems. When disease causes mortality of seed-bearing trees in an ecosystem, the abundance of food sources may alter seed predator behavior and abundance, and the ecosystem services derived from mutualistic seed dispersers. We used the endangered limber pine (Pinus flexilis) to examine whether the benefits of interannual variation in cone production vary depending on the severity of white pine blister rust (Cronartium ribicola) infections, the abundance of seed predator populations, and stand characteristics. We compared infection level, cone production, cone predation, and abundance of red squirrels (Tamiasciurus hudsonicus) in 17 stands over two mast years and two nonmast years. Stands were selected from a southern and northern ecosystem within Alberta's montane ecoregion, with varying forest composition and history of blister rust infection. Considerable variability in interannual cone production, and proportionately greater cone escape (those remaining in stands) in the 2010 mast year led to 10 times greater cone escape overall in the mast year than in nonmast years. Model selection using Akaike's information criterion (AIC) suggests that both cone escape and proportion cone escape from seed predators depended primarily on temporal variability in cone production among mast vs. nonmast years, basal area of canopy trees within stands, squirrel abundance, and ecosystem differences. Several two-way and three-way interactions between masting, ecosystems, and predator abundance were selected by AIC for inclusion into the best model of the a priori candidate set for both the cone escape model and proportion cone escape model. Our study suggests that masting confers temporal resiliency in seed escape in declining limber pine ecosystems, even under varying disease and seed predator threats. These findings also suggest that evolved seed escape strategies may be resilient to a variety of ecological conditions, including low reproductive capacity. Nonetheless, proximate ecological conditions may determine the fate of declining species, as predator behavior differed between ecosystems, and greater net cone escape in favorable stands may be necessary to attract mutualistic seed dispersers.",SEP,2017,,,,,,,,,,,,,,,,,,,,,,
Caitlin,601,"Cardelus, Catherine L.; Scull, Peter; Eshete, Alemayehu Wassie; Woods, Carrie L.; Klepeis, Peter; Kent, Eliza; Orlowska, Izabela",Shadow conservation and the persistence of sacred church forests in northern Ethiopia,BIOTROPICA,"Land-use change threatens biodiversity and ecosystem function worldwide. These changes have impacts on weather patterns, carbon storage, biodiversity, and other ecosystem services from regional to local scales. Only 8 percent of tropical forests are formally recognized as conservation areas, however globally, there is a network of sites that are protected because they are sacred and as a result act as shadow' conservation for biodiversity. Unlike other types of protected sites (e.g., national parks), these sites are seats of religious ritual that anchor a community's cultural identity, while also conserving biological diversity and other ecosystem services. We studied the extent and status of sacred forests in northern Ethiopia, which are threatened because of their small size (similar to 5ha) and isolation, increasing their exposure to edge effects and human pressures. Using historical and modern imagery, we found that over the last 50yr, sacred forests have increased in area, but decreased in crown closure. We also found that forest ecological status, via ground-level investigation, had high mean human disturbance (e.g., trails, plantations, exotic planting; 37%); and that forests close to markets (e.g., cities) increased in area due to planting of Eucalyptus (exotic), indicating a potential threat to their persistence and value as shelters of the church.",SEP,2017,,,,,,,,,,,,,,,,,,,,,,
Caitlin,602,"Garratt, Michael P. D.; Senapathi, Deepa; Coston, Duncan J.; Mortimer, Simon R.; Potts, Simon G.",The benefits of hedgerows for pollinators and natural enemies depends on hedge quality and landscape context,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,"Ecological intensification advocates the harnessing of regulating and supporting ecosystem services to promote more sustainable food production, and this relies on effective management of non-cropped habitats. Hedgerows are an important component of the landscape in many farming systems across the world, management of which provides a potential mechanism to enhance ecological intensification. Here we investigate the value of hedgerows in Southern England as a source of functionally important taxa, and how hedgerow quality and local landscape composition impact on their potential contribution to sustainable agriculture in arable landscapes. We show that hedgerows are a source habitat for many natural enemies which spill over into neighbouring fields, and that hedgerows provide a valuable forage resource and corridor for movement of pollinators. Hedgerow quality affects these benefits and continuous unbroken hedgerows, with a high diversity of woody species, are more valuable for the provision of bumblebees and Linyphiid spiders, while the presence of trees within the hedgerow supports Lycosid spiders. Floral resources, beyond the woody hedgerow species themselves, are also a key forage resource for hoverflies. The impact of these hedgerows on invertebrate abundance is moderated by local landscape, and hedgerows are a more valuable forage resource for pollinators in more intensely managed landscapes. Our study shows that in order to support abundant and a broad range of natural enemies and pollinators in agricultural landscapes, both hedgerows and local semi-natural habitats need to be protected and managed. The benefit of hedgerows, as a habitat for functionally important taxa depends on hedgerow quality and management practices such as avoiding gaps, high hedge species diversity and maintaining an abundant understory of plants, can improve their value for ecological intensification.",1-sep,2017,,,,,,,,,,,,,,,,,,,,,,
Caitlin,603,"Tougeron, Kevin; Abram, Paul K.",An Ecological Perspective on Sleep Disruption,AMERICAN NATURALIST,"Despite its evolutionary importance and apparent ubiquity among animals, the ecological significance of sleep is largely unresolved. The ecology of sleep has been particularly neglected in invertebrates. In insects, recent neurobehavioral research convincingly demonstrates that resting behavior shares several common characteristics with sleep in vertebrates. Laboratory studies have produced compelling evidence that sleep disruption can cause changes in insect daily activity patterns (via sleep rebound) and have consequences for behavioral performance during active periods. However, factors that could cause insect sleep disruption in nature have not been considered nor have the ecological consequences. Drawing on evidence from laboratory studies, we argue that sleep disruption may be an overlooked component of insect ecology and could be caused by a variety of anthropogenic and nonanthropogenic factors in nature. We identify several candidate sleep-disrupting factors and provide new insights on the potential consequences of sleep disruption on individual fitness, species interactions, and ecosystem services. We propose an experimental framework to bridge the current gap in knowledge between laboratory and field studies. We conclude that sleep disruption is a potential mechanism underpinning variation in behavioral, population, and community-level processes associated with several aspects of global change.",SEP,2017,,,,,,,,,,,,,,,,,,,,,,
Caitlin,604,"Audino, Livia D.; Murphy, Stephen J.; Zambaldi, Ludimila; Louzada, Julio; Comita, Liza S.","Drivers of community assembly in tropical forest restoration sites: role of local environment, landscape, and space",ECOLOGICAL APPLICATIONS,"There is increasing recognition that community assembly theory can offer valuable insights for ecological restoration. We studied community assembly processes following tropical forest restoration efforts, using dung beetles (Scarabaeinae) as a focal taxon to investigate taxonomic and functional patterns of biodiversity recovery. We evaluated the relative importance of the local environment (i.e., canopy cover, understory cover, tree basal area, and soil texture), landscape context (i.e., habitat patch proximity and availability and percentage of surrounding area classified as natural forest or Eucalyptus spp. plantation), and space (i.e., spatial proximity of the study areas to estimate dispersal limitation or unmeasured spatially structured processes) on dung beetle species and functional trait composition across a gradient of 15 restoration sites in Brazilian Atlantic Forest. We also assessed which factors were the primary determinants in the establishment of individual dung beetle functional groups, classified according to size, food relocation habit, diet, and period of flight activity. Both species and functional trait composition were most strongly influenced by the local environment, indicating that assembly was predominantly driven by niche-based processes. Most of the variation explained by space was co-explained by local environment and landscape context, ruling out a strong influence of dispersal limitation and random colonization on assembly following restoration. In addition, nearly all of the variance explained by landscape context was co-explained by local environment, suggesting that arrival and establishment at a site depends on both local and landscape-scale environmental factors. Despite strong evidence for niche-based assembly, a large amount of variation remained unexplained in all models, suggesting that stochastic processes and/or unmeasured environmental variables also play an important role. The relative importance of local environment, landscape context, and space changed considerably when analyzing the assembly mechanisms of each functional group separately. Therefore, to recover distinct functional traits in restoration sites, it may be necessary to manipulate different components of the local environment and surrounding landscape. Overall, this study shows that assembly rules can help to better understand recovery processes, enabling improvement of future restoration efforts.",SEP,2017,,,,,,,,,,,,,,,,,,,,,,
Caitlin,605,"Rositano, Florencia; Pineiro, Gervasio; Bert, Federico E.; Ferraro, Diego O.",A comparison of two sensitivity analysis techniques based on four bayesian models representing ecosystem services provision in the Argentine Pampas,ECOLOGICAL INFORMATICS,"Sensitivity analyses (SAs) identify how an output variable of a model is modified by changes in the input variables. These analyses are a good way for assessing the performance of probabilistic models, like Bayesian Networks (BN). However, there are several commonly used SAs in BN literature, and formal comparisons about their outcomes are scarce. We used four previously developed BNs which represent ecosystem services provision in Pampean agroecosystems (Argentina) in order to test two local sensitivity approaches widely used. These SAs were: 1) One-at-a-time, used in BNs but more commonly in linear modelling; and 2) Sensitivity to findings, specific to BN modelling. Results showed that both analyses provided an adequate overview of BN behaviour. Furthermore, analyses produced a similar influence ranking of input variables over each output variable. Even though their interchangeably application could be an alternative in our bayesian models, we believe that OAT is the suitable one to implement here because of its capacity to demonstrate the relation (positive or negative) between input and output variables. In summary, we provided insights about two sensitivity techniques in BNs based on a case study which may be useful for ecological modellers.",SEP,2017,,,,,,,,,,,,,,,,,,,,,,
Caitlin,606,"Farinha-Marques, Paulo; Fernandes, Claudia; Guilherme, Filipa; Lameiras, Jose M.; Alves, Paulo; Bunce, Robert G. H.",Urban Habitats Biodiversity Assessment (UrHBA): a standardized procedure for recording biodiversity and its spatial distribution in urban environments,LANDSCAPE ECOLOGY,"Context Urban areas are traditionally overlooked by ecologists, but contain a wide range of biodiversity. The existing procedures for consistent recording of habitats and biodiversity are not sufficient to adequately describe urban environments in a fine scale. Objectives A method is required to provide information on biodiversity and its spatial distribution in urban areas, for scientific objectives and urbanplanning. A standardized procedure is presented for the classification and mapping of urban habitats, termed Urban Habitats Biodiversity Assessment (UrHBA), designed to capture the fine detail of urban ecosystems and provide spatial data suitable for analysis and communication. Methods Urban Habitat Categories (UHCs) have been developed based on plant life forms, and adapted to the requirements of urban areas; new Non-Life Form categories are used to define Artificial Built Elements. Site Descriptors, Vegetation Layers and species are used to add further detail. Guidelines are provided for the mapping process, with site visits being used to elaborate the initial interpretation of remote sensed images. Data are recorded on standard forms which are linked to the mapped units. Results Examples of the procedure are included for a park in Porto, Portugal. Because the units are defined according to consistent rules, sites can be repeatedly surveyed to monitor change. Conclusions The proposed methodology can be expressed in spatial formats and designed to inform urban planning processes and decisions regarding the conservation of green spaces and biodiversity. As the categories transcend species, the method is applicable in a wide range of urban areas.",SEP,2017,,,,,,,,,,,,,,,,,,,,,,
Caitlin,607,"Grafius, Darren R.; Corstanje, Ron; Siriwardena, Gavin M.; Plummer, Kate E.; Harris, Jim A.",A bird's eye view: using circuit theory to study urban landscape connectivity for birds,LANDSCAPE ECOLOGY,"Context Connectivity is fundamental to understanding how landscape form influences ecological function. However, uncertainties persist due to the difficulty and expense of gathering empirical data to drive or to validate connectivity models, especially in urban areas, where relationships are multifaceted and the habitat matrix cannot be considered to be binary. Objectives This research used circuit theory to model urban bird flows (i.e. 'current'), and compared results to observed abundance. The aims were to explore the ability of this approach to predict wildlife flows and to test relationships between modelled connectivity and variation in abundance. Methods Circuitscape was used to model functional connectivity in Bedford, Luton/Dunstable, and Milton Keynes, UK, for great tits (Parus major) and blue tits (Cyanistes caeruleus), drawing parameters from published studies of woodland bird flows in urban environments. Model performance was then tested against observed abundance data. Results Modelled current showed a weak yet positive agreement with combined abundance for P. major and C. caeruleus. Weaker correlations were found for other woodland species, suggesting the approach may be expandable if re-parameterised. Conclusions Trees provide suitable habitat for urban woodland bird species, but their location in large, contiguous patches and corridors along barriers also facilitates connectivity networks throughout the urban matrix. Urban connectivity studies are well-served by the advantages of circuit theory approaches, and benefit from the empirical study of wildlife flows in these landscapes to parameterise this type of modelling more explicitly. Such results can prove informative and beneficial in designing urban green space and new developments.",SEP,2017,,,,,,,,,,,,,,,,,,,,,,
Caitlin,608,"Libran-Embid, Felipe; De Coster, Greet; Metzger, Jean Paul",Effects of bird and bat exclusion on coffee pest control at multiple spatial scales,LANDSCAPE ECOLOGY,"Context Despite the key role of biological control in agricultural landscapes, we still poorly understand how landscape structure modulates pest control at different spatial scales. Objectives Here we take an experimental approach to explore whether bird and bat exclusion affects pest control in sun coffee plantations, and whether this service is consistent at different spatial scales. Methods We experimentally excluded flying vertebrates from coffee plants in 32 sites in the Brazilian Atlantic Forest, encompassing a gradient of forest cover at landscape (2 km radius) and local (300 m) spatial scales, and quantified coffee leaf loss, as an indicator of herbivory, and fruit set. Results Leaf loss decreased with higher landscape forest cover, but this relation was significantly different between treatment and control plants depending on local forest cover. On the other hand, fruit set responded to the interaction between treatment and local forest cover but was not affected by landscape forest cover. More specifically, fruit set increased significantly with local forest cover in exclusion treatments and showed a non-significant decrease in open controls. Conclusions These results suggest that services provided by flying vertebrates are modulated by processes occurring at different spatial scales. We posit that in areas with high local forest cover flying vertebrates may establish negative interactions with predaceous arthropods (i.e. intraguild predation), but this would not be the case in areas with low local forest cover. We highlight the importance of employing a multi-scale analysis in systems where multiple species, which perceive the landscape differently, are providing ecosystem services.",SEP,2017,,,,,,,,,,,,,,,,,,,,,,
Caitlin,609,"Tamburini, Giovanni; Lami, Francesco; Marini, Lorenzo",Pollination benefits are maximized at intermediate nutrient levels,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"Yield production in flowering crops depends on both nutrient availability and pollination, but their relative roles and potential interactions are poorly understood. We measured pollination benefits to yield in sunflower, combining a gradient in insect pollination (0, 25, 50, 100%) with a continuous gradient in nitrogen (N) fertilization (from 0 to 150 kg N ha(-1)) in an experiment under realistic soil field conditions. We found that pollination benefits to yield were maximized at intermediate levels of N availability, bolstering yield by approximately 25% compared with complete pollinator exclusion. Interestingly, we found little decrease in yield when insect visits were reduced by 50%, indicating that the incremental contribution of pollination by insects to yield is greater when the baseline pollination service provision is very low. Our findings provide strong evidence for interactive, nonlinear effects of pollination and resource availability on seed production. Our results support ecological intensification as a promising strategy for sustainable management of agroecosystems. In particular, we found optimal level of pollination to potentially compensate for lower N applications.",16-ago,2017,,,,,,,,,,,,,,,,,,,,,,
Caitlin,610,"Powers, Sean P.; Rouhani, Shahrokh; Baker, Mary C.; Roman, Henry; Grabowski, Jonathan H.; Scyphers, Steven B.; Willis, Jonathan M.; Hester, Mark W.",Ecosystem services are lost when facilitation between two ecosystem engineers is compromised by oil,MARINE ECOLOGY PROGRESS SERIES,"Nearshore marine ecosystems are among the most productive areas in the world. Unfortunately, these areas also receive pollutants released into oceanic and riverine waters. Six years following the Deepwater Horizon oil spill, the largest in US history, the complexity of ecological injuries in this system is just now being elucidated. Here, we describe a novel pathway of injury from oil spills by documenting how the loss of oysters near marsh edge as a direct result of shoreline oiling and clean-up activities can double rates of coastal erosion. As part of the natural resource damage assessment, we examined the impact of shoreline oiling on eastern oysters Crassostrea virginica near the marsh edge at 187 sites in Louisiana and Mississippi Sound in 2013. For marshes that experienced heavy oiling, oyster habitat was 77% less abundant than in areas where no oil was observed. Areas near marshes characterized by more moderate levels of oiling had 33% less oyster habitat than areas where no oil was observed. Similarly, the number of sites without any oyster habitat was higher in heavily and persistently oiled areas compared to areas where no oil was observed (56 vs. 24%). The consequences of this loss are substantial and include loss of essential fish habitat, reduced nutrient cycling, and decreased erosion buffering. For a subset of the sites where erosion rate was also measured between 2010 and 2013 (n = 79), shoreline loss was more than twice as high (2.1 vs. 0.9 m yr(-1)) in areas lacking oyster cover. Our findings provide evidence that loss of nearshore oyster habitat can disrupt the strong facilitation between oysters and marsh vegetation.",3-ago,2017,,,,,,,,,,,,,,,,,,,,,,
Caitlin,611,"Dennis, Matthew; James, Philip",Ecosystem services of collectively managed urban gardens: Exploring factors affecting synergies and trade-offs at the site level,ECOSYSTEM SERVICES,"Collective management of urban green space is being acknowledged and promoted. The need to understand productivity and potential trade-offs between co-occurring ecosystem services arising from collectively managed pockets of green space is pivotal to the design and promotion of both productive urban areas and effective stakeholder participation in their management. Quantitative assessments of ecosystem service production were obtained from detailed site surveys at ten examples of collectively managed urban gardens in Greater Manchester, UK. Correlation analyses demonstrated high levels of synergy between ecological (biodiversity) and social (learning and well-being) benefits related to such spaces. Trade-offs were highly mediated by site size and design, resulting in a tension between increasing site area and the co-management of ecosystem services. By highlighting synergies, trade-offs and the significance of site area, the results offer insight into the spatially sensitive nature of ecosystem services arising from multi-functional collectively managed urban gardens. (C) 2017 Elsevier B.V. All rights reserved.",AUG,2017,,,,,,,,,,,,,,,,,,,,,,
Caitlin,612,"Olander, Lydia; Polasky, Stephen; Kagan, James S.; Johnston, Robert J.; Wainger, Lisa; Saah, David; Maguire, Lynn; Boyd, James; Yoskowitz, David",So you want your research to be relevant? Building the bridge between ecosystem services research and practice,ECOSYSTEM SERVICES,"There is growing demand for information regarding the impacts of decisions on ecosystem services and human benefits. Despite the large and growing quantity of published ecosystem services research, there remains a substantial gap between this research and the information required to support decisions. Research often provides models and tools that do not fully link social and ecological systems; are too complex, specialized, and costly to use; and are targeted to outcomes that differ from those needed by decision makers. Decision makers require cost-effective, straightforward, transferable, scalable, meaningful, and defensible methods that can be readily understood. We provide illustrative examples of these gaps between research and practice and describe how researchers can make their work relevant to decision makers by using Benefit Relevant Indicators ( BRIs) and choosing models appropriate for particular decision contexts. We use examples primarily from the United States, including cases that illustrate varying degrees of success in closing these gaps. We include a discussion of the challenges and opportunities researchers face in adapting their work to meet the needs of practitioners. (C) 2017 Elsevier B.V. All rights reserved.",AUG,2017,,,,,,,,,,,,,,,,,,,,,,
Caitlin,613,"Pappalardo, Viviana; La Rosa, Daniele; Campisano, Alberto; La Greca, Paolo",The potential of green infrastructure application in urban runoff control for land use planning: A preliminary evaluation from a southern Italy case study,ECOSYSTEM SERVICES,"Among the approaches for run-off regulation, green infrastructure is identified as non-traditional measure to compensate the effects of soil sealing generated from urban development. It is recognized as a way to increase the provision of urban ecosystem services and is increasingly being used in research and practice on storm-water management through Sustainable Urban Drainage Systems (SUDS). The adoption of SUDS in urban planning might protect hydrological and ecological dimensions of landscapes while providing resilient options to face flood risk management. This paper shows the assessment of SUDS potential to increase the regulating service capacity in a dense urban catchment in southern Italy. A comparison between scenarios of pre-implementation and post-implementation of SUDS is performed through catchment simulations with a hydraulic model. Results showed different effectiveness of SUDS options, in terms of variations of the indicator chosen as proxy of the regulating service capacity. Results showed a better performance obtained by green roofs than permeable pavements, highlighting a limited capacity of run-off regulation achieved with SUDS deployment in public areas only. This suggests that innovative policies to encourage private land owners to adopt measures of SUDS could be fundamental for the retrofitting of urban settlements.",AUG,2017,,,,,,,,,,,,,,,,,,,,,,
Caitlin,614,"Mukul, Sharif A.; Sohel, Md. Shawkat I.; Herbohn, John; Inostroza, Luis; Koenig, Hannes",Integrating ecosystem services supply potential from future land-use scenarios in protected area management: A Bangladesh case study,ECOSYSTEM SERVICES,"The establishment of protected areas (PAs) is a key strategy to conserve declining forests and biodiversity worldwide. Due to poor infrastructure and a limited capacity of PA managers, most of the PAs in developing countries fail to achieve their management targets. In this paper, the potential to integrate ecosystem services (ES) into land-use planning was assessed in order to better manage PAs in tropical countries. Firstly, we mapped the relative capacity of different land-use/land cover (LULC) to supply ES in and around the Satchari National Park (SNP) located in northeast Bangladesh. Two alternative scenarios to envisage the likely future supply of ES in the area were then analysed. The study reveals a relatively higher supply of supporting ES from LULC located inside the park compared to the ES supplied from surrounding forests, tea gardens, and oil palm and rubber plantations. Provisioning ES were greater in surrounding forests than from SNP. Both regulating and cultural ES were also higher in LULC within the park. Spatially explicit ES supply assessment and mapping was found to be useful for land use planning and the prioritization of future management actions. Based on our findings, we suggest that PA managers should consider the ES framework as an effective tool for the future-oriented PAs management. (c) 2017 Elsevier B.V. All rights reserved.",AUG,2017,,,,,,,,,,,,,,,,,,,,,,
Caitlin,615,"Pascua, Pua'ala; McMillen, Heather; Ticktin, Tamara; Vaughan, Mehana; Winter, Kawika B.","Beyond services: A process and framework to incorporate cultural, genealogical, place-based, and indigenous relationships in ecosystem service assessments",ECOSYSTEM SERVICES,"Cultural ecosystem services (CES) - the non-material benefits realized through human-environmental interactions-contribute to ecosystem service assessments by revealing key social dimensions in natural resource management. Yet there is limited understanding of how CES are experienced by individuals with strong generational and genealogical ties to land. Consequently place-based CES are frequently absent from management policies. We use a case study from Hawai'i to: 1) outline a process of eliciting place-based and indigenous CES; 2) develop a Hawai'i-based CES framework that is adaptable to other place-based communities; 3) demonstrate how place-based CES compare/contrast with standard CES; and 4) discuss how this process can enhance resource management and land-use planning. Through interdisciplinary methods drawing on multiple years of research and workshops in two rural Hawai'i communities, we highlight concepts not well captured in the existing CES literature including reciprocal relationships between people and place, sense of security, traditional values, and cultural subsistence. Our framework presents CES from a Hawaiian place-based/indigenous point of view by highlighting four main categories: 'Ike (Knowledge), Maria (Spiritual Landscapes), Pilina Kanaka (Social Interactions), and Ola Mau (Physical and Mental Wellbeing). Ultimately, this research provides a methodology to engage place-based communities when identifying CES in ecosystem service assessments. (c) 2017 Elsevier B.V. All rights reserved.",AUG,2017,,,,,,,,,,,,,,,,,,,,,,
