ResponseId,Init,Title,id,sameanswer,answer,clean_answer,final_answer,review_notes,fullquestion,abbr,Group,clean_group,qnum,ES,survey_order,qa_note,rev1init,rev2init,revorder
R_3QXJSMkNbmrftx5,TK,Using citizen scientists to measure an ecosystem service nationwide,Q25.1_8_1,TRUE,dung decomposition,dung decomposition,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Formation, protection, and decontamination of soils and sediments [e.g deco... - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control] - Response 1: Separate by commas",Response,,,Q12,SoilProtect,73,,LD,TK,2
R_32486uJXjAWzR26,LD,Using citizen scientists to measure an ecosystem service nationwide,Q25.2_8,FALSE,Other,Other,,,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,Env,Env,Q12,SoilProtect,98,,LD,TK,1
R_3QXJSMkNbmrftx5,TK,Using citizen scientists to measure an ecosystem service nationwide,Q25.2_8,FALSE,,,,,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,Env,,Q12,SoilProtect,98,,LD,TK,2
R_32486uJXjAWzR26,LD,Using citizen scientists to measure an ecosystem service nationwide,Q25.4_8,TRUE,Service Provider (Q17),Other,,,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,Bio,Bio,Q12,SoilProtect,130,Appended 'Other' to Driver (Other driver entered but 'Other' not checked),LD,TK,1
R_32486uJXjAWzR26,LD,Using citizen scientists to measure an ecosystem service nationwide,Q25.4_8,TRUE,Service Provider (Q17),Service Provider (Q17),,,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,Bio,Bio,Q12,SoilProtect,130,,LD,TK,1
R_3QXJSMkNbmrftx5,TK,Using citizen scientists to measure an ecosystem service nationwide,Q25.4_8,TRUE,Service Provider (Q17),Service Provider (Q17),,,"Q12: Which Ecosystem Services were considered?  - Biotic Driver - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Driver,Bio,Bio,Q12,SoilProtect,130,,LD,TK,2
R_32486uJXjAWzR26,LD,Using citizen scientists to measure an ecosystem service nationwide,Q25.5_8,FALSE,Proxy for ES,Proxy for ES,,,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Yclass,,,Q12,SoilProtect,146,,LD,TK,1
R_3QXJSMkNbmrftx5,TK,Using citizen scientists to measure an ecosystem service nationwide,Q25.5_8,FALSE,ES,ES,,,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",Yclass,,,Q12,SoilProtect,146,,LD,TK,2
R_32486uJXjAWzR26,LD,Using citizen scientists to measure an ecosystem service nationwide,Q25.8_8,TRUE,+,+,,,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",EffectDirect,Bio,,Q12,SoilProtect,194,,LD,TK,1
R_3QXJSMkNbmrftx5,TK,Using citizen scientists to measure an ecosystem service nationwide,Q25.8_8,TRUE,+,+,,,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]",EffectDirect,Bio,,Q12,SoilProtect,194,,LD,TK,2
R_32486uJXjAWzR26,LD,Using citizen scientists to measure an ecosystem service nationwide,Q17,FALSE,rainfall,rainfall,,,List Other Environmental Driver from Q12 (sep. with commas),OtherDriver,Env,Env,Q12,SoilProtect,203,Infilled ES from Driver where 'Other' specified,LD,TK,1
R_3QXJSMkNbmrftx5,TK,Using citizen scientists to measure an ecosystem service nationwide,Q17,FALSE,,,,,List Other Environmental Driver from Q12 (sep. with commas),OtherDriver,Env,,Q12,,203,,LD,TK,2
R_32486uJXjAWzR26,LD,Using citizen scientists to measure an ecosystem service nationwide,Q26,FALSE,"Aphodius beetles, earthworms",Aphodius beetles,,,List Other Biotic Driver from Q12 (sep. with commas),OtherDriver,Bio,Bio,Q12,SoilProtect,205,Infilled ES from Driver where 'Other' specified,LD,TK,1
R_32486uJXjAWzR26,LD,Using citizen scientists to measure an ecosystem service nationwide,Q26,FALSE,"Aphodius beetles, earthworms",earthworms,,,List Other Biotic Driver from Q12 (sep. with commas),OtherDriver,Bio,Bio,Q12,SoilProtect,205,Infilled ES from Driver where 'Other' specified,LD,TK,1
R_3QXJSMkNbmrftx5,TK,Using citizen scientists to measure an ecosystem service nationwide,Q26,FALSE,,,,,List Other Biotic Driver from Q12 (sep. with commas),OtherDriver,Bio,,Q12,,205,,LD,TK,2
R_32486uJXjAWzR26,LD,Using citizen scientists to measure an ecosystem service nationwide,Q18,FALSE,Kremen Topic 1 : ESPs,"Kremen Topic 1 : ESPs,Kremen Topic 3 : Environmental factors that influence provision (env. drivers not including human drivers),Kremen Topic 4 : Scale",,,Q13: Which of Kremen's Topics does this paper address?,KremenTopics,,,Q13,,206,Added KT3 based on environmental driver and no KT3 checked; appended KT 4:Scale (has multi time or spatial scale but KT 4 not checked),LD,TK,1
R_3QXJSMkNbmrftx5,TK,Using citizen scientists to measure an ecosystem service nationwide,Q18,FALSE,"Kremen Topic 1 : ESPs,Kremen Topic 2 : Community structure influencing function,Kremen Topic 3 : Environmental factors that influence provision (env. drivers, not including human drivers))","Kremen Topic 1 : ESPs,Kremen Topic 2 : Community structure influencing function,Kremen Topic 4 : Scale",,,Q13: Which of Kremen's Topics does this paper address?,KremenTopics,,,Q13,,206,Removed KT3 based on lack of environmental driver; appended KT 4:Scale (has multi time or spatial scale but KT 4 not checked),LD,TK,2
R_32486uJXjAWzR26,LD,Using citizen scientists to measure an ecosystem service nationwide,Q19,FALSE,"Multiple ESP species [e.g., multiple focal ESP species]","Multiple ESP species [e.g., multiple focal ESP species]",,,"Q14: If the study incorporates a 'Service Provider', which service provider(s) does it utilize?",ESP_type,,,Q14,,207,,LD,TK,1
R_3QXJSMkNbmrftx5,TK,Using citizen scientists to measure an ecosystem service nationwide,Q19,FALSE,"Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]","Multiple ESP species [e.g., multiple focal ESP species],Across species  [e.g. community structure, diversity]",,,"Q14: If the study incorporates a 'Service Provider', which service provider(s) does it utilize?",ESP_type,,,Q14,,207,,LD,TK,2
R_1JUR42uFvFRgJC8,LD,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q7,FALSE,"Yes (e.g., a site sampled multiple points in time, a model with dynamics)","Yes (e.g., a site sampled multiple points in time, a model with dynamics)",,,Q7: Does the study quantify trends over time?,TimeTrends,,,Q7,,29,,LD,TK,1
R_1Ii1tA7vhIY11FI,TK,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q7,FALSE,No,No,,,Q7: Does the study quantify trends over time?,TimeTrends,,,Q7,,29,,LD,TK,2
R_1JUR42uFvFRgJC8,LD,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q8,FALSE,2–5 years,2–5 years,,,Q7b: How many years of data were used for the study?,YrsData,,,Q7,,30,,LD,TK,1
R_1Ii1tA7vhIY11FI,TK,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q8,FALSE,,,,,Q7b: How many years of data were used for the study?,YrsData,,,Q7,,30,,LD,TK,2
R_1JUR42uFvFRgJC8,LD,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q25.1_3_1,FALSE,nitrous oxide emission,nitrous oxide emission,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (N... - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants] - Response 1: Separate by commas",Response,,,Q12,AQReg,63,,LD,TK,1
R_1Ii1tA7vhIY11FI,TK,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q25.1_3_1,FALSE,Nitrous oxide emissions,Nitrous oxide emissions,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (N... - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants] - Response 1: Separate by commas",Response,,,Q12,AQReg,63,,LD,TK,2
R_1JUR42uFvFRgJC8,LD,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q25.1_7_1,FALSE,denitrification,denitrification,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of freshwater and coastal water quality [e.g. filtration of part... - Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals] - Response 1: Separate by commas",Response,,,Q12,coastWQReg,71,,LD,TK,1
R_1Ii1tA7vhIY11FI,TK,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q25.1_7_1,FALSE,,,,,"Q12: Which Ecosystem Services were considered?  - Write in the response variable used to approx. ES, or EF proxy - Regulation of freshwater and coastal water quality [e.g. filtration of part... - Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals] - Response 1: Separate by commas",Response,,,Q12,coastWQReg,71,,LD,TK,2
R_1JUR42uFvFRgJC8,LD,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q25.2_3,TRUE,Other,Other,,,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",Driver,Env,Env,Q12,AQReg,93,,LD,TK,1
R_1Ii1tA7vhIY11FI,TK,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q25.2_3,TRUE,Other,Other,,,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",Driver,Env,Env,Q12,AQReg,93,,LD,TK,2
R_1JUR42uFvFRgJC8,LD,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q25.2_7,FALSE,Other,Other,,,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Driver,Env,Env,Q12,coastWQReg,97,,LD,TK,1
R_1Ii1tA7vhIY11FI,TK,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q25.2_7,FALSE,,,,,"Q12: Which Ecosystem Services were considered?  - Environmental Driver - Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Driver,Env,,Q12,coastWQReg,97,,LD,TK,2
R_1JUR42uFvFRgJC8,LD,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q25.5_3,FALSE,Proxy for ES,Proxy for ES,,,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",Yclass,,,Q12,AQReg,141,,LD,TK,1
R_1Ii1tA7vhIY11FI,TK,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q25.5_3,FALSE,EF,EF,,,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",Yclass,,,Q12,AQReg,141,,LD,TK,2
R_1JUR42uFvFRgJC8,LD,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q25.5_7,FALSE,EF,EF,,,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Yclass,,,Q12,coastWQReg,145,,LD,TK,1
R_1Ii1tA7vhIY11FI,TK,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q25.5_7,FALSE,,,,,"Q12: Which Ecosystem Services were considered?  - Paper reported Response 1 as: - Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]",Yclass,,,Q12,coastWQReg,145,,LD,TK,2
R_1JUR42uFvFRgJC8,LD,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q25.6_3,FALSE,,,,,"Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",EffectDirect,Env,,Q12,AQReg,157,,LD,TK,1
R_1Ii1tA7vhIY11FI,TK,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q25.6_3,FALSE,+,+,,,"Q12: Which Ecosystem Services were considered?  - Direction of Environmental Driver Relationship - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]",EffectDirect,Env,,Q12,AQReg,157,,LD,TK,2
R_1JUR42uFvFRgJC8,LD,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q17,TRUE,pH,pH,,,List Other Environmental Driver from Q12 (sep. with commas),OtherDriver,Env,Env,Q12,AQReg,203,Infilled ES from Driver where 'Other' specified,LD,TK,1
R_1JUR42uFvFRgJC8,LD,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q17,TRUE,pH,pH,,,List Other Environmental Driver from Q12 (sep. with commas),OtherDriver,Env,Env,Q12,coastWQReg,203,Infilled ES from Driver where 'Other' specified,LD,TK,1
R_1Ii1tA7vhIY11FI,TK,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q17,TRUE,pH,pH,,,List Other Environmental Driver from Q12 (sep. with commas),OtherDriver,Env,Env,Q12,AQReg,203,Infilled ES from Driver where 'Other' specified,LD,TK,2
R_1JUR42uFvFRgJC8,LD,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q18,FALSE,"Kremen Topic 3 : Environmental factors that influence provision (env. drivers, not including human drivers))","Kremen Topic 3 : Environmental factors that influence provision (env. drivers not including human drivers),Kremen Topic 4 : Scale",,,Q13: Which of Kremen's Topics does this paper address?,KremenTopics,,,Q13,,206,Appended KT 4:Scale (has multi time or spatial scale but KT 4 not checked),LD,TK,1
R_1Ii1tA7vhIY11FI,TK,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q18,FALSE,"Kremen Topic 3 : Environmental factors that influence provision (env. drivers, not including human drivers))",Kremen Topic 3 : Environmental factors that influence provision (env. drivers not including human drivers),,,Q13: Which of Kremen's Topics does this paper address?,KremenTopics,,,Q13,,206,,LD,TK,2
R_1JUR42uFvFRgJC8,LD,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q22,FALSE,No,No,,,Q16: Are there explicit discussions of thresholds required for the provisioning of the ES discussed?,Thresholds,,,Q16,,210,,LD,TK,1
R_1Ii1tA7vhIY11FI,TK,Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations,Q22,FALSE,Yes,Yes,,,Q16: Are there explicit discussions of thresholds required for the provisioning of the ES discussed?,Thresholds,,,Q16,,210,,LD,TK,2
