"","Title","MultiScale","scales","KT4_scale","nothing_entered","ScaleNotes","GenInfo","Init","methods_used","if_other_notes","gen_methods_notes"
"84","Restoration of ecosystem carbon and nitrogen storage and microbial biomass after grazing exclusion in semi-arid grasslands of Inner Mongolia","No","25m","0","","Not sure how many plots - egetation measurements and soil sampling were carried out in August 2011, which is a typical period of peak aboveground biomass. In each plot, 5 sampling subplots (1m 1m) were established at a 15-m interval along a random transect. Within each subplot, the aboveground biomass and surface litter were harvested and collected separately. After the litter layer was removed, the belowground biomass was sampled from 5 sampling points down to a depth of 30 cm in the main rooting zone using a soil auger (5 cm in diameter) in each subplot. Soil samples were collected using a soil sampler (4 cm diameter) from 4 depths: 0–10, 10–20, 20–30 and 30–40 cm. A composite soil sample was obtained for each depth using the soil collected at 3 sampling points in each subplot. Therefore, within each experimental plot, 5 composite soil samples were collected for each soil depth, yielding a total of 120 composite soil samples for all plots and depth","In this study, the C and N storages in different parts of the plant– soil system, the concentrations of soil MBC and MBN, and the relationships between soil organic matter and microbial biomass were compared between three fenced sites and the paired adjacent grazed sites in the Hulunbuir grassland of Inner Mongolia. This study tested the hypothesis that grazing exclusion could enhance ecosystem C and N storage, soil microbial biomass, and that soil microbial biomass could be an indicator of the soil C and N dynamics induced by grazing exclusion. The specific objectives of this study were to (1) investigate the effects of grazing exclusion on the C and N storages in soil and ecosystem biomass, and soil MBC and MBN; (2) evaluate the potential relationships between soil organic matter and microbial biomass. These results suggest that grazing exclusion has the potential to sequester C and N in soils, but short- term (6 years) grazing exclusion might result in a higher C and N sequestration potential in the ","LD","Experimental",NA,"In this study, the C and N storages in different parts of the plant– soil system, the concentrations of soil MBC and MBN, and the relationships between soil organic matter and microbial biomass were compared between three fenced sites and the paired adjacent grazed sites in the Hulunbuir grassland of Inner Mongolia. This study tested the hypothesis that grazing exclusion could enhance ecosystem C and N storage, soil microbial biomass, and that soil microbial biomass could be an indicator of the soil C and N dynamics induced by grazing exclusion. The specific objectives of this study were to (1) investigate the effects of grazing exclusion on the C and N storages in soil and ecosystem biomass, and soil MBC and MBN; (2) evaluate the potential relationships between soil organic matter and microbial biomass. These results suggest that grazing exclusion has the potential to sequester C and N in soils, but short- term (6 years) grazing exclusion might result in a higher C and N sequestration potential in the "
"85","Restricting new forests to conservation lands severely constrains carbon and biodiversity gains in New Zealand","Yes","500m","1","Sites","accidentally typed 0 for the # of plots 1-25m2 and for the number of sites at 101-500m2","Takes place in New Zealand, which some people argue is not part of the Australian continent...","LB","Experimental",NA,"Takes place in New Zealand, which some people argue is not part of the Australian continent..."
"86","Rewiring of experimentally disturbed seed dispersal networks might lead to unexpected network configurations","No","500m;100m","0","","17 sites each with 100m sampling nets and 3 50m2 transects","","IS","Experimental,Observational",NA,NA
"87","Riparian buffer strips: Their role in the conservation of insect pollinators in intensive grassland systems","Yes","500m;1km","0","","26 sites x 2 transects (400m2) per site = 52 'plots'; Transects at each site were separated by 20m, so I estimate the site size as 100m x 25m, or 2500km2;  The study considers two spatial scales for land use/land cover drivers (100m vs 500m for land use types), but NOT for EF/ES response; Some models included geolocation (one of two regions) as a variable which would assess whether more closely connected sites responded more similarly","Observational because collected data at agricultural sites with pre-existing riparian management sites (no fence, fenced narrow strip, fenced wide strip) ","JL","Observational",NA,"Observational because collected data at agricultural sites with pre-existing riparian management sites (no fence, fenced narrow strip, fenced wide strip) "
"88","Riparian canopy expansion in an urban landscape: Multiple drivers of vegetation change along headwater streams near Sacramento, California","No","100m;100km","0","","85 km2 watershed. with transects within it ","This study characterizes historical changes in riparian tree canopy over eight decades in relation to urbanization in a Central Valley wa- tershed, located in the metropolitan area of Sacramento, California. We used digital methods to analyze coarse- and fine-scale change in the extent of riparian tree canopy along the entire stream network, and investigated potential drivers of change by 1) quantifying changes in land cover across the watershed through the use of aerial photography, 2) characterizing historical and current stream flows from stream gage data and field observations, and 3) evaluating the contribution of exotic species to riparian tree stem density via field sampling throughout the stream network","LD","Observational",NA,"This study characterizes historical changes in riparian tree canopy over eight decades in relation to urbanization in a Central Valley wa- tershed, located in the metropolitan area of Sacramento, California. We used digital methods to analyze coarse- and fine-scale change in the extent of riparian tree canopy along the entire stream network, and investigated potential drivers of change by 1) quantifying changes in land cover across the watershed through the use of aerial photography, 2) characterizing historical and current stream flows from stream gage data and field observations, and 3) evaluating the contribution of exotic species to riparian tree stem density via field sampling throughout the stream network"
"89","Routes to achieving sustainable intensification in simulated dairy farms: The importance of production efficiency and complimentary land uses","No","25m","0","Sites","did a before and after for the simulation. implemented different land-use (crop) scenarios and looked at yield for cows, outcomes for vegetation, and spider diversity ","vegetation surveys over 3 years, spider surveys over 2 years. the rest was simulated ","SDJ","Model/Data Simulation,Observational",NA,"vegetation surveys over 3 years, spider surveys over 2 years. the rest was simulated "
"90","Seed arrival and persistence at the tidal mudflat: identifying key processes for pioneer seedling establishment in salt marshes","Yes","25m;1km","1","","2 tidal sites (area unknowns)30 mats total for seed trapping, sized 0.5m^2. 5 mat replicates per transect, and spaced 10m apart. Since transect distance went out to 45m and each transect was about 60m in length, opting for a site area of 45x65m^2 (roughly 0.03km^2). Plot size is less than 1m^2! For total number of plots, there were three different sub-experiments that had their own ""plot"": seed trapping on astroturf mats (0.5m^2), sediment samples for seedbank abundance (0.25 x 0.5 x 0.05m in volume), and seed cores for predation study (0.036 diameter cylinder x 0.03m depth). In all cases, plot size is under 1m^2. There were 30 mats total + 150 sediment cores (5 per ma) + 90 seed predation cores (5 cores per block * 3 blocks per transect * 3 trans per site * 2 sites)= 270 ""plots""","Tidal study at two different mudflats in the Netherlands. Set up parallel transects (3 total) at 5, 24, and 45m distance from marsh edge. Each transect had 5 0.5m^2 turf mat replicates used for assessing seed arrival and abundance (5 sediment samples collected per mat to study seedbank abundances). Additionally, 3 manipulated seed core blocks installed per transect to assess predation and persistence rates. Each block 3m apart and alternated real and fake seed. Seed cores contained 4 depth levels of seed (0, 5, 15, and 30mm depths), and each block contained 5 seed cores (arrayed in pentagonal/star shape). Installed/deployed experiment in Jan 2012 and took monthly measurements thereafter on everything through Aug 2012. Study does look at effect of month and interaction between time and distance.","CW","Experimental",NA,"Tidal study at two different mudflats in the Netherlands. Set up parallel transects (3 total) at 5, 24, and 45m distance from marsh edge. Each transect had 5 0.5m^2 turf mat replicates used for assessing seed arrival and abundance (5 sediment samples collected per mat to study seedbank abundances). Additionally, 3 manipulated seed core blocks installed per transect to assess predation and persistence rates. Each block 3m apart and alternated real and fake seed. Seed cores contained 4 depth levels of seed (0, 5, 15, and 30mm depths), and each block contained 5 seed cores (arrayed in pentagonal/star shape). Installed/deployed experiment in Jan 2012 and took monthly measurements thereafter on everything through Aug 2012. Study does look at effect of month and interaction between time and distance."
"91","Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons","No","100Gm","0","Plots","Looked at 1 watershed with area of 449 sq. km","used InVEST to model changes to services","AK","Model/Data Simulation",NA,"used InVEST to model changes to services"
"92","Simulation of ecosystem service responses to multiple disturbances from an earthquake and several typhoons","No","500m;1000km","0","","1 site - a single watershed in Taiwan. 20mx20m pixel size (plots).","Used InVEST. Unclear exactly what was simulated.","GV",NA,NA,NA
"93","Soil and vegetation recovery following alien tree clearing in the Eastern Cape Province of South Africa","No","25m;1km","0","","","Paired forest plots at different time stamps of acacia clearign","KCG","Observational",NA,"Paired forest plots at different time stamps of acacia clearign"
"94","Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression","No","100Mgm","0","Plots","Ran 1000 iterations on 6.4kmx6.4km ""landscapes"", which here, I interpreted as plots","This was totally simulation and didn't have an actual location for the model, i.e., it was generic so I chose global. Also note - it considered trends over 30 days in the model but didn't use multiple years of data in Q8","AK","Model/Data Simulation",NA,"This was totally simulation and didn't have an actual location for the model, i.e., it was generic so I chose global. Also note - it considered trends over 30 days in the model but didn't use multiple years of data in Q8"
"95","Spatial variability in ecosystem services: simple rules for predator-mediated pest suppression","No","1km;100km","1","","1 simulated landscape (site) of ~40km2 per simulation. 4096 pixels/cells (plots) within the site of 100x100m. Also have predator and prey patches of variable size.","Strictly simulation study focused on terrestrial patchy landscapes for agricultural pests and predators of those pests.","GV",NA,NA,NA
"96","Spatially explicit quantification of the interactions among ecosystem services","Yes","100Gm","0","Plots","Shaanxi province in China (site). studied continuous land cover, so no discrete plots","","AIS","Observational",NA,NA
"97","The active microbial diversity drives ecosystem multifunctionality and is physiologically related to carbon availability in Mediterranean semi-arid soils","No","25m","0","","20 'sites' with 3 replicates at each site, with 6 soil samples per replicate.","","GV","Observational",NA,NA
"98","The benefits of hedgerows for pollinators and natural enemies depends on hedge quality and landscape context","No","500m;100km","0","","","Paired block design of field with different hedgerow compositions ","KCG","Observational",NA,"Paired block design of field with different hedgerow compositions "
"99","The relative importance of pollinator abundance and species richness for the temporal variance of pollination services","No","25m","0","","they had one transect per site, so the # of sites and # of plots is the same","16 blueberry fields over 3 years, 10 watermelon fields over 5 years. observed wild bee flower visits along 50m transect and measured pollen delivery per flower per visit for each species. looked at trends over time","SDJ","Observational",NA,"16 blueberry fields over 3 years, 10 watermelon fields over 5 years. observed wild bee flower visits along 50m transect and measured pollen delivery per flower per visit for each species. looked at trends over time"
"100","The Swiss agri-environment scheme enhances pollinator diversity and plant reproductive success in nearby intensively managed farmland","No","25m","0","","56 arrays (""plots"", each 2m x 2m); distributed over 13 paired sites (pairings: mgmt type 1, adjacent mgmt type 2 = 1 pair)","","CW","Experimental,Observational",NA,NA
"101","Tropical deforestation alters hummingbird movement patterns","No","1000km","0","Plots","Single site, multiple birds' movements tracked","GPS tracking of hummingbird movement as proxy for pollination disruption","GV","Observational",NA,"GPS tracking of hummingbird movement as proxy for pollination disruption"
"102","Understanding the nursery habitat and provision service of a NTFP in a Colombian oak forest: A case of a nomadic vine","No","25m;10km","0","","Replicates are individual trees, not plots","","KCG","Observational",NA,NA
"103","Using citizen scientists to measure an ecosystem service nationwide","No","25m","0","Plots","seems like  82 cattle farms across Finland but small scale experiments at those sites, less than a 1m","To quantify the impact of different dung decompos- ers, we targeted 82 cattle farms across Finland (Fig. 1). This large-scale experiment was conducted in collabo- ration with citizen scientists from the 4H Federation of Finland, a youth organization with 79000 members distributed across the Finnish countryside.","LD","Experimental,Other","citizen science","To quantify the impact of different dung decompos- ers, we targeted 82 cattle farms across Finland (Fig. 1). This large-scale experiment was conducted in collabo- ration with citizen scientists from the 4H Federation of Finland, a youth organization with 79000 members distributed across the Finnish countryside."
"104","Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations","No","25m","0","Plots","6 e selected 6 locations in the catchments of Rhine and Scheldt, representing different points along the catchment-scale gradient from riparian zones along first-order streams via wetlands border- ing intermediate stream orders towards floodplain wetlands near high-order rivers. Determined spatial scale by eyeballing fig 1","t each location, we used a field design with measurements of denitrification and nitrous oxide emission rates at three or four plots along an elevation/wetness gradient perpendicular to the stream with 4 replications at each height. Sampling took place in summer in the period 2005–2007. Fluxes of N2O were measured between 9.00 and 16.00h using vented, closed flux chambers with an inner diameter of 15.2cm and a height of 24.2 cm. ","LD","Observational",NA,"t each location, we used a field design with measurements of denitrification and nitrous oxide emission rates at three or four plots along an elevation/wetness gradient perpendicular to the stream with 4 replications at each height. Sampling took place in summer in the period 2005–2007. Fluxes of N2O were measured between 9.00 and 16.00h using vented, closed flux chambers with an inner diameter of 15.2cm and a height of 24.2 cm. "
"105","Wetlands in agricultural landscapes for nitrogen attenuation and biodiversity enhancement: Opportunities and limitations","No","25m","0","Sites","","Minimal data was collected, mostly a review. Not sure if it should count.","TK",NA,NA,NA
"106","Woody shrubs increase soil microbial functions and multifunctionality in a tropical semi-arid grazing ecosystem","No","100m;10km","0","","","They almost considered space for time in the sense that they used tree rings to estimate the age of shrubs (the length of time of a biotic driver)... however age was not incorporated into any models.","JL","Observational",NA,"They almost considered space for time in the sense that they used tree rings to estimate the age of shrubs (the length of time of a biotic driver)... however age was not incorporated into any models."
