"","Title","MultiScale","scales","KT4_scale","nothing_entered","ScaleNotes","GenInfo","Init","methods_used","if_other_notes","gen_methods_notes"
"85","Recreational demand for clean water: evidence from geotagged photographs by visitors to lakes","Yes","unk","0","Plots","They compiled data for over 1000 lakes in Iowa and Minnesota; lake size was accounted for as a variable in the model (hence the 'yes' for Q8), but the range/distribution of lake sizes were not provided","Although they conducted no surveys/interviews, per se, methods were somewhat related as they extracted information from geo-tagged citizen photos onlineof lakes","JL","Observational",NA,"Although they conducted no surveys/interviews, per se, methods were somewhat related as they extracted information from geo-tagged citizen photos onlineof lakes"
"86","Relationships between renewable emergy storage or flow and biodiversity: A modeling investigation","No","unk","0","","Modeled using global data, but did not specify size of the data that was used","","NBD","Model/Data Simulation",NA,NA
"87","Seascape architecture - incorporating ecological considerations in design of coastal and marine infrastructure","No","25m;unk","0","","unclear on different wall sizes and if there are separate walls as site type replicates; plots seem to follow:'Four 30 × 30 cm quadratswere set in the top intertidal, and four at the bottom sublit-toral areas designated for the control plots'","","IS","Experimental,Observational",NA,NA
"88","Seasonal complementary in pollinators of soft-fruit crops","No","1km;unk","0",""," One 300m-long pollinator activity transect per farm (plots), 25 farms (sites, no size indicated). Also, 3 poly-tunnels per farm for exclusion experiment (plots) at 22 farms (sites)","","AIS","Experimental",NA,NA
"89","Seed dispersal effectiveness by a large-bodied invasive species in defaunated landscapes","No","unk","0","","145 sampling sites (plots) across 14 study sites (sites)","","AIS","Experimental",NA,NA
"90","Seeds in farmland food-webs: Resource importance, distribution and the impacts of farm management","No","unk;10km","0","","Total area of farm was 125 ha, but specific sites sizes not given","","NBD","Observational",NA,NA
"91","Seeing the light: urban stream restoration affects stream metabolism and nitrate uptake via changes in canopy cover","No","unk","0","","plots here are sampling locations within a 50-125m stretch of a stream","","AK",NA,NA,NA
"92","Shadow conservation and the persistence of sacred church forests in northern Ethiopia","No","unk","0","","sacred forest areas weren't reported; as for plot # and size, they performed three transects at each sacred forest sites and while transect width was set at 2m,  transect length ranged from 45 m–438 m","","IS","Observational",NA,NA
"93","Social-ecological outcomes in recreational fisheries: the interaction of lakeshore development and stocking","No","10km;unk","0","","1 site in study (a lake district in Wisconsin that contains 150+ recreational lakes), not sure of site size. They do not say how many lakes units were used to model Walleye density and survivorship, but compare model output to 158 lakes of at least 20ha in size (0.02km^2), so think model is intending to speak to that level of replication/size of lake","Adapted social-ecological model developed by two other published studies, and validated model output with empirical data on stocking and walleye fish counts from Wisconsin DNR","CW","Model/Data Simulation,Observational",NA,"Adapted social-ecological model developed by two other published studies, and validated model output with empirical data on stocking and walleye fish counts from Wisconsin DNR"
"94","Soils Determine Early Revegetation Establishment with and without Cover Crops in Northern Mixed Grass Prairie after Energy Development","No","25m;unk","0","","****Plots are LESS than 1m2 in size (0.5625m2) but marked as smallest option here; 24 sampling transects x 5 plots per transect = 120 plots ","Mix of experimental treatments (cover crops, seed mixes) and observed environmental variation (soil variables) to explain revegetatoin","JL","Experimental,Observational",NA,"Mix of experimental treatments (cover crops, seed mixes) and observed environmental variation (soil variables) to explain revegetatoin"
"95","Stream corridors as indicators of watershed land use: A case study in Istanbul","No","unk","0","","3 watersheds (sites). 66 sub-watersheds (plots). Watershed area provided, but without units","","AIS","Observational",NA,NA
"96","Temporal variation and spatial scale dependency of ecosystem service interactions: a case study on the central Loess Plateau of China","Yes","25m;unk;100Mgm","1","","in the area, 19 towns","","NBD","Observational",NA,NA
"97","The ecological adaptability of Phragmites australis to interactive effects of water level and salt stress in the Yellow River Delta","No","unk","0","","48 plant plots (plot) at one experimental site (site)","","AIS","Experimental",NA,NA
"98","The Monteregie Connection: linking landscapes, biodiversity, and ecosystem services to improve decision making","Yes","unk;100Mgm","0","","Used a combination of historic, empirical and GIS data","","TM","Experimental,Observational",NA,NA
"99","Towards systematic conservation planning adapted to the local flow of ecosystem services","No","unk;100Gm","0","","1 large site, unclear pixel size.","ES provision and demand on local scale.","GV","Observational",NA,"ES provision and demand on local scale."
"100","Traditional ecological knowledge and medicinal plant diversity in Ecuadorian Amazon home gardens","No","100m;unk","0","","","Amazonian Ecuador; Among 138 garden owners interviewed in 11 communities, a broad knowledge of 104 pharmacological properties across 145 medicinal plant species is retained.","LD","Social survey/Interview",NA,"Amazonian Ecuador; Among 138 garden owners interviewed in 11 communities, a broad knowledge of 104 pharmacological properties across 145 medicinal plant species is retained."
"101","Trait-based approaches for guiding the restoration of degraded agricultural landscapes in East Africa","No","unk","0","","5 landscapes = sites, ""n=640 observations per site"", ""745 plots""","five landscapes in 3 African countries studied for extent of soil erosion, vegetation cover and biomass, functional properties of the woody vegetation, and topsoil chemistry","SDJ","Observational",NA,"five landscapes in 3 African countries studied for extent of soil erosion, vegetation cover and biomass, functional properties of the woody vegetation, and topsoil chemistry"
"102","Uncovering the spatial dynamics of wild rice lakes, harvesters and management across Great Lakes landscapes for shared regional conservation","No","unk","0","","Lake and watershed scale, at least >1200 lakes and >300 watersheds in MN and WI. Large scale but unclear what size the lakes are. Watershed info: Wild rice, with an affinity for flowing water, is most often associated with streams and lakes on flowages, systems that are commonly managed using watershed approaches. ","We report three primary analyses: (1) Regional characteristics: geospatial analysis of the relationships between wild rice lakes, management regimes and wild rice harvest across the study region; (2) Patterns of harvest: analysis of harvester use and spatial rela- tionships to wild rice lakes through case studies, landing site visits and in-depth interviews; (3) Decision making regarding the open- ing of harvest: visits with managers and committees.","LD","Observational,Social survey/Interview",NA,"We report three primary analyses: (1) Regional characteristics: geospatial analysis of the relationships between wild rice lakes, management regimes and wild rice harvest across the study region; (2) Patterns of harvest: analysis of harvester use and spatial rela- tionships to wild rice lakes through case studies, landing site visits and in-depth interviews; (3) Decision making regarding the open- ing of harvest: visits with managers and committees."
"103","Urban biodiversity and social inequalities in built-up cities: New evidences, next questions. The example of Paris, France","Yes","25m;unk;1000km","1","","nested ""plot""-level data: household (approx 1000 per CBG), census block groups (CBG, 992 in study -- size of CBG variable and not specified), in study site (Paris, 105 km^2)","Use published datasets: remote sensing, botanical inventories, census (counting as social survey)","CW","Observational,Social survey/Interview",NA,"Use published datasets: remote sensing, botanical inventories, census (counting as social survey)"
"104","Urban form, biodiversity potential and ecosystem services","No","10km;unk","0","","Plots are referred to as sites in the study but they had 3 per 5 cities (which I marked as sites).","","AK","Observational",NA,NA
