"Round2_reviewer","Number","MeetsCriteria_matches","Round1_reviewer","Comments","FirstAuthor","Title","AuthorsFull","SourcePublication","Abstract","PublicationDate","PublicationYear"
"Grant",865,1,"Julie",NA,"Christiaen","Functional implications of changes in seagrass species composition in two shallow coastal lagoons","Christiaen, Bart; Lehrter, John C.; Goff, Joshua; Cebrian, Just","MARINE ECOLOGY PROGRESS SERIES","While the consequences of losing seagrass meadows are well known, there is less information on the functional implications of changes in seagrass species composition. In this study, we use data from a long-term monitoring project in shallow lagoons on the Florida Gulf Coast to assess changes in the functional attributes of seagrass beds during a shift in seagrass species composition. We compare seagrass beds in 2 neighboring lagoons with different trends: one where the composition changed from 100% Halodule wrightii to a mixed bed with up to 60% Ruppia maritima, and one where the species composition remained unchanged. Our results indicate that the partial replacement of H. wrightii by R. maritima did not alter seagrass biomass m(-2), detrital biomass m(-2), benthic gross primary production, or benthic respiration. However, there was a small positive effect on benthic net primary production. While seagrass biomass m(-2) declined at both sites, the emergence of R. maritima increased the amount of available habitat through rapid expansion. Overall, our data suggest that shifts between 2 seagrass species with similar morphology, but different ecological strategies, may have little impact on the ecosystem services of seagrass beds in shallow coastal lagoons.","43736",2016
"Grant",332,2,"Sierra",NA,"Costa","Rewiring of experimentally disturbed seed dispersal networks might lead to unexpected network configurations","Costa, Jose M.; Ramos, Jaime A.; da Silva, Luis P.; Timoteo, Sergio; Andrade, Pedro; Araujo, Pedro M.; Carneiro, Camilo; Correia, Edna; Cortez, Paulo; Felgueiras, Marcial; Godinho, Carlos; Lopez, Ricardo Jorge; Matos, Claudia; Norte, Ana Claudia; Pereira, Pedro F.; Rosa, Antonio; Heleno, Ruben H.","BASIC AND APPLIED ECOLOGY","The consequences of species extinctions in ecological communities may be buffered through the rearrangement (rewiring) of the interactions between the remaining species. The structural and functional consequences of such extinctions can be explored by means of computer simulations that try to predict secondary extinctions and the degradation of ecosystem services. However, to improve the accuracy of these simulations, it is pivotal to evaluate their performance in predicting changes observed in natural communities. In this study, we first described the avian seed dispersal networks in 17 sites throughout Portugal, and found that blackberry (Rubus ulmifolius) was the most dispersed species in 13 out of the 17 sites. Second, we performed a manipulative experiment to evaluate the effect of removing the most dispersed plant species and compared the observed outcome in the structure of the network with computer simulations with and without rewiring. Observed changes were consistent with some rapid network rewiring, with dispersers shifting to alternative fruit species. Although the observed network topology after the experimental removal was not accurately predicted, the extinction simulation with rewiring performed considerably better than that without rewiring. Individual species roles were even harder to predict than emergent network properties on both types of models. We show that incorporating rewiring rules can considerably increase the accuracy of species extinction models, however, the functional consequences of losing important resources might not be easily anticipated, and rewiring might occur in unexpected directions. (C) 2018 Gesellschaft fur Okologie. Published by Elsevier GmbH. All rights reserved.","AUG",2018
"Grant",592,0,"Isabel",NA,"Endreny","Implementing and managing urban forests: A much needed conservation strategy to increase ecosystem services and urban wellbeing","Endreny, T.; Santagata, R.; Perna, A.; De Stefano, C.; Rallo, R. F.; Ulgiati, S.","ECOLOGICAL MODELLING","Megacities contain at least 10 million people whose wellbeing largely depends on ecosystem services provided by remote natural areas. What is, however, most often disregarded is that nature conservation in the city can also contribute to human wellbeing benefits. The most common mind set separates cities from the rest of nature, as if they were not special kinds of natural habitats. Instead, awareness that urban systems are also nature and do host biodiversity and ecosystem services opportunities, should push urban people towards increased urban forest conservation and implementation strategies. This research estimated existing and potential, tree cover, and its contribution to ecosystem services in 10 megacity metropolitan areas, across 5 different continents and biomes. We developed estimates for each megacity using local data to transform i-Tree Eco estimates of tree cover benefits to reductions in air pollution, stormwater, building energy, and carbon emissions for London, UK. The transformation used biophysical scaling equations based on local megacity tree cover, human population, air pollution, climate, energy use, and purchasing power parity. The megacity metropolitan areas ranged from 1173 to 18,720 sq km (median value 2530 sq km), with median tree cover 21%, and potential tree cover another 19% of the city. Megacities had a median tree cover density of 39 m(2)/capita, much smaller than the global average value of 7800 m2/capita, with density lower in desert and tropical biomes, and higher in temperate biomes. The present median benefit value from urban trees in all 10 megacities can be estimated as $482 million/yr due to reductions in CO, NO2, SO2, PM10, and PM2.5, $11 million/yr due to avoided stormwater processing by wastewater facilities, $0.5 million/yr due to building energy heating and cooling savings, and $8 million/yr due to CO2 sequestration. Planting more trees in potential tree cover areas could nearly double the benefits provided by the urban forest. In 2016 there were 40 megacities, totaling 722 million residents, nearly 10% of the human population, who would benefit from nature conservation plans where they work and live. Nature conservation strategies in megacities should work to sustain and grow the benefits of the urban forest, and improve accounting methods to include additional ecosystem services provided by the urban forest. (C) 2017 Published by Elsevier B.V.","43732",2017
"Grant",1232,0,"Anna","socioeconomic survey","Entenmann","REDD plus -related activities in Kenya: actors' views on biodiversity and monitoring in a broader policy context","Entenmann, Steffen Karl; Schmitt, Christine Brigitte; Konold, Werner","BIODIVERSITY AND CONSERVATION","Activities related to reducing emissions from deforestation and forest degradation in developing countries (REDD+) bear potential benefits for, and also pose risks to, the conservation of biodiversity and ecosystem services (ES). Next to ecological, socioeconomic and technical factors, the priorities of key actors in REDD+ implementation shape the integration of biodiversity concerns. This study aimed to identify the views of key actors in the REDD+ implementation process in Kenya with regard to biodiversity conservation and monitoring in order to evaluate the degree to which biodiversity is likely to be considered in the (sub-) national REDD+ context. In Kenya, avoided deforestation in dry forests and enhancement of forest carbon stocks in different forest types are major REDD+ activities. Interviews with 34 (sub-) national and project level actors showed that the solving of socioeconomic issues was paramount for REDD+ implementation in general and for achieving additional conservation benefits. In REDD+ initiatives in dry forests, conservation objectives were primarily related to wildlife; actors stressed the importance of specific management measures to minimize human-wildlife conflicts. In initiatives to enhance forest carbon stocks, the sustained provision of timber, fuel wood and hydrological ES was regarded as a conservation priority and a prerequisite for project viability. The biodiversity indicators and monitoring schemes considered to be available by the actors were mostly related to particular species. In conclusion, integration of biodiversity concerns into REDD+ depends heavily on the resolution of socioeconomic and political issues. Increased collaboration between Kenyan actors can contribute to the development of monitoring schemes for detecting REDD+ impacts on biodiversity and ES on a landscape scale.","DEC",2014
"Grant",1865,1,"Nick",NA,"Gemmill-Herren","Role of native bees and natural habitats in eggplant (Solanum melongena) pollination in Kenya","Gemmill-Herren, Barbara; Ochieng, Alfred O.","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","The pollination requirements of eggplant (Solanum melongena) were investigated. One variety of eggplant exhibited a significantly reduced seed set in absence of pollinators, and two varieties significantly increased seed numbers when pollen deposition was enhanced. Two solitary bee species, Xylocopa caffra and Macronomia rufipes, were identified as effective pollinators of the crop. The visitation rates of these pollinators to eggplant flowers declined significantly with distance from the wild habitat. The importance of wild plants as alternative forage source for pollinators was assessed by a survey of the flowering plants in different habitats surrounding eggplant fields. While ruderal farm weeds provide much of these resources, the Acacia tortilis riverine forest experienced high visitation rates in one critical period of the dry season. The spatio-temporal foraging behaviour of eggplant pollinators highlights the role of the agricultural matrix in conserving ecosystem services. Interspersion of wild habitats with cultivated land promoted increased pollination services. (C) 2008 Food and Agriculture Organization of the United Nations. Published by Elsevier B.V. All rights reserved.","AUG",2008
"Grant",919,0,"Kathryn",NA,"Hammer","Treating cattle with antibiotics affects greenhouse gas emissions, and microbiota in dung and dung beetles","Hammer, Tobin J.; Fierer, Noah; Hardwick, Bess; Simojoki, Asko; Slade, Eleanor; Taponen, Juhani; Viljanen, Heidi; Roslin, Tomas","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","Antibiotics are routinely used to improve livestock health and growth. However, this practice may have unintended environmental impacts mediated by interactions among the wide range ofmicro-and macroorganisms found in agroecosystems. For example, antibiotics may alter microbial emissions of greenhouse gases by affecting livestock gut microbiota. Furthermore, antibiotics may affect the microbiota of non-target animals that rely on dung, such as dung beetles, and the ecosystem services they provide. To examine these interactions, we treated cattle with a commonly used broad-spectrum antibiotic and assessed downstream effects on microbiota in dung and dung beetles, greenhouse gas fluxes from dung, and beetle size, survival and reproduction. We found that antibiotic treatment restructured microbiota in dung beetles, which harboured a microbial community distinct from those in the dung they were consuming. The antibiotic effect on beetle microbiota was not associated with smaller size or lower numbers. Unexpectedly, antibiotic treatment raised methane fluxes from dung, possibly by altering the interactions between methanogenic archaea and bacteria in rumen and dung environments. Our findings that antibiotics restructure dung beetle microbiota and modify greenhouse gas emissions from dung indicate that antibiotic treatment may have unintended, cascading ecological effects that extend beyond the target animal.","43610",2016
"Grant",522,0,"Isabel",NA,"He","The evaluation for the impact of land use change on habitat quality: A joint contribution of cellular automata scenario simulation and habitat quality assessment model","He, Jianhua; Huang, Junlong; Li, Chun","ECOLOGICAL MODELLING","China has experienced the most serious habitat degradation. Even though increasing attentions have been brought to this issue, we still lack the understanding of the impact of land use change on habitats. This study proposed an integrated framework with cellular automata (CA) scenario simulation and the ""Integrated Valuation of Environmental Services and Trade-offs"" (InVEST) model to evaluate how different landscape dynamics could exert influences on habitat quality. Unlike other methods, our approach evaluates habitat quality by analyzing land use cover in conjunction with habitat threats. The data needed in the framework is readily available spatial data, the demand is relatively low so that our approach is more useful in the data-scarce situation, and incorporating CA simulation facilitates the predictive scenario analysis. We simulated three alternative future scenarios with different development orientations by CA (fast urban sprawl, smart urban expansion, and ecology conservation scenario), and assessed the habitat quality in each scenario by the InVEST model. Results show that in current (2014) land use scenario, ""moderate"" grade (habitat quality value: 0.4-0.6) occupies the largest proportion (37.62%), and ""poor"" grade (0-0.2) area takes up 2.82%, concentrates in urban and peri-urban fringe, which proves the degrading impacts from urbanization. The impact of future land use change varies with different land use scenario: in fast urbanization scenario, the landscape displays complete habitat degradation, while the ecology conservation scenario shows the converse trend. The interesting finding is, the degrading impacts of urbanization could be weakened, or even eliminated by the smart urban growth scenario. It suggests that the trade-off between habitat conservation and urban development could be achieved. (C) 2017 Elsevier B.V. All rights reserved.","43823",2017
"Grant",1902,1,"Nick",NA,"Jameson","Changes in high-altitude Polylepis forest cover and quality in the Cordillera de Vilcanota, Peru, 1956-2005","Jameson, Joanne S.; Ramsay, Paul M.","BIOLOGICAL CONSERVATION","High-altitude Polylepis forest is distributed throughout the Andes and represents one of the most threatened Neotropical vegetation types. It is an important habitat for a range of associated endemic species and provides vital natural resources to poor highland people, but these forests are threatened by over- exploitation and land management practices. Changes to Polylepis forests over a 50-year period in the Cordillera de Vilcanota, Perfi, were examined using air photographs and extensive field observations and photographs. Structured interviews were carried out with local farmers to record their perceptions of forest change over recent decades. Only about 1% of forest patches had been lost completely during the study period. There was no significant change in forest patch size, though larger patches tended to have denser canopies. Across all altitudes, about 10% of the forest showed a significant decline in canopy density, with very little forest showing the opposite trend. The majority of local farmers who were interviewed collected fuelwood from the forests and grazed their livestock there, but recognised the degradation these activities caused to canopy density and tree size. it is likely that the degradation of these forests over time has had an adverse impact on forest dynamics, associated biodiversity, ecological function and ecosystem services. More attention should be given to measuring and monitoring habitat quality of Polylepis forest, and conservation efforts should, in part at least, be refocused on protecting and enhancing the habitat quality of extant patches. However, habitat quality is difficult to define and measure, and presents a significant challenge to scientists, conservationists and local people. (c) 2007 Elsevier Ltd. All rights reserved.","AUG",2007
"Grant",828,1,"Julie","Links abiotic/social drivers to urban tree biodiversity and aesthetic ES","Jenerette","Climate tolerances and trait choices shape continental patterns of urban tree biodiversity","Jenerette, G. Darrel; Clarke, Lorraine W.; Avolio, Meghan L.; Pataki, Diane E.; Gillespie, Thomas W.; Pincetl, Stephanie; Nowak, Dave J.; Hutyra, Lucy R.; McHale, Melissa; McFadden, Joseph P.; Alonzo, Michael","GLOBAL ECOLOGY AND BIOGEOGRAPHY","AimWe propose and test a climate tolerance and trait choice hypothesis of urban macroecological variation in which strong filtering associated with low winter temperatures restricts urban biodiversity while weak filtering associated with warmer temperatures and irrigation allows dispersal of species from a global source pool, thereby increasing urban biodiversity. LocationTwenty cities across the USA and Canada. MethodsWe examined variation in tree community taxonomic diversity, origins and production of an aesthetic ecosystem service trait in a cross-section of urban field surveys. We correlated urban tree community composition indicators with a key climate restriction, namely mean minimum winter temperature, and evaluated alternative possible drivers: precipitation, summer maximum temperature, population size and the percentage of adults with a college education. ResultsSpecies accumulation curves differed substantially among cities, with observed richness varying from 22 to 122 species. Similarities in tree communities decreased exponentially with increases in climatic differences. Ordination of tree communities showed strong separation among cities with component axes correlated with minimum winter temperature and annual precipitation. Variation among urban tree communities in richness, origins and the provisioning of an aesthetic ecosystem service were all correlated with minimum winter temperature. Main conclusionsThe urban climate tolerance and trait choice hypothesis provides a coherent mechanism to explain the large variation among urban tree communities resulting from an interacting environment, species and human decisions. Reconciling the feedbacks between human decision making and biophysical limitations provides a foundation for an urban ecological theory that can better understand and predict the dynamics of other linked biotic communities, associated ecosystem dynamics and resulting services provided to urban residents.","NOV",2016
"Grant",212,0,"Aislyn",NA,"Jiang","Challenging the land degradation in China's Loess Plateau: Benefits, limitations, sustainability, and adaptive strategies of soil and water conservation","Jiang, Chong; Zhang, Haiyan; Wang, Xinchi; Feng, Yuqing; Labzovskii, Lev","ECOLOGICAL ENGINEERING","Land degradation is a global environmental problem that threatens human safety and socioeconomic development. In order to alleviate severe soil erosion, China has implemented historically unprecedented large-scale afforestation. In this study, we selected the most severely eroded Loess Plateau as a case, to assess the effectiveness of soil and water conservation (SWC) efforts based on the Revised Universal Soil Loss Equation. In addition, the underlying drivers for soil erosion changes and hydrological effects of SWC were investigated, and finally the potential policy implications of our findings were discussed. The soil erosion intensity from 2000 to 2015 was weakened largely due to favorable climate conditions and SWC efforts, which promoted vegetation restoration and enhanced soil retention. However, there was a significant trade-off between water provision and soil retention functions. The excessively artificial afforestation reduced sediment yield but depleted surface runoff. Furthermore, artificial afforestation and increasing irrigation water consumption overused groundwater resources and finally lowered groundwater table. The SWC efforts characterized by artificial afforestation induced soil moisture declining, particularly for the conversion type of farmland to forest/ shrub. Our results suggested that afforestation might be a poor choice in arid and semiarid regions, because it did not consider local precipitation conditions, and have exacerbated water shortages and offset SWC efforts. Therefore, the future ecological restoration efforts should be transformed from simple species-based measures to optimal plant species combinations to minimize the tradeoff between water yield and soil retention. The strategies for ecological restoration of drylands should also account for water balance to ensure effectiveness and sustainability.","FEB",2019
"Grant",84,0,"Claire",NA,"Jiang","Re-orienting ecological restoration in degraded drylands for a more sustainable soil-water relationship: Non-linear boundary of limited water resources in combating soil loss","Jiang, Chong; Wang, Xinchi; Zhang, Haiyan; Labzovskii, Lev; Wang, Jun; Liu, Tong","JOURNAL OF ARID ENVIRONMENTS","Ecological restoration efforts to combat soil loss often fail to deliver the expected benefits despite enormous investments. Better understanding the close relationships between climate, vegetation, and non-linear ecosystem dynamics can help restoration activities meet their intended goals. The severely eroded Loess Plateau (LP) was selected for a case study to investigate the underlying drivers of soil retention change and their non-linear constraint impacts. The soil retention function was substantially enhanced during 2000-2015, while the water yield function was weakened. Both the favourable changes in climate conditions (i.e., increasing precipitation and declining evapotranspiration) and governmental policies for soil and water conservation and ecological restoration promoted vegetation restoration and expansion, thereby strengthening the soil retention function. Consequently, water and sediment yields declined significantly. The relationship between water yield and soil retention is non-linear and shows that the two ecosystem functions can be either in synergy or in trade-off according to the level of vegetation cover. We observed that the vegetation cover had an upper threshold (i.e., 50%) for controlling the soil erosion because of the limited water condition (rainfall), which implies that the effect of vegetation on reducing the water erosion reached its maximum capacity when the plant cover was 50%. Considering the limited water conditions in drylands, to minimize the trade-off between the water yield and soil retention and to maximize the effectiveness of ecological restoration programs, it is recommended that the overall vegetation cover in the LP be controlled at approximately 30-40%, i.e., without exceeding 50%. Currently, the non-linear constraint effects of the water condition and vegetation cover on the soil retention are yet to be thoroughly understood. Moreover, practical policy recommendations require further field-based observations and experimental studies.","AUG",2019
"Grant",1875,0,"Nick",NA,"Kohler","At what spatial scale do high-quality habitats enhance the diversity of forbs and pollinators in intensively farmed landscapes?","Kohler, Florian; Verhulst, Jort; van Klink, Roel; Kleijn, David","JOURNAL OF APPLIED ECOLOGY","1. Over the last decades, biodiversity in agricultural landscapes has declined drastically. Initiatives to enhance biodiversity, such as agri-environment schemes, often have little effect, especially in intensively farmed landscapes. The effectiveness of conservation management may be improved by scheme implementation near high-quality habitats that can act as a source of species. We evaluated up to what distance high-quality habitats (nature reserves and artificially created flower-rich patches) affect the diversity of forbs and pollinators in intensively farmed landscapes of the Netherlands. 2. We surveyed forbs, inflorescences, bees and hover flies and estimated pollination services in transects along ditch banks extending 300 m from four nature reserves forming small islands in landscapes dominated by agriculture. 3. In a separate experiment, we surveyed inflorescences, bees and hover flies in 1500 m long transects on farmland adjacent to five newly introduced flower-rich patches and in five control transects. 4. Species density of forbs declined over the first 75 m and species density and abundance of hover flies declined over the first 125 m beyond the nature reserves. Beyond these distances, no further declines were observed. The effects of flower-rich patches were spatially limited. The species density and abundance of bees and hover flies were significantly enhanced in the flower-rich patch, but only the abundance of hover flies was enhanced up to 50 m beyond the patch. 5. Synthesis and applications. In intensively farmed areas, remnant high-quality habitats sustain more abundant and diverse pollinator and forb communities than the surrounding countryside. They do enhance biodiversity on nearby farmland but increases are spatially restricted (< 150 m) and relatively small. These habitats may therefore function only as dispersal sources for ecological restoration sites or agricultural fields under extensification schemes that are located in close proximity. Habitat restoration in intensively used farmland should therefore be implemented preferentially in the immediate vicinity of high-quality habitats. In the short term, newly created flower-rich habitats are no alternative to pre-existing seminatural habitats for the promotion of pollinators on nearby farmland.","JUN",2008
"Grant",1834,1,"Nick","THe paper describes a model, but they apply the model to a specific site to measure vegetation cover with regard to grazing, fire, other ecosystem servies","Koniak","A hierarchical, multi-scale, management-responsive model of Mediterranean vegetation dynamics","Koniak, Gili; Noy-Meir, Imanuel","ECOLOGICAL MODELLING","Ecosystems of the Mediterranean basin are characterized by a heterogeneous and dynamic landscape mosaic of vegetation formations. This landscape has been shaped over millenia by disturbances associated with agropastoral land use: clearing, grazing and burning, and by regeneration processes of the natural woody vegetation. The ability to predict the effects of management decisions on the structure and composition of the vegetation is essential for present and future land management. To improve this ability we developed a hierarchical multi-scale, management-responsive model of vegetation dynamics. The model was initially developed at two hierarchically nested spatial scales: ""cell"" (1 m(2)) and ""site"" (400 m(2)). The cell model was conceptually derived from a ""States and transitions"" framework. Vegetation state in a cell was defined by the identity, age and height of the dominant plant functional type. Biological realism was enhanced by defining transition probabilities not as constants but as functions of variables that represent biological processes: reproduction, colonization, expansion, replacement, aging, mortality, grazing, regrowth after fire, and dispersal. Up-scaling to the site was essentially done by averaging: vegetation state of a site was defined by frequencies of cells in different states. However, there was a feedback from site to cell by seed production and dispersal functions. The model was parameterized and implemented for a study area in Mediterranean woody vegetation (garrigue) in Israel. The biological components and processes represented in the model are sufficiently general to allow adaptation to similar vegetation in other Mediterranean regions. A series of simulation experiments over 100 years was carried out under different management scenarios defined by combinations of initial vegetation cover (cleared and control plots), cattle and goat grazing intensity and fire frequency. The results highlight the following trends: In most scenarios, initial cover has an effect even after 100 years. In the absence of any disturbance, vegetation becomes dominated by the two tallest woody functional types. Under extremely intense multiple disturbances (fire + goat grazing), the vegetation becomes dominated by Herbaceous plants. Scenarios of intermediate disturbance regimes often result in heterogeneous vegetation composition. Under most of the management scenarios examined, vegetation composition had not reached a steady state (or steady cycle of fire-regrowth) even after 100 years. The model can be a useful tool for land managers by eliminating obviously undesirable scenarios and focusing on a limited set of desirable or acceptable scenarios. (c) 2009 Elsevier B.V. All rights reserved.","43579",2009
"Grant",280,1,"Aislyn",NA,"Kujala","Not all data are equal: Influence of data type and amount in spatial conservation prioritisation","Kujala, Heini; Lahoz-Monfort, Jose Joaquin; Elith, Jane; Moilanen, Atte","METHODS IN ECOLOGY AND EVOLUTION","Decisions about land use significantly influence biodiversity globally. The field of spatial conservation prioritisation explores allocation of conservation effort, including for reserve network expansion, targeting habitat restoration, or minimising ecological impacts of development. Inevitably, the utility of such planning depends on the quantity and quality input data, including spatial information on biodiversity, threats, and cost of action. In this work we systematically develop understanding about the significance of these different data types in spatial conservation prioritisation. We clarify the common ways different data types enter an analysis, develop mathematical models to understand the effects of data in spatial prioritisation, and survey literature to establish typical quantities of different types of data used. We use Jackknife analysis to derive the expected change in site values, when a single new data layer is added to a prioritisation. We validate mathematical formulae for expected impacts using simulations. A survey of scientific literature reveals that typical spatial prioritisation analyses include hundreds of biodiversity feature layers (species, habitat types, ecosystem services), but the count of cost, threat or habitat condition layers is typically 0-5. Due to these differences, and the mathematical formulations commonly used to combine data types, the influence of a single cost, threat, or habitat condition data layer can be an order or two higher than the influence of a single biodiversity feature layer. In a classical cost-effectiveness formulation (benefits divided by costs, B/C) the influence of a single cost layer can even be as large as the joint influence of thousands of species distributions. We also clarify how changes in data impact site values and spatial priority rankings differently, with the latter being further influenced by data correlations, the spread of numeric values inside data layers and other data characteristics. For example, costs influence priorities significantly if cost is positively correlated with biodiversity, but the correlation is the other way around for biodiversity and habitat condition. This work helps conservation practitioners to direct efforts when collating data for spatial conservation planning. It also helps decision makers understand where to focus attention when interpreting conservation plans and their uncertainties.","NOV",2018
"Grant",973,2,"Kathryn",NA,"Liu","Evaluating the Effects of Wetland Restoration at the Watershed Scale in Northwest Yunnan Plateau, China","Liu, Guodong; Tian, Kun; Sun, Jinfang; Xiao, Derong; Yuan, Xingzhong","WETLANDS","A long-term monitoring and restoration study was implemented from 2008 to 2014 at the watershed scale in the Napahai wetland, a typically degenerative closed and half-closed alpine wetland in the Northwest Yunnan Plateau, China. After restoration, the vegetation of the swamp, swamp meadow, and meadow in the transitional zone improved constantly, as well as the soil properties, such as water content, soil organic matter, and TN. The vegetation in the lakeside zone increased from 10 families, 11 genera, and 14 species before the restoration to 15 families, 21 genera, and 26 species after the restoration. The removal rate of total nitrogen, total phosphorus, and chemical oxygen demand in the wetland remained greater than 45, 80, and 55 %, respectively; and the transparency in the outlet of the lake increased 171.1 %. Due to the improvement of habitats, the species and number of wintering water birds increased considerably. According to a Canonical Correspondence Analysis (CCA), the soil water content, soil organic matter, total phosphorus and pH were the most important factors that influenced the distribution of vegetation in the transitional zone. Based on the correlation analysis, the bird was positively correlated with the wetland age and the water quality. The evaluation results indicate that the restoration was effective and could act as a guideline for the further ecological restoration of alpine wetlands in the future.","FEB",2016
"Grant",301,1,"Sierra",NA,"Lochon","Taxonomic and functional facets of the resilience to management of mown subalpine grasslands","Lochon, Iris; Colace, Marie-Pascale; Devaux, Caroline; Grigulis, Karl; Rettinger, Ricarda; Lavorel, Sandra","APPLIED VEGETATION SCIENCE","Questions: Sustaining ecosystem services for society in the face of global change is a major challenge. Resilience, an ecosystem's ability to absorb disturbance and return to its initial functioning, is critical for this. We assessed the resilience of mown subalpine grasslands following restoration management. Using a novel multi-indicator approach, we asked how different taxonomic and functional facets of biodiversity influence resilience mechanisms. We demonstrated this approach for a case study in subalpine grasslands, asking: how resilient are grasslands dominated by Patzkea paniculata and their agronomic services to changing mowing regimes? Location: Villar d'Arene, Hautes-Alpes, Provence-Alpes-Cote d'Azur, France. Boundary area of Ecrins National Park. Methods: A manipulative experiment tested the reciprocal effects of mowing cessation and mowing resumption for 10 years. We analysed floristic composition data following four steps. First, we used the Community Structure Integrity Index (CSII; Jaunatre et al., ) to obtain qualitative and quantitative summaries of taxonomic responses. The second step focused on taxonomic biodiversity using species richness, Simpson and Pielou indices, and responsive species identified in the first step. Third, we analysed functional diversity responses using functional groups and community weighted mean (CWM) of vegetative plant traits. Finally, we quantified ecosystem services impacts by estimating fodder quantity and quality using trait-based models. Results: The mowing manipulation demonstrated the high resilience of P. paniculata grasslands and revealed reversibility of transitions between mown and unmown states. By reducing the abundance of P. paniculata, the resumption of mowing restored forage quality. Supported by a complementary case study on post-disturbance re-sowing in hay meadows, this study demonstrates the resilience of mown subalpine grasslands to management change and explores underlying belowground mechanisms of vegetative regeneration and belowground reserves. Conclusion: Our novel multi-indicator approach provides multifaceted mechanistic understanding necessary to anticipate impacts of socio-ecological changes and to maintain the multiple benefits of mountain grasslands. Addressing the different facets of biodiversity from abundance data that are systematically collected in impact or monitoring assessment, this approach provides a common framework, widely applicable to different types of restoration or management interventions, across regions and biota.","OCT",2018
"Grant",573,0,"Isabel",NA,"Marichal","Earthworm functional traits, landscape degradation and ecosystem services in the Brazilian Amazon deforestation arc","Marichal, Raphael; Praxedes, Catarina; Decaens, Thibaud; Grimaldi, Michel; Oszwald, Johan; Brown, George G.; Desjardins, Thierry; da Silva Junior, Mario Lopes; Feijoo Martinez, Alexander; Oliveira, Mariana N. D.; Velasquez, Elena; Lavelle, Patrick","EUROPEAN JOURNAL OF SOIL BIOLOGY","Earthworms, as ecosystem engineers, help to mineralize soil organic matter, construct and maintain soil structure, and often stimulate plant growth and protect plants from pests. The aim of this study was (i) to determine the connection between earthworm traits and indicators of soil ecosystem services and (ii) to identify earthworm ""response"" traits, which are selected by the landscape or changes in the soil, and ""effect"" traits, which contribute to soil processes. In the southern portion of the state of Para (eastern Brazilian Amazonia), we sampled earthworms at 135 points distributed among 3 locations, 9 sub locations and 27 farms (5 sampling points per farm). At each point, three 25 cm x 25 cm soil samples were hand-sorted for earthworms. We measured eight functional traits in 1148 individuals: relative gizzard size, type of typhlosole, length and type of caudal setae, pigmentation, overall length, thickness of septa and musculature in anterior segments. We found a significant, although relatively low, relationship between landscape classes and trait proportions. Earthworm trait proportions significantly covaried with soil parameters and indicators of soil ecosystem services. We did not find significant covariation between earthworm morphospecies and soil ecosystem services. We identified earthworm ""response"" traits that had been selected and assessed consequences of these changes on effects of earthworm communities (via their ""effect"" traits) on soil processes and ecosystem services. Typhlosole type, gizzard size and septa thickness were identified as ""response"" traits selected by soil and landscape conditions. These traits were also identified as ""effect"" traits for their influence on soil structure. Results indicated a connection between earthworm traits and landscape degradation and soil services, which is a new step toward conceptualizing earthworm ecological studies that go beyond the species level. (C) 2017 Elsevier Masson SAS. All rights reserved.","NOV-DEC",2017
"Grant",1332,0,"Anna","uses biodiversity as proxy for ES","Micheli","High vulnerability of ecosystem function and services to diversity loss in Caribbean coral reefs","Micheli, Fiorenza; Mumby, Peter J.; Brumbaugh, Daniel R.; Broad, Kenny; Dahlgren, Craig P.; Harborne, Alastair R.; Holmes, Katherine E.; Kappel, Carrie V.; Litvin, Steven Y.; Sanchirico, James N.","BIOLOGICAL CONSERVATION","Determining how ecosystem function and services are related to diversity is necessary for predicting the consequences of diversity loss and for setting goals and priorities for marine conservation. The consequences of biodiversity loss for ecosystem functions and services depend on the level of functional redundancy - the number of species with similar ecological functional traits. Using field data on fish assemblages from 199 coral reef and lagoon sites from six islands, and on local fisheries from four islands in The Bahamas, we examined levels of functional diversity and redundancy within these assemblages and determined how fish biomass and local fisheries catches vary with local diversity. A majority of functional groups contain few species, suggesting that these assemblages have limited functional redundancy. Most also include species targeted by local fisheries, thus fishing has the potential to broadly impact food webs. Comparisons between a large marine reserve and fished reefs confirm that fishing significantly reduces functional redundancy and removes whole functional groups. Positive exponential relationships of fish biomass and fisheries catches with species and functional diversity highlight that even small declines in biodiversity may result in large reductions in secondary production and seafood provision. Taken together, these results indicate that Caribbean fish assemblages have low functional redundancy and high vulnerability of ecosystem functions and services to diversity loss, and that protection of multi-species assemblages is needed to maintain functions and services. (C) 2014 Elsevier Ltd. All rights reserved.","MAR",2014
