"Round2_reviewer1","Round2_reviewer2","Number","MeetsCriteria_matches","Round1_reviewer","Comments","FirstAuthor","Title","AuthorsFull","SourcePublication","Abstract","PublicationDate","PublicationYear"
"Claire","Julie",1456,1,"Laurel",NA,"Firbank","Evidence of sustainable intensification among British farms","Firbank, L. G.; Elliott, J.; Drake, B.; Cao, Y.; Gooday, R.","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","Several influential reports have suggested that one of the most appropriate responses to expected food shortages and ongoing environmental degradation is sustainable intensification, i.e. the increase of food production with at worst no increase in environmental harm, and ideally environmental benefit. Here we sought evidence of sustainable intensification among British farmers by selecting innovative arable, dairy, mixed and upland farms and analysing their own data on yields, inputs and land use and management for 2006 and 2011. The evidence was obtained by interview, and was interpreted in terms of the ecosystem services of food production (GJ ha(-1), where area took into account estimated area to grow any imported animal feeds), regulation of climate, air and water quality (modelled emissions of GHGs (CO(2)e ha(-1)), ammonia (kg ha(-1)) and nitrate loss (kg ha(-1))) and biodiversity (using an index based on the presence of habitats and management). Several farms have increased both food production and other ecosystem services over this time by increasing yields, using resources more efficiently and/or enhancing biodiversity, and sometimes by reducing livestock numbers and increasing cropping. The motivation has been to improve farm profitability through increasing food production, reducing input costs and accessing public payments through agri-environment schemes and generating renewable energy. Such sustainable intensification was not achieved by farmers who increased meat or milk yields. Sustainable intensification can be achieved when the correct drivers are in place to influence the actions of individual farmers. Also, it is possible to indicate sustainable intensification by using a small number of high-level indicators derived from data that farmers already hold, though such an approach may not capture the impacts of farmer innovative practices. (C) 2013 Elsevier B.V. All rights reserved.","43647",2013
"Claire","Julie",168,1,"Aislyn","impacts of large herbivore grazing on plant community and functional traits","Garrido","Experimental rewilding enhances grassland functional composition and pollinator habitat use","Garrido, Pablo; Marell, Anders; Ockinger, Erik; Skarin, Anna; Jansson, Anna; Thulin, Carl-Gustaf","JOURNAL OF APPLIED ECOLOGY","Semi-natural grasslands are rich in biodiversity and thus important habitats for conservation, yet they are experiencing rapid declines due to agricultural intensification and abandonment. Promoting a more diverse mammalian herbivore community, including large and megaherbivores, may result in positive cascade effects for biodiversity and ecosystem functioning. Therefore, reintroducing an ecologically functional substitute of an extinct large herbivore could mitigate current biodiversity declines and foster semi-natural grassland conservation. To test this hypothesis, we set up a 3-year rewilding experiment where 12 feral horses were introduced in three 10-hectare enclosure replicates (four horses per enclosure). We used community-weighted mean plant functional traits to elucidate plant community changes induced by grazing through time. We also investigated the effects of this experimental treatment on insect pollinated plants and on pollinator habitat use. The grassland community exerted a mixed tolerance/avoidance response to grazing. This resulted in plant functional compositional changes which favoured prostrate plant species with higher specific leaf area, characteristic of ruderal communities. Plant species richness was higher in grazed compared to ungrazed areas. Butterfly and bumblebee habitat use, as well as feeding and resting activities were also higher in grazed areas. Moreover, the number of pollinators increased with plant species richness.Synthesis and applications. This study demonstrates that, to enhance the diversity of a given herbivore community with ecological replacements of extinct wild horses can have significant effects on the functional composition of grasslands. It can also mitigate plant species declines, in particular bee-dependent plants, and boost pollinator habitat use. Novel management alternatives are urgently needed to reverse the negative effect of land abandonment in European agricultural landscapes. Thus, rewilding interventions with large mammalian herbivores may offset current biodiversity declines by maintaining important functional links between plants and pollinators in grassland ecosystems. Foreign Language AbstractSammanfattning Naturbetesmarker ar rika pa biologisk mangfald och ar darmed av stor betydelse for naturvarden. Tyvarr minskar arealen av dessa marker pa grund av intensifieringar inom jordbruket och andrad djurhallning. En variationsrik djurhallning med stora daggdjur kan resultera i positiva foljdeffekter for biologisk mangfald och mer funktionella ekosystem. Genom att aterinfora ekologiskt funktionella ersattare for utdoda stora vaxtatare kan vi pa sa vis minska forlusten av biologisk mangfald och gynna bevarandet av naturbetesmarker. For att testa detta genomfordes ett trearigt faunarestaurerings-forsok med 12 hastar som fick beta i tre stycken 10-hektar stora hagn (fyra hastar i varje). Vi anvande medelvarden av vaxtsamhallets funktionella egenskaper for att studera hur hastarnas bete forandrade vaxtsamhallet over tid. Vi studerade aven effekter pa insektpollinerade vaxter och hur pollinerande insekter nyttjade forsoksytorna. Vaxterna uppvisade en blandning av tolerans och undvikande som respons mot betandet, vilket resulterade i funktionella forandringar som gynnade lagvaxande arter med stora blad, sa kallade ruderatvaxter. Vaxtrikedomen var hogre pa betade ytor an pa obetade. Det var aven storre forekomst av fodosokande och vilande fjarilar och humlor pa betade ytor. Antalet pollinerande insekter okade med vaxtrikedomen.Syntes och tillampning. Var studie visar att vi genom en vildare djurhallning kan aterskapa hastens ekosystemfunktion och att det ger positiva effekter pa vaxtsamhallets funktionella sammansattning. En vildare djurhallning kan aven motverka forlusten pollinerade vaxter och oka mangden pollinerande insekter. Nya forvaltningsmetoder behovs for att vanda den genomgripande utvecklingen kopplat till igenvaxning av det europeiska jordbrukslandskapet. angstrom terforandet av stora vaxtatande daggdjur kan forhindra forlusten av biologisk mangfald och uppratthalla viktiga funktionella kopplingar mellan vaxter och dess pollinatorer i naturbetesmarker. This study demonstrates that, to enhance the diversity of a given herbivore community with ecological replacements of extinct wild horses can have significant effects on the functional composition of grasslands. It can also mitigate plant species declines, in particular bee-dependent plants, and boost pollinator habitat use. Novel management alternatives are urgently needed to reverse the negative effect of land abandonment in European agricultural landscapes. Thus, rewilding interventions with large mammalian herbivores may offset current biodiversity declines by maintaining important functional links between plants and pollinators in grassland ecosystems.","APR",2019
"Claire","Isabel",1318,2,"Anna",NA,"Gray","Do riparian reserves support dung beetle biodiversity and ecosystem services in oil palm- dominated tropical landscapes?","Gray, Claudia L.; Slade, Eleanor M.; Mann, Darren J.; Lewis, Owen T.","ECOLOGY AND EVOLUTION","Agricultural expansion and intensification are major threats to global biodiversity, ecological functions, and ecosystem services. The rapid expansion of oil palm in forested tropical landscapes is of particular concern given their high biodiversity. Identifying management approaches that maintain native species and associated ecological processes within oil palm plantations is therefore a priority. Riparian reserves are strips of forest retained alongside rivers in cultivated areas, primarily for their positive hydrological impact. However, they can also support a range of forest-dependent species or ecosystem services. We surveyed communities of dung beetles and measured dung removal activity in an oil palm-dominated landscape in Sabah, Malaysian Borneo. The species richness, diversity, and functional group richness of dung beetles in riparian reserves were significantly higher than in oil palm, but lower than in adjacent logged forests. The community composition of the riparian reserves was more similar to logged forest than oil palm. Despite the pronounced differences in biodiversity, we did not find significant differences in dung removal rates among land uses. We also found no evidence that riparian reserves enhance dung removal rates within surrounding oil palm. These results contrast previous studies showing positive relationships between dung beetle species richness and dung removal in tropical forests. We found weak but significant positive relationships between riparian reserve width and dung beetle diversity, and between reserve vegetation complexity and dung beetle abundance, suggesting that these features may increase the conservation value of riparian reserves. Synthesis and applications: The similarity between riparian reserves and logged forest demonstrates that retaining riparian reserves increases biodiversity within oil palm landscapes. However, the lack of correlation between dung beetle community characteristics and dung removal highlights the need for further research into spatial variation in biodiversity-ecosystem function relationships and how the results of such studies are affected by methodological choices.","APR",2014
"Claire","Isabel",1860,0,"Nick",NA,"Hoehn","Functional group diversity of bee pollinators increases crop yield","Hoehn, Patrick; Tscharntke, Teja; Tylianakis, Jason M.; Steffan-Dewenter, Ingolf","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","Niche complementarity is a commonly invoked mechanism underlying the positive relationship between biodiversity and ecosystem functioning, but little empirical evidence exists for complementarity among pollinator species. This study related differences in three functional traits of pollinating bees ( flower height preference, daily time of flower visitation and within-flower behaviour) to the seed set of the obligate cross-pollinated pumpkin Cucurbita moschata Duch. ex Poir. across a land-use intensity gradient from tropical rainforest and agroforests to grassland in Indonesia. Bee richness and abundance changed with habitat variables and we used this natural variation to test whether complementary resource use by the diverse pollinator community enhanced final yield. We found that pollinator diversity, but not abundance, was positively related to seed set of pumpkins. Bees showed species-specific spatial and temporal variation in flower visitation traits and within-flower behaviour, allowing for classification into functional guilds. Diversity of functional groups explained even more of the variance in seed set (r(2)=45%) than did species richness (r(2)=32%) highlighting the role of functional complementarity. Even though we do not provide experimental, but rather correlative evidence, we can link spatial and temporal complementarity in highly diverse pollinator communities to pollination success in the field, leading to enhanced crop yield without any managed honeybees.","43745",2008
"Claire","Julie",285,1,"Aislyn",NA,"Irizarry","Avian response to shade-layer restoration in coffee plantations in Puerto Rico","Irizarry, Amarilys D.; Collazo, Jaime A.; Pacifici, Krishna; Reich, Brian J.; Battle, Kathryn E.","RESTORATION ECOLOGY","Documenting the evolving processes associated with habitat restoration and how long it takes to detect avian demographic responses is crucial to evaluate the success of restoration initiatives and to identify ways to improve their effectiveness. The importance of this endeavor prompted the U.S. Fish and Wildlife Service and the USDA Natural Resources Conservation Service to evaluate their sun-to-shade coffee restoration program in Puerto Rico initiated in 2003. We quantified the responses of 12 resident avian species using estimates of local occupancy and extinction probabilities based on surveys conducted in 2015-2017 at 65 restored farms grouped according to time-since-initial-restoration (TSIR): new (2011-2014), intermediate (2007-2010), and old (2003-2006). We also surveyed 40 forest sites, which served as reference sites. Vegetation complexity increased with TSIR, ranging between 35 and 40% forest cover in farms 6-9 years TSIR. Forest specialists (e.g. Loxigilla portoricencis) exhibited highest average occupancy in farms initially classified as intermediate (6-9 years) and old (>10 years), paralleling occupancy in secondary forests. Occupancy of open-habitat specialists (e.g. Tiaris olivaceus) was more variable, but higher in recently restored farms. Restoring the shade layer has the potential to heighten ecological services derived from forest specialists (e.g. frugivores) without losing the services of many open-habitat specialists (e.g. insectivores). Annual local extinction probability for forest specialists decreased with increasing habitat complexity, strengthening the potential value of shade restoration as a tool to enhance habitat for avifauna that evolved in forested landscapes.","NOV",2018
"Claire","Julie",1048,1,"Travis",NA,"Kleisner","Evaluating changes in marine communities that provide ecosystem services through comparative assessments of community indicators","Kleisner, Kristin M.; Coll, Marta; Lynam, Christopher P.; Bundy, Alida; Shannon, Lynne; Shin, Yunne-Jai; Boldt, Jennifer L.; Borges, Maria F.; Diallo, Ibrahima; Fox, Clive; Gascuel, Didier; Heymans, Johanna J.; Juan Jorda, Maria J.; Jouffre, Didier; Large, Scott I.; Marshall, Kristin N.; Ojaveer, Henn; Piroddi, Chiara; Tam, Jorge; Torres, Maria A.; Travers-Trolet, Morgane; Tsagarakis, Konstantinos; van der Meeren, Gro I.; Zador, Stephani","ECOSYSTEM SERVICES","Fisheries provide critical provisioning services, especially given increasing human population. Understanding where marine communities are declining provides an indication of ecosystems of concern and highlights potential conflicts between seafood provisioning from wild fisheries and other ecosystem services. Here we use the nonparametric statistic, Kendall's tau, to assess trends in biomass of exploited marine species across a range of ecosystems. The proportion of 'Non-Declining Exploited Species' (NDES) is compared among ecosystems and to three community-level indicators that provide a gauge of the ability of a marine ecosystem to function both in provisioning and as a regulating service: survey-based mean trophic level, proportion of predatory fish, and mean life span. In some ecosystems, NDES corresponds to states and temporal trajectories of the community indicators, indicating deteriorating conditions in both the exploited community and in the overall community. However differences illustrate the necessity of using multiple ecological indicators to reflect the state of the ecosystem. For each ecosystem, we discuss patterns in NDES with respect to the community-level indicators and present results in the context of ecosystem-specific drivers. We conclude that using NDES requires context-specific supporting information in order to provide guidance within a management framework. (C) 2015 Elsevier B.V. All rights reserved.","DEC",2015
"Claire","Julie",648,0,"Laura/Caitlin",NA,"Laura","Ecosystem service delivery of agri-environment measures: A synthesis for hedgerows and grass strips on arable land","Laura, Van Vooren; Bert, Reubens; Steven, Broekx; Pieter, De Frenne; Victoria, Nelissen; Paul, Pardon; Kris, Verheyen","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","In north western Europe, agricultural systems are generally managed to maximize the potential delivery of provisioning ecosystem services. This has often been at the expense of other ecosystem services. Because the current supply of most ecosystem services is insufficient to meet the increasing demand, particular attention to ecosystem service delivery and hence multifunctionality in agriculture is vital. In this paper, we quantitatively assessed the impact of hedgerows and grass strips bordering parcels with annual arable crops on the simultaneous delivery of a set of ecosystem services and from there we identified synergies and trade-offs on virtual parcels. After a systematic literature search, mixed models were applied on observations from 60 studies and quantitative effect relationships between ecosystem service delivery and hedgerow and grass strip characteristics were developed. Next to the hedgerow, until a distance of twice the hedgerow height, arable crop yield was reduced by 29%. Beyond this' distance, until 20 times the hedgerow height, crop yield was increased by 6%. Compared to a similar arable parcel without hedgerow or grass strip, soil carbon stock was 22% higher in the hedgerow, on average 6% higher in the adjacent parcel next to the hedgerow and 37% higher in the upper 30 cm soil layer in the grass strip. Both hedgerows and grass strips intercepted nitrogen from the surface (69% and 67%, respectively) and subsurface (34% and 32%, respectively) flow and phosphorus (67% and 73%, respectively) and soil sediment (91% and 90%, respectively) from the surface flow. More natural predator species were found on parcels with hedgerows, but the number of predators was unaffected. On parcels with grass strips, both predator density and diversity was higher and aphid density was reduced. Our calculations on parcel level indicate that the trade-off between arable crop yield and regulating ecosystem services depends on hedgerow width and height and parcel dimensions. A similar trade-off is found on parcels with grass strips, but increasing grass strip width results in a proportionally higher delivery of regulating ecosystem services.","43631",2017
"Claire","Isabel",294,0,"Aislyn",NA,"Marcilio-Silva","Land-use trade-offs between tree biodiversity and crop production in the Atlantic Forest","Marcilio-Silva, Vinicius; Marques, Marcia C. M.; Cavender-Bares, Jeannine","CONSERVATION BIOLOGY","Trade-offs in ecosystem services (ES) have received increasing attention because provisioning services often come at the expense of biodiversity loss. When land-use patterns are not maximally efficient relative to productivity, provisioning services, such as crop production, can often be increased without losing biodiversity. The Atlantic Forest (AF) encompasses dense, mixed, and seasonal forests and has high levels of endemism and anthropogenic threat. We examined trade-offs between biodiversity and crop production in the AF to provide insights into land-use management decisions. We developed a biodiversity metric that combines information on tree species richness, evolutionary distinctiveness, and rarity at the local level. We examined the extent to which the nature of ES trade-offs differ among the 3 forest types. We assessed how annual deforestation rates and land management practices affect biodiversity and agricultural revenues. Finally, we tested whether it is possible to achieve the same total regional revenue without reducing biodiversity by improving local management practices. The 3 forest types had similar patterns in ES trade-offs, although within mixed forest patterns differed. Biodiversity appeared to be more sensitive to land-use change than crop revenues. Certain crops yielded up to 10 times higher values in some sites. Enhanced crop productivity may increase revenues without reducing biodiversity. Our results showed that to enhance human well-being without further conversion of AF, maximizing crop productivity is needed . Increasing efficiency of management outcomes by maintaining higher biodiversity and increasing provisioning services depends on knowledge of forest type, the comparative advantage of planting crops in the best places, and preserving species in a balanced manner across forests. Compensaciones de Uso de Suelo entre la Biodiversidad de arboles y la Produccion Agricola en el Bosque Atlantico Las compensaciones en los servicios ecosistemicos (SE) han recibido mayor atencion porque los servicios de aprovisionamiento a menudo conllevan la perdida de biodiversidad. Cuando los patrones de uso de suelo no son maximamente eficientes en relacion con la productividad, los servicios de aprovisionamiento, como la produccion agricola, a menudo pueden ser incrementados sin perder biodiversidad. El Bosque Atlantico (BA) comprende bosques densos, mixtos y estacionales y tiene altos niveles de endemismo y amenazas antropogenicas. Examinamos las compensaciones entre biodiversidad y produccion agricola en el BA para proporcionar ideas para las decisiones de manejo de uso de suelo. Desarrollamos una medida de la biodiversidad que combina informacion sobre la riqueza de arboles, la singularidad evolutiva y rareza a nivel local Examinamos el grado en que la naturaleza de las compensaciones de los SE difiere entre los 3 tipos de bosque. Evaluamos como afectan las tasas anuales de deforestacion y las practicas de manejo a la biodiversidad y a las ganancias agricolas. Finalmente, probamos si es posible obtener la misma ganancia regional total son reducir la biodiversidad mediante la mejora de las practicas de manejo locales. Los 3 tipos de bosque tuvieron patrones similares de compensaciones de SE, aunque los patrones difirieron en los bosques mixtos. La biodiversidad parecio ser mas sensible al cambio de uso de suelo que a las ganancias agricolas. Ciertos cultivos proporcionaron valores 10 veces mas altos en algunos sitios. El incremento de la produccion agricola puede incrementar las ganancias sin reducir la biodiversidad. Nuestros resultados muestran que para incrementar el bienestar humano sin mayor alteracion del BA se requiere maximizar la produccion agricola. El incremento de la eficiencia del manejo al mantener mas biodiversidad y aumentar los servicios de aprovisionamiento depende del conocimiento del tipo de bosque, de la ventaja comparativa de sembrar cultivos en los mejores sitios y la preservacion de especies de manera equilibrada en los bosques. Resumen ???? ???????????????????, ????????????????????????????????????????????, ????????????????, ????????????????????????????????, ????, ????????????????????????????????????????????, ?????????????????????????????????????????????????????????, ?????????????????????????????????????????????????????????????????, ???????????????????, ????????????????????????????????????????????, ????????????????????, ???????????????????????, ????????????????????????, ??????????????????????????, ??????????????????????????, ??????????????????????????????????????????????, ???????????????????????, ???????????????????????: ???; ??: ???? Article impact statement: Human well-being can be enhanced without further conversion of Atlantic Forest by improving agricultural practice.","OCT",2018
"Claire","Isabel",1019,0,"Kathryn",NA,"Meacham","Social-ecological drivers of multiple ecosystem services: what variables explain patterns of ecosystem services across the Norrstrom drainage basin?","Meacham, Megan; Queiroz, Cibele; Norstrom, Albert V.; Peterson, Garry D.","ECOLOGY AND SOCIETY","In human dominated landscapes many diverse, and often antagonistic, human activities are intentionally and inadvertently determining the supply of various ecosystem services. Understanding how different social and ecological factors shape the availability of ecosystem services is essential for fair and effective policy and management. In this paper, we evaluate how well alternative social-ecological models of human impact on ecosystems explain patterns of 16 ecosystem services (ES) across the 62 municipalities of the Norrstrom drainage basin in Sweden. We test four models of human impact on ecosystems, land use, ecological modernization, ecological footprint, and location theory, and test their ability to predict both individual ES and bundles of ES. We find that different models do best to predict different types of individual ES. Land use is the best model for predicting provisioning services, standing water quality, biodiversity appreciation, and cross-country skiing, while other models work better for the remaining services. However, this range of models is not able to predict some of the cultural ES. ES bundles are predicted worse than individual ES by these models, but provide a clear picture of variation in multiple ecosystem services based on limited information. Based on our results, we offer suggestions on how social-ecological modeling and assessments of ecosystems can be further developed.",NA,2016
"Claire","Julie",237,1,"Aislyn",NA,"Muneret","Organic farming at local and landscape scales fosters biological pest control in vineyards","Muneret, Lucile; Auriol, Arthur; Thiery, Denis; Rusch, Adrien","ECOLOGICAL APPLICATIONS","While organic farming practices, which are often promoted as models of ecological intensification, generally enhance biodiversity, their effects on the delivery of ecosystem services, such as biological pest control, are still unknown. Here, using a multi-scale hierarchical design in southwestern France, we examined the effects of organic farming and seminatural habitats at the local and landscape scales on biological control services of three pests, including weeds and insects, in 42 vineyards. Organic farming at the local and landscape scales was beneficial to the mean and temporal stability of biological control services, while the proportion of seminatural habitats in the landscape reduced the level of biological pest control potential. The effects of organic farming and seminatural habitats across spatial scales varied with the type of prey considered and with time. Egg moth removal rates were higher in fields under organic management compared to conventional management while weed seed removal rates increased with the proportion of organic farming in the landscape. Larval removal rates as well as seed removal rates were always more stable within time in organic fields than in conventional fields. Moreover, independently of farming system type, local variables describing the agricultural management intensity, such as pesticide use or crop productivity, were also found to be important variables explaining levels of biological control services. Pesticide use tended to reduce biological control potential, while crop productivity was associated with contrasting biological control responses depending on the pest type. Our study demonstrates the need to target multiple spatial scales and to consider farming practices, as well as the proportion of seminatural habitats, to design functional landscapes that optimize biological pest control services.","JAN",2019
"Claire","Isabel",610,0,"Laura","It's hard to say if this measures a service/function or just oyster cover, and i didnt have access to the paper. It says it measures erosion control for some sites, so I included it.","Powers","Ecosystem services are lost when facilitation between two ecosystem engineers is compromised by oil","Powers, Sean P.; Rouhani, Shahrokh; Baker, Mary C.; Roman, Henry; Grabowski, Jonathan H.; Scyphers, Steven B.; Willis, Jonathan M.; Hester, Mark W.","MARINE ECOLOGY PROGRESS SERIES","Nearshore marine ecosystems are among the most productive areas in the world. Unfortunately, these areas also receive pollutants released into oceanic and riverine waters. Six years following the Deepwater Horizon oil spill, the largest in US history, the complexity of ecological injuries in this system is just now being elucidated. Here, we describe a novel pathway of injury from oil spills by documenting how the loss of oysters near marsh edge as a direct result of shoreline oiling and clean-up activities can double rates of coastal erosion. As part of the natural resource damage assessment, we examined the impact of shoreline oiling on eastern oysters Crassostrea virginica near the marsh edge at 187 sites in Louisiana and Mississippi Sound in 2013. For marshes that experienced heavy oiling, oyster habitat was 77% less abundant than in areas where no oil was observed. Areas near marshes characterized by more moderate levels of oiling had 33% less oyster habitat than areas where no oil was observed. Similarly, the number of sites without any oyster habitat was higher in heavily and persistently oiled areas compared to areas where no oil was observed (56 vs. 24%). The consequences of this loss are substantial and include loss of essential fish habitat, reduced nutrient cycling, and decreased erosion buffering. For a subset of the sites where erosion rate was also measured between 2010 and 2013 (n = 79), shoreline loss was more than twice as high (2.1 vs. 0.9 m yr(-1)) in areas lacking oyster cover. Our findings provide evidence that loss of nearshore oyster habitat can disrupt the strong facilitation between oysters and marsh vegetation.","43680",2017
"Claire","Isabel",330,1,"Sierra","a new way to categorize ecosystem services by their temporal dynamics","Rau","Temporal Dynamics of Ecosystem Services","Rau, Anna-Lena; von Wehrden, Henrik; Abson, David J.","ECOLOGICAL ECONOMICS","The ecosystem services concept evolved over the last 30 years from a general heuristic model highlighting importance of nature for human well-being to a framework for studying how the appropriation of specific ecological structures or processes influences that well-being. As the ecosystem service concept increasingly becomes an operational tool there is a need to account for the complexity of the relations between production and appropriation of ecosystem services. To date there has been a considerable focus on the spatial patterns of ecosystem services provision and appropriation. We propose a new way of categorizing them according to their temporal dynamics. We differentiate between linear and non-linear dynamics in both the provision and appropriation of ecosystem services. Based on our classification we suggest how temporal dynamics can be better integrated into ecosystem services research in four steps. These include setting the appropriate temporal boundaries of the system, identifying key types of dynamics of the ecosystem, assessing the spatial scale on which the dynamics play out in the system and developing measures for assessing these dynamics. Considering temporal dynamics of ecosystem services by following these steps has the potential to enable better planning of ecosystem services management and therefore, to enhance human well-being.","SEP",2018
"Claire","Isabel",1656,1,"Tim","I think might only be included based on aesthetics as an ecosystem service.","Sherren","Lessons from visualising the landscape and habitat implications of tree decline-and its remediation through tree planting-in Australia's grazing landscapes","Sherren, Kate; Fischer, Joern; Clayton, Helena; Hauldren, Adam; Dovers, Stephen","LANDSCAPE AND URBAN PLANNING","Tree decline has been documented in farming and grazing landscapes around the world, with negative consequences for biodiversity and important ecosystem services. We have used solution-oriented transdisciplinary research to understand the possible consequences of scattered tree decline in Australia's temperate grazing landscapes, and explore appropriate management and policy responses. Here, we document the scenario modelling process that culminated our stakeholder engagement. We simulated tree decline and its consequences for landscape aesthetics and biodiversity, using photo-realistic visualisations based on photographs identified as significant by graziers, and empirically derived habitat relationships for a series of birds and bats. The results foreshadow dramatic visual and ecological impacts for the region. We also modelled the aesthetic and habitat impacts of fully costed remediation scenarios, including widespread scattered tree planting and densely seeding poor paddocks under temporary stock exclusion. The visualisations revealed to the research team that: (1) dense seeding has a more lasting impact for scattered trees than scattered planting; (2) the benefits of any kind of planting is short-lived if accompanied by conventional grazing practices; and (3) grazed woodlands are most at risk. The graziers to whom we presented our scenarios in the last of our stakeholder workshops responded well to both kinds of visualisations, but it was clear that the experience also extracted a cost. We reflect here on our methods and outcomes, and draw out lessons from our work for other studies of this kind. (C) 2011 Elsevier B.V. All rights reserved.","43799",2011
"Claire","Isabel",388,2,"Sierra","I previously submitted this form for this paper with the title ""eEde predator-prey interactions"". This title was incorrect and I found the correct one online via the abstract.; predicts prey switching through time for a mollusc-snail interaction","Smith","eEde predator-prey interactions","Smith, Jansen A.; Handley, John C.; Dietl, Gregory P.","PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES","River systems worldwide have been modified for human use and the downstream ecological consequences are often poorly understood. In the Colorado River estuary, where upstream water diversions have limited freshwater input during the last century, mollusc remains from the last several hundred years suggest widespread ecological change. The once abundant clam Mulinia modesta has undergone population declines of approximately 94% and populations of predators relying on this species as a food source have probably declined, switched to alternative prey species or both. We distinguish between the first two hypotheses using a null model of predation preference to test whether M. modesta was preyed upon selectively by the naticid snail, Neverita reclusiana, along the estuary's past salinity gradient. To evaluate the third hypothesis, we estimate available prey biomass today and in the past, assuming prey were a limiting resource. Data on the frequency of drill holes-identifiable traces of naticid predation on prey shells-showed several species, including M. modesta, were preferred prey, Neverita reclusiana was probably able to switch prey. Available prey biomass also declined, suggesting the N. reclusiana population probably also declined. These results indicate a substantial change to the structure of the benthic food web. Given the global scale of water management, such changes have probably also occurred in many of the world's estuaries.","43615",2018
"Claire","Julie",423,1,"Sierra",NA,"Sole-Senan","Plant species, functional assemblages and partitioning of diversity in a Mediterranean agricultural mosaic landscape","Sole-Senan, X. O.; Juarez-Escario, A.; Conesa, J. A.; Recasens, J.","AGRICULTURE ECOSYSTEMS & ENVIRONMENT","Agricultural landscapes represent mosaics of different habitats that can harbour high plant diversity where plant traits and trait syndromes can be used for predicting either plant responses to agricultural intensification or plant functional effects on other organisms. Understanding the spatial components of diversity within an agricultural mosaic can help to select the appropriate spatial scale for conserving species and ecological functions such as the provisioning of resources for pollinators. We hypothesize that trait syndromes aimed at provisioning resources for pollinators are positively related to non-crop habitats and negatively related to increasing agricultural intensification. We sampled plant species in 140 patches distributed among seven habitats (abandoned fields, boundaries, roadverges, and edges and inner alfalfa and cereal fields) that were classified into three levels of agricultural intensification: Low, Medium and High. We examined differences in species and functional assemblages, splitting response and effect traits, across various habitats and levels of agricultural intensification. Species richness and functional diversity of response and effect traits were partitioned along spatial scales. Both species and functional assemblages changed across habitats and with different levels of agricultural intensification. Non-cropped habitats and low levels of agricultural intensification promoted trait syndromes with trait-overdispersion mainly linked to the provisioning of resources for pollinators. The species turnover did not imply a functional turnover. Our study shows that traits are determined by agricultural intensification, and no further details on field position and habitat variability are needed to promote vegetation types with trait syndromes able to support pollinating insects.","43539",2018
"Claire","Isabel",717,1,"Laura/Caitlin",NA,"Tomscha","The spatial organization of ecosystem services in river-floodplains","Tomscha, Stephanie A.; Gergel, Sarah E.; Tomlinson, Matthew J.","ECOSPHERE","River-floodplains are hotspots for many ecosystem services (ES), and thus, understanding how these services are spatially organized along river systems is essential. General principles from river-floodplain ecology may provide guidance for understanding these spatial patterns, yet such concepts have rarely been incorporated into spatial assessments of ES. Using a lens of riverine concepts, we contrasted how floodplain ES capacity and diversity (orchard production, forage production, carbon storage, paddle route quality, fish capacity) vary with longitudinal river-floodplain position. High spatial resolution aerial photography (2006) facilitated detection of floodplain features contributing to the production of ES. We also determined how river reach types are linked to production of ES. We found that ES capacity varied considerably with longitudinal position and reach type. Agricultural capacity was concentrated in lower reaches, high-quality paddle routes in middle-lower reaches, and fish capacity and carbon storage in upper reaches. Furthermore, the highest diversity of ES was concentrated in the lowland floodplain reaches. Our results suggest river-floodplain concepts can improve spatial assessments of ES, increase our understanding of the relationships among biological features and ES, and thus help us better manage some of the key ES trade-offs.","MAR",2017
