id,fullquestion
Q25.7_16,"Q12: Which Ecosystem Services were considered?  - Direction of Human Driver Relationship - Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]"
Q25.8_1,Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Habitat creation and maintenance
Q25.8_2,Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Pollination and dispersal of seeds or other propagules
Q25.8_3,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Regulation of air quality [e.g. levels of sulphur oxide, nitrogen oxides (NOx), filtration of pollutants]"
Q25.8_4,Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Regulation of climate [e.g. biological carbon storage and sequestration; methane emissions from wetlands]
Q25.8_5,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Regulation of ocean acidification [e.g. Regulation, by photosynthetic organisms (on land or in water), of atmospheric CO2 concentrations and seawater pH]"
Q25.8_6,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Regulation of freshwater quantity, location and timing [e.g. flow of surface and groundwater used for drinking, irrigation]"
Q25.8_7,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Regulation of freshwater and coastal water quality [e.g. filtration of particles, pathogens, excess nutrients, and other chemicals]"
Q25.8_8,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Formation, protection, and decontamination of soils and sediments [e.g decomposition, erosion control]"
Q25.8_9,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Regulation of hazards and extreme events [e.g. amelioration of floods, wind, storms, hurricanes, seawater intrusion]"
Q25.8_10,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Regulation of detrimental organisms and biological processes [e.g. pests, pathogens, predators, competitors, etc. that affect humans, plants and animals]"
Q25.8_11,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Energy [e.g.  biomass-based fuels, such as biofuel crops, animal waste, fuelwood]"
Q25.8_12,Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Food and feed
Q25.8_13,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Materials and assistance [e.g. wood, fibers, waxes, paper, resins, dyes, pearls, shells, ornamental plants, pets, herders]"
Q25.8_14,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Medicinal, biochemical, and genetic resources [e.g. plant and animal breeding, materials derived from plants, animals, microbes]"
Q25.8_15,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Maintenance of options [e.g. benefits (including those of future generations) associated with the continued existence of a wide variety of species, populations and genotypes]"
Q25.8_16,"Q12: Which Ecosystem Services were considered?  - Direction of Biotic Driver Relationship - Cultural Services, including Physical and psychological experiences ##do we include this?? [e.g. hunting, fishing, hiking]"
Q17,List Other Environmental Driver from Q12 (sep. with commas)
Q25,List Other Human Driver from Q12 (sep. with commas)
Q26,List Other Biotic Driver from Q12 (sep. with commas)
Q18,Q13: Which of Kremen's Topics does this paper address?
Q19,"Q14: If the study incorporates a 'Service Provider', which service provider(s) does it utilize?"
Q20,Notes on Q14
Q21,Q15: Does the paper measure feedbacks between levels?
Q22,Q16: Are there explicit discussions of thresholds required for the provisioning of the ES discussed?
Q23,Note if there is anything interesting this paper does to assess uncertainty:
Q24,"Notes, Questions, Comments"
